
[00:00:00.000 --> 00:00:05.000]  我們讀一節聖經 在彼得後書第三章第九節
[00:00:05.000 --> 00:00:06.000]  我們一同來念
[00:00:06.000 --> 00:00:09.000]  來 主所應許的尚未成就
[00:00:09.000 --> 00:00:11.000]  有人以為它是單言
[00:00:11.000 --> 00:00:14.000]  其實不是單言 而是寬容你們
[00:00:14.000 --> 00:00:18.000]  不願有一人沉淪 乃願人人都悔改
[00:00:18.000 --> 00:00:22.000]  神的心意不願有一人沉淪 乃願人人都悔改
[00:00:22.000 --> 00:00:24.000]  今天大家進來的時候
[00:00:24.000 --> 00:00:28.000]  都拿到一份最新的聲明和宣教地圖 彩色的
[00:00:28.000 --> 00:00:31.000]  讓我稍微解釋一下
[00:00:31.000 --> 00:00:36.000]  先看彩色這一面 非常多的顏色的
[00:00:36.000 --> 00:00:39.000]  所有的數字 在地圖上的數字
[00:00:39.000 --> 00:00:41.000]  凡是低於100的
[00:00:41.000 --> 00:00:46.000]  都代表我們分堂所在的一共33個不同的國家
[00:00:46.000 --> 00:00:49.000]  譬如說你看到在地圖上一個5
[00:00:49.000 --> 00:00:53.000]  那是代表在巴西的分堂
[00:00:53.000 --> 00:00:56.000]  凡是高於100的數字
[00:00:56.000 --> 00:01:00.000]  那是代表我們所支持19個宣教的機構
[00:01:00.000 --> 00:01:03.000]  譬如說你在右邊 隨便你看到116
[00:01:03.000 --> 00:01:07.000]  仔細一看那是 Faith Ministry in India
[00:01:07.000 --> 00:01:10.000]  就是我們所支持的信心神學院
[00:01:10.000 --> 00:01:13.000]  在印度的信心神學院
[00:01:13.000 --> 00:01:16.000]  目前反面 反過來
[00:01:16.000 --> 00:01:20.000]  這是我們所有在北美的分堂
[00:01:20.000 --> 00:01:25.000]  包括了加拿大 美國跟墨西哥的分堂
[00:01:25.000 --> 00:01:30.000]  目前我們一共支持了19個福音機構以及宣教士
[00:01:30.000 --> 00:01:33.000]  並且在全世界六大揚州
[00:01:33.000 --> 00:01:37.000]  33個國家建立了365間教會
[00:01:37.000 --> 00:01:39.000]  將榮耀歸給我們的神
[00:01:39.000 --> 00:01:46.000]  在地圖上也附贈了一個一整頁的貼紙給你
[00:01:46.000 --> 00:01:47.000]  做什麼用呢
[00:01:47.000 --> 00:01:51.000]  回家之後 可以把貼紙貼在你有負擔的國家
[00:01:51.000 --> 00:01:53.000]  或者宣教機構上
[00:01:53.000 --> 00:01:58.000]  每天衷心地為這些地區的福音工作來禱告
[00:01:58.000 --> 00:02:00.000]  事實上今天在兒童部
[00:02:00.000 --> 00:02:03.000]  在青少年也會領到這張地圖
[00:02:03.000 --> 00:02:06.000]  這可以成為你們全家的 Project
[00:02:06.000 --> 00:02:08.000]  能夠全家一同認領
[00:02:08.000 --> 00:02:11.000]  全家也一同禱告 Amen
[00:02:11.000 --> 00:02:13.000]  我想回想這些年來
[00:02:13.000 --> 00:02:18.000]  神怎麼帶領我們走上這條宣教祠堂的道路
[00:02:18.000 --> 00:02:20.000]  在開始的時候
[00:02:20.000 --> 00:02:23.000]  好像神只給我們一個意念
[00:02:23.000 --> 00:02:26.000]  生命河是要流向萬國萬民
[00:02:26.000 --> 00:02:29.000]  但是要往哪裡流 要怎麼流
[00:02:29.000 --> 00:02:32.000]  我們一開始完全不知道
[00:02:32.000 --> 00:02:37.000]  我們只是憑信心一步一步地跟隨神的引導
[00:02:37.000 --> 00:02:40.000]  而這些年 我們真的經過多少高山與低谷
[00:02:40.000 --> 00:02:43.000]  經歷過多少的難處跟挫折
[00:02:43.000 --> 00:02:46.000]  但無論在怎麼樣的環境跟時刻
[00:02:46.000 --> 00:02:51.000]  我們從來沒有停止宣教過 Amen
[00:02:51.000 --> 00:02:54.000]  甚至在疫情當中也不例外
[00:02:54.000 --> 00:02:57.000]  你說為什麼要如此做呢
[00:02:57.000 --> 00:03:00.000]  因為這正是神的心意
[00:03:00.000 --> 00:03:02.000]  在彼得厚書第三章第五節節
[00:03:02.000 --> 00:03:04.000]  我們剛才所讀的聖經講到
[00:03:04.000 --> 00:03:06.000]  神不願意一人成人
[00:03:06.000 --> 00:03:09.000]  來願意人人都悔改
[00:03:09.000 --> 00:03:12.000]  羅馬書第一章第十六節也這樣說
[00:03:12.000 --> 00:03:14.000]  保羅說我不以福音為止
[00:03:14.000 --> 00:03:16.000]  因為福音本是神的大能
[00:03:16.000 --> 00:03:19.000]  要就一切相信
[00:03:19.000 --> 00:03:25.000]  神的心意就是要福音傳到萬國萬民 Amen
[00:03:25.000 --> 00:03:27.000]  所以今天早上要一同來思想
[00:03:27.000 --> 00:03:30.000]  我們怎麼樣在這個充滿動盪的世代
[00:03:30.000 --> 00:03:34.000]  能夠與主同心明白神的心意
[00:03:34.000 --> 00:03:37.000]  能夠得著萬民呢
[00:03:37.000 --> 00:03:39.000]  我們從三方面一同來思想
[00:03:39.000 --> 00:03:43.000]  第一個 我們一定要重新尾聲於宣教的使命
[00:03:43.000 --> 00:03:48.000]  跟你們一樣重新尾聲於宣教的使命
[00:03:48.000 --> 00:03:50.000]  今天很多時候我們想到大使命
[00:03:50.000 --> 00:03:54.000]  第一個總以為那是給初代教會的
[00:03:54.000 --> 00:03:57.000]  但事實上當主頒布他大使命的時候
[00:03:57.000 --> 00:03:59.000]  不但是給初代教會
[00:03:59.000 --> 00:04:02.000]  更是給整體的教會
[00:04:02.000 --> 00:04:05.000]  是給歷世歷代的教會
[00:04:05.000 --> 00:04:08.000]  更是給每一間教會
[00:04:08.000 --> 00:04:10.000]  今天我們跟初代教會
[00:04:10.000 --> 00:04:13.000]  同屬於一個耶穌基督的身體
[00:04:13.000 --> 00:04:17.000]  我們也同領受一位聖靈在我們中間
[00:04:17.000 --> 00:04:20.000]  所以史律學第一章第八節很清楚講到說
[00:04:20.000 --> 00:04:22.000]  但聖靈降臨在你們身上
[00:04:22.000 --> 00:04:24.000]  你們就得到能力
[00:04:24.000 --> 00:04:27.000]  要在耶路撒冷猶太泉地撒瑪利亞
[00:04:27.000 --> 00:04:30.000]  直到地籍做我的見證
[00:04:30.000 --> 00:04:31.000]  這裡講到你們
[00:04:31.000 --> 00:04:34.000]  這個你們不但是指著初代教會
[00:04:34.000 --> 00:04:36.000]  更是指著整體的教會
[00:04:36.000 --> 00:04:39.000]  換句話說就是我們也在其中
[00:04:39.000 --> 00:04:41.000]  所以我們跟初代教會
[00:04:41.000 --> 00:04:45.000]  也是同領受一個使命
[00:04:45.000 --> 00:04:49.000]  你要知道這個使命是有傳承性
[00:04:49.000 --> 00:04:52.000]  在約翰福音第四章第37節裡面
[00:04:52.000 --> 00:04:53.000]  主耶穌講一句話
[00:04:53.000 --> 00:04:55.000]  主耶穌說俗語說
[00:04:55.000 --> 00:04:57.000]  那人撒種這人收割
[00:04:57.000 --> 00:05:00.000]  這話可見的是真的
[00:05:00.000 --> 00:05:03.000]  這是很有意思一段話你知道嗎
[00:05:03.000 --> 00:05:05.000]  本來當你讀這段話的時候
[00:05:05.000 --> 00:05:07.000]  應該這句話寫的是
[00:05:07.000 --> 00:05:11.000]  那人撒種那人收割才對不是嗎
[00:05:11.000 --> 00:05:12.000]  可是主在這裡說
[00:05:12.000 --> 00:05:16.000]  俗語說那人撒種這人收割
[00:05:16.000 --> 00:05:18.000]  你說這不是很公平嗎
[00:05:18.000 --> 00:05:20.000]  那個人撒種是另外一個人收割
[00:05:20.000 --> 00:05:21.000]  你覺得很不公平
[00:05:21.000 --> 00:05:25.000]  但主在這裡覺得這話是真的
[00:05:25.000 --> 00:05:26.000]  什麼意思呢
[00:05:26.000 --> 00:05:28.000]  意思就是我們今天
[00:05:28.000 --> 00:05:33.000]  其實在收割上一代的人所撒的種子
[00:05:33.000 --> 00:05:36.000]  而今天我們也需要為下一代來撒種
[00:05:36.000 --> 00:05:39.000]  好讓他們有所收割
[00:05:39.000 --> 00:05:41.000]  使命是有傳承性的
[00:05:41.000 --> 00:05:45.000]  是一代又一代的傳承
[00:05:45.000 --> 00:05:46.000]  你知道幾年前
[00:05:46.000 --> 00:05:49.000]  貝主接回天家的梵哈·邦奇穆斯
[00:05:49.000 --> 00:05:51.000]  他是一個德國的宣教士
[00:05:51.000 --> 00:05:54.000]  也是多年在非洲做宣教工作
[00:05:54.000 --> 00:05:56.000]  他自己就曾經做見證
[00:05:56.000 --> 00:05:58.000]  說在1986年的時候
[00:05:58.000 --> 00:06:02.000]  有一次他在非洲一個地方步道
[00:06:02.000 --> 00:06:04.000]  在那次步道
[00:06:04.000 --> 00:06:07.000]  連續的五天晚上的步道大會當中
[00:06:07.000 --> 00:06:10.000]  有35萬人厥職
[00:06:10.000 --> 00:06:13.000]  你沒有聽錯我也沒有講錯
[00:06:13.000 --> 00:06:14.000]  你要知道他的步道會
[00:06:14.000 --> 00:06:17.000]  都不是在什麼大型的體育場舉行的
[00:06:17.000 --> 00:06:21.000]  因為再大的體育場都容納不了那麼多的人
[00:06:21.000 --> 00:06:24.000]  我們看見每一次在步道會之前
[00:06:24.000 --> 00:06:27.000]  他的步道團隊要幾個月之前
[00:06:27.000 --> 00:06:31.000]  就要去這個地方找一塊空曠的地方
[00:06:31.000 --> 00:06:35.000]  砍樹除草預備一個聚會的地方
[00:06:35.000 --> 00:06:37.000]  聚會的時候沒有椅子的
[00:06:37.000 --> 00:06:39.000]  大家都是站在那裡
[00:06:39.000 --> 00:06:41.000]  透過巨大的音響
[00:06:41.000 --> 00:06:44.000]  福音的信息能夠傳開
[00:06:44.000 --> 00:06:46.000]  如果你曾經到過多哥的話
[00:06:46.000 --> 00:06:48.000]  你知道在多哥的首都羅梅
[00:06:48.000 --> 00:06:52.000]  也曾經在梵哈·邦奇舉行步道大會
[00:06:52.000 --> 00:06:54.000]  到那個空曠的地方
[00:06:54.000 --> 00:06:55.000]  有個牌子在那兒
