
[00:00:00.000 --> 00:00:03.540]  各位親愛的牧長童工弟兄姊妹
[00:00:03.540 --> 00:00:07.500]  大家祖內平安
[00:00:07.500 --> 00:00:10.460]  感恩的季節
[00:00:10.460 --> 00:00:13.140]  我們共同在思想
[00:00:13.140 --> 00:00:16.440]  我們向誰感恩
[00:00:16.440 --> 00:00:19.000]  我們為何要感恩
[00:00:19.000 --> 00:00:23.300]  我們如何來感恩
[00:00:23.300 --> 00:00:28.600]  對我來說十一月是非常難忘
[00:00:28.600 --> 00:00:32.500]  如果記得不錯 1992年的十一月
[00:00:32.500 --> 00:00:36.800]  第一次在我們托倫斯靈良堂
[00:00:36.800 --> 00:00:40.200]  在更新團系有一個分享
[00:00:40.200 --> 00:00:43.200]  大概也是差不多這個時候
[00:00:43.200 --> 00:00:45.500]  所以三十多年來
[00:00:45.500 --> 00:00:50.900]  無論在天涯海角在哪裡傳福音
[00:00:50.900 --> 00:00:55.500]  都是看到神透過他的教誨
[00:00:55.500 --> 00:00:57.840]  透過這個屬靈的娘家
[00:00:57.840 --> 00:01:02.100]  透過許多親愛的弟兄姊妹們
[00:01:02.100 --> 00:01:04.300]  來把神的愛
[00:01:04.300 --> 00:01:08.300]  把從神來的為我們的禱告
[00:01:08.300 --> 00:01:12.200]  都在主耶穌的寶座面前
[00:01:12.200 --> 00:01:13.800]  所以讓我們
[00:01:13.800 --> 00:01:18.100]  讓我和我的全家有這種底氣
[00:01:18.100 --> 00:01:21.300]  就是充滿了感恩
[00:01:21.300 --> 00:01:24.600]  也實在要藉這個機會特別謝謝
[00:01:24.600 --> 00:01:26.700]  托倫斯靈良堂
[00:01:26.700 --> 00:01:32.200]  三十多年來在我們身上所有的付出
[00:01:32.200 --> 00:01:36.900]  幸福的人生到哪裡去得到呢
[00:01:36.900 --> 00:01:40.000]  我想剛剛我們在這裡所念的經文
[00:01:40.000 --> 00:01:43.300]  非常清楚的讓我們看見
[00:01:43.300 --> 00:01:48.200]  十一節的經文好像有三個大的段落
[00:01:48.200 --> 00:01:51.500]  第一節到第五節告訴我們
[00:01:51.500 --> 00:01:55.600]  我們如何能夠真正因為福音
[00:01:55.600 --> 00:01:59.200]  讓我們的人生不再一樣
[00:01:59.200 --> 00:02:04.300]  所以這五節的經文從信入手
[00:02:04.300 --> 00:02:06.400]  我們相信耶穌基督
[00:02:06.400 --> 00:02:09.300]  我們信祂是我們的救主
[00:02:09.300 --> 00:02:11.700]  也是我們生命的主
[00:02:11.700 --> 00:02:13.300]  然後告訴我們
[00:02:13.300 --> 00:02:16.100]  這個信會產生一個果效
[00:02:16.100 --> 00:02:20.200]  就是讓我們有了真正的盼望
[00:02:20.200 --> 00:02:25.100]  而這個盼望雖然是環境有難處
[00:02:25.100 --> 00:02:27.000]  哪怕在患難裡面
[00:02:27.000 --> 00:02:29.700]  在人生各樣的坑坷裡面
[00:02:29.700 --> 00:02:31.800]  這個盼望不會消失
[00:02:31.800 --> 00:02:34.600]  這個盼望只會讓我們越來越老練
[00:02:34.600 --> 00:02:39.300]  讓我們越來越期待著神所要成就
[00:02:39.300 --> 00:02:43.900]  然後那裡又告訴我們這個福音
[00:02:43.900 --> 00:02:48.200]  是因為神不但讓我們明白了祂的真道
[00:02:48.200 --> 00:02:52.500]  也藉著聖靈在我們裡面做功
[00:02:52.500 --> 00:02:56.500]  讓我們隨時來體會神的愛
[00:02:56.500 --> 00:03:00.200]  這裡用這個詞神的愛澆灌在我們心裡
[00:03:00.200 --> 00:03:04.800]  就是心裡面被神的大愛所充滿
[00:03:04.800 --> 00:03:07.500]  信 望 愛
[00:03:07.500 --> 00:03:11.200]  都在這個福音裡面所體現
[00:03:11.200 --> 00:03:12.600]  不但這樣
[00:03:12.600 --> 00:03:15.700]  然後第六節到第八節
[00:03:15.700 --> 00:03:18.300]  是來告訴我們
[00:03:18.300 --> 00:03:21.000]  我們過去的人生是怎樣的
