
[00:00:00.000 --> 00:00:03.240]  我們中國人有一句說話就是
[00:00:03.240 --> 00:00:05.200]  不怕生壞命
[00:00:05.200 --> 00:00:07.000]  下一句是什麼?
[00:00:07.000 --> 00:00:09.080]  最怕改錯名字
[00:00:09.080 --> 00:00:13.120]  我小時候經常覺得我父母改錯了我的名字
[00:00:13.120 --> 00:00:14.840]  因為我的名字是中文名字
[00:00:14.840 --> 00:00:15.960]  有意思的
[00:00:15.960 --> 00:00:17.520]  有「強」字
[00:00:17.520 --> 00:00:19.240]  但我覺得我不是很強
[00:00:19.240 --> 00:00:22.400]  「強」通常是說運動、健康
[00:00:22.400 --> 00:00:24.040]  小時候經常生病
[00:00:24.040 --> 00:00:26.880]  即是在操場叫得大聲一點
[00:00:26.880 --> 00:00:28.440]  回來一定會有沙聲
[00:00:28.440 --> 00:00:30.120]  沙聲就會被我父母罵
[00:00:30.120 --> 00:00:31.360]  又在學校大喊
[00:00:31.360 --> 00:00:32.640]  其實我不是很喜歡大喊
[00:00:32.640 --> 00:00:34.200]  我是喜歡說話而已
[00:00:34.200 --> 00:00:36.400]  但說話時也會有沙聲
[00:00:36.400 --> 00:00:39.040]  運動是我的弱項
[00:00:39.040 --> 00:00:41.680]  全班四十五人
[00:00:41.680 --> 00:00:44.920]  我通常是跑尾二
[00:00:44.920 --> 00:00:47.280]  最後是二百磅重的死胖子
[00:00:47.280 --> 00:00:50.680]  我比他好一點
[00:00:50.680 --> 00:00:52.600]  所以一點都不強
[00:00:52.600 --> 00:00:54.600]  所以我問我父母為何有「強」字
[00:00:54.600 --> 00:00:57.000]  他說原來中文名字不要看一個字
[00:00:57.000 --> 00:00:58.440]  要看另一個字
[00:00:58.440 --> 00:00:59.840]  「強」
[00:00:59.840 --> 00:01:01.120]  其實是不是讀「石」的
[00:01:01.120 --> 00:01:01.840]  大家知道嗎
[00:01:01.840 --> 00:01:03.400]  有沒有中文老師在這裏
[00:01:03.400 --> 00:01:04.360]  中文班老師
[00:01:04.360 --> 00:01:05.800]  「識強」
[00:01:05.800 --> 00:01:07.160]  「識」是解「次」
[00:01:07.160 --> 00:01:09.440]  不是金銀銅鐵石那些膚淺
[00:01:09.440 --> 00:01:10.280]  金銀銅鐵石
[00:01:10.280 --> 00:01:11.880]  本來改名叫「石」
[00:01:11.880 --> 00:01:13.160]  「識強」
[00:01:13.160 --> 00:01:15.360]  「識強」那字「識」是解「次」
[00:01:15.360 --> 00:01:18.760]  以前「次」是用貝殼來交易
[00:01:18.760 --> 00:01:21.640]  我進化了用金錢來交易
[00:01:21.640 --> 00:01:23.400]  所以「識」即是「次」
[00:01:23.400 --> 00:01:25.760]  他說天父會賜給你強壯
[00:01:25.760 --> 00:01:28.200]  他說你求天父賜給你強壯
[00:01:28.200 --> 00:01:30.480]  這就是你的名字的意思
[00:01:30.480 --> 00:01:31.680]  為何要說這些
[00:01:31.680 --> 00:01:34.720]  今日那個飛拉鐵飛的教會
[00:01:34.720 --> 00:01:36.520]  去到啟示第六個教會
[00:01:36.520 --> 00:01:37.320]  一共七個
[00:01:37.320 --> 00:01:38.240]  尾二
[00:01:38.240 --> 00:01:43.040]  這個「Philadelphia」這個教會的名字
[00:01:43.040 --> 00:01:43.720]  「Philadelphia」
[00:01:43.720 --> 00:01:44.480]  Philo
[00:01:44.480 --> 00:01:46.240]  這個就是希臘文
[00:01:46.240 --> 00:01:50.920]  是解「兄弟之間的情」
[00:01:50.920 --> 00:01:52.960]  美國也有一個「費城」
[00:01:52.960 --> 00:01:54.720]  英文叫「Philadelphia」
[00:01:54.720 --> 00:01:56.360]  現在說的不是那個
[00:01:56.360 --> 00:02:00.480]  這個是一個第一世紀
[00:02:00.480 --> 00:02:03.400]  在小亞、細亞那裡
[00:02:03.400 --> 00:02:06.240]  一個不是很大的城市
[00:02:06.240 --> 00:02:11.680]  但是在啟示六七間教會來說
[00:02:11.680 --> 00:02:13.400]  它也是一個很重要的城市
[00:02:13.400 --> 00:02:16.920]  所以約翰特別要點名提出
[00:02:16.920 --> 00:02:19.280]  這個「兄弟之情」
[00:02:19.280 --> 00:02:22.000]  跟「弟兄之情」很不同
[00:02:22.000 --> 00:02:24.480]  通常我們基督徒說「弟兄」
[00:02:24.480 --> 00:02:27.240]  黑社會才說「兄弟」
[00:02:27.240 --> 00:02:29.840]  「兄弟之情」就是「brotherly love」
[00:02:29.840 --> 00:02:31.880]  就是不關信仰事的
[00:02:31.880 --> 00:02:34.960]  就是普通大家一起很兄弟
[00:02:34.960 --> 00:02:36.400]  當然姊妹也可以
[00:02:36.400 --> 00:02:37.680]  就是一個「情」
[00:02:37.680 --> 00:02:38.680]  大家都知道
[00:02:38.680 --> 00:02:43.960]  在希臘文「love」字有四個不同的英文
[00:02:43.960 --> 00:02:46.320]  希臘文的字
[00:02:46.320 --> 00:02:48.880]  最沒有說膚淺
[00:02:48.880 --> 00:02:49.920]  我們經常都在想
[00:02:49.920 --> 00:02:53.720]  男女之間情慾的「愛」就是「Eros」
[00:02:53.720 --> 00:02:54.840]  這個字
[00:02:54.840 --> 00:02:58.400]  這個就是情慾上的「愛」
[00:02:58.400 --> 00:03:00.720]  我不是說所有男女之間都是這個「愛」
[00:03:00.720 --> 00:03:04.200]  因為我們可以發展成為其他的「愛」
[00:03:04.200 --> 00:03:07.440]  另外一個就是父母和兒子
[00:03:07.440 --> 00:03:09.640]  或者兒子和父母的「愛」叫「Storch」
[00:03:09.640 --> 00:03:13.560]  這個字就有一點責任性的「愛」
[00:03:13.560 --> 00:03:17.480]  小時候我們有責任父母去照顧我們
[00:03:17.480 --> 00:03:18.440]  父母年紀老
[00:03:18.440 --> 00:03:21.920]  我們有個責任去照顧父母
[00:03:21.920 --> 00:03:24.600]  尤其是我們中國人的傳統
[00:03:24.600 --> 00:03:26.080]  我們都是孝順父母
[00:03:26.080 --> 00:03:27.760]  我們都要照顧他們
[00:03:27.760 --> 00:03:29.360]  所以這個就是「Storch」
[00:03:29.360 --> 00:03:32.240]  就是另一種「愛」
[00:03:32.240 --> 00:03:34.120]  就是有責任感的「愛」
[00:03:34.120 --> 00:03:37.160]  「Fellow」這個字就是剛才那個「Philadelphia」的字
[00:03:37.160 --> 00:03:40.320]  就是普遍的兄弟姊妹
[00:03:40.320 --> 00:03:45.040]  普通朋友之間的友情的「愛情」
[00:03:45.040 --> 00:03:48.440]  這個都不是我們今天教會所說的
