
[00:00:00.000 --> 00:00:02.120]  各位電影姊妹大家好
[00:00:02.120 --> 00:00:05.480]  今天跟大家談談入門三件事
[00:00:05.480 --> 00:00:07.480]  在生命樹宣教網絡
[00:00:07.480 --> 00:00:08.840]  跟大家一起讀聖經
[00:00:08.840 --> 00:00:11.960]  看看聖經人和聖經的故事
[00:00:11.960 --> 00:00:13.920]  看到上帝背後的工作
[00:00:13.920 --> 00:00:16.200]  入門三件事
[00:00:16.200 --> 00:00:17.720]  這些不是聖經的字
[00:00:17.720 --> 00:00:19.600]  是我作的字
[00:00:19.600 --> 00:00:23.240]  入門其實是指他們去到迦南地
[00:00:23.240 --> 00:00:25.200]  進到應許之地
[00:00:25.200 --> 00:00:27.880]  一進去就做了三件事
[00:00:27.880 --> 00:00:29.160]  那三件事是什麼呢?
[00:00:29.160 --> 00:00:30.560]  就跟大家看看
[00:00:30.560 --> 00:00:31.760]  也有意思的
[00:00:31.760 --> 00:00:33.360]  也是神叫他們做的
[00:00:33.360 --> 00:00:34.880]  入門三件事
[00:00:34.880 --> 00:00:37.480]  就好像開門三件事
[00:00:37.480 --> 00:00:39.280]  入門三件事
[00:00:39.280 --> 00:00:42.480]  約書亞記第五章第二節
[00:00:42.480 --> 00:00:46.360]  那時耶和華吩咐約書亞說
[00:00:46.360 --> 00:00:49.320]  你製造火石刀
[00:00:49.320 --> 00:00:53.800]  第二次給以色列人行割禮
[00:00:53.800 --> 00:00:57.280]  約書亞製造了火石刀
[00:00:57.280 --> 00:01:00.200]  再脫皮生那裏
[00:01:00.200 --> 00:01:02.960]  給以色列人行割禮
[00:01:02.960 --> 00:01:04.920]  大家可能留意到這次
[00:01:04.920 --> 00:01:06.720]  我用大隻的字
[00:01:06.720 --> 00:01:08.120]  如果我做powerpoint的時候
[00:01:08.120 --> 00:01:09.800]  這隻字是60級
[00:01:09.800 --> 00:01:10.960]  很大隻的字
[00:01:10.960 --> 00:01:13.240]  想大家透過螢光幕
[00:01:13.240 --> 00:01:14.360]  手機
[00:01:14.360 --> 00:01:16.200]  有些頂尖姐妹說
[00:01:16.200 --> 00:01:17.680]  她是用手機看的
[00:01:17.680 --> 00:01:19.480]  這隻字大隻一點好一點
[00:01:19.480 --> 00:01:23.160]  那時他們進去了
[00:01:23.160 --> 00:01:25.000]  耶和華叫約書亞
[00:01:25.000 --> 00:01:26.800]  吩咐他要做
[00:01:26.800 --> 00:01:29.440]  製造火石刀
[00:01:29.440 --> 00:01:31.640]  什麼叫火石刀呢
[00:01:31.640 --> 00:01:38.520]  其實應該叫岩石刀
[00:01:38.520 --> 00:01:41.560]  不是用打火那樣
[00:01:41.560 --> 00:01:43.200]  有火花閃出來
[00:01:43.200 --> 00:01:45.440]  用來點燃木材
[00:01:45.440 --> 00:01:47.760]  用來起火的那些刀
[00:01:47.760 --> 00:01:49.080]  那些火石不是
[00:01:49.080 --> 00:01:52.120]  其實是用石磨一把刀
[00:01:52.120 --> 00:01:53.880]  用石磨一把刀
[00:01:53.880 --> 00:01:57.200]  為什麼不用鐵的刀
[00:01:57.200 --> 00:02:03.160]  似乎神不是很喜歡用鐵的刀
[00:02:03.160 --> 00:02:05.200]  或者用鐵器
[00:02:05.200 --> 00:02:09.320]  或者譬如在會幕裏面
[00:02:09.320 --> 00:02:11.920]  有很多種器具
[00:02:11.920 --> 00:02:18.640]  譬如那些要堆起一個很大的祭壇
[00:02:18.640 --> 00:02:26.080]  祭壇可能是五米乘五米
[00:02:26.080 --> 00:02:27.560]  可能是不止的
[00:02:27.560 --> 00:02:28.840]  很大的祭壇
[00:02:28.840 --> 00:02:33.280]  柴放在地上燒祭身放在上面
[00:02:33.280 --> 00:02:35.680]  有斜路上去
[00:02:35.680 --> 00:02:40.840]  因此你知道底下有很多塊石頭堆下去
[00:02:40.840 --> 00:02:43.000]  才能堆起這麼大
[00:02:43.000 --> 00:02:48.520]  幾十平方尺的祭壇
[00:02:48.520 --> 00:02:51.240]  那怎麼做呢
[00:02:51.240 --> 00:02:55.000]  說明那些石頭在海裏拿回來
[00:02:55.000 --> 00:02:56.320]  或者在哪裡拿回來
[00:02:56.320 --> 00:03:00.920]  是不可以用鐵器碰過、釘過的
[00:03:00.920 --> 00:03:02.880]  不可以用鐵器接觸到的
[00:03:02.880 --> 00:03:05.640]  否則那塊石不能用
[00:03:05.640 --> 00:03:09.480]  可能上帝不是很喜歡鐵器、金屬
[00:03:09.480 --> 00:03:10.720]  撞過的那些東西
[00:03:10.720 --> 00:03:13.080]  叫他們用石來做
[00:03:13.080 --> 00:03:17.480]  火石這個字不算譯得很好
[00:03:17.480 --> 00:03:19.800]  叫他做石刀
[00:03:19.800 --> 00:03:21.680]  或者盤石做出來
[00:03:21.680 --> 00:03:23.720]  做一把刀磨出來
[00:03:23.720 --> 00:03:27.400]  是第二次以色列人行割禮
