
[00:00:00.000 --> 00:00:03.400]  主耶穌基督的十家是我們的榮耀
[00:00:03.400 --> 00:00:05.480]  願榮耀歸給我們
[00:00:05.480 --> 00:00:08.480]  這位釘十字架而復活的主
[00:00:08.480 --> 00:00:11.880]  我們繼續從羅馬書認識
[00:00:11.880 --> 00:00:14.880]  主耶穌基督在我們身上的恩典
[00:00:14.880 --> 00:00:18.760]  今天我們去研讀的經文是羅馬書第六章一至十四節
[00:00:18.760 --> 00:00:22.280]  鼓勵大家可以揭開聖經
[00:00:22.280 --> 00:00:26.760]  羅馬書第六章一至十四節
[00:00:26.760 --> 00:00:34.440]  一起祈禱 主耶穌基督知道我們今天不再活在罪和死的權勢之下
[00:00:34.440 --> 00:00:40.760]  但是活在主耶穌基督這次我們的恩典復活榮耀之下
[00:00:40.760 --> 00:00:43.320]  我們知道我們信主之後
[00:00:43.320 --> 00:00:44.920]  我們的生命不再一樣
[00:00:44.920 --> 00:00:46.920]  奉耶穌基督的名求 阿們
[00:00:46.920 --> 00:00:59.280]  「男人怕入錯行,女人怕嫁錯郎,入錯門都幾麻煩。」
[00:00:59.280 --> 00:01:05.280]  我記得以前有幾位哥哥年紀都大了一截
[00:01:05.280 --> 00:01:09.600]  他們的年代去工作真的要拜師
[00:01:09.600 --> 00:01:12.400]  我曾經有個哥哥要學一些工藝
[00:01:12.400 --> 00:01:17.880]  他要住在師傅家中斟茶遞水 正式拜他為師
[00:01:17.880 --> 00:01:21.160]  慢慢才由這個所謂的師傅教他一些東西
[00:01:21.160 --> 00:01:26.920]  當然我們中國人女士結婚也是叫做嫁入夫門的
[00:01:26.920 --> 00:01:33.000]  婚禮裏面也有斟茶禮象徵這一種的意思
[00:01:33.000 --> 00:01:36.240]  我們入了甚麼的師門
[00:01:36.240 --> 00:01:44.440]  或是入了哪個的夫門很大程度決定了我們將來的命運
[00:01:44.440 --> 00:01:49.720]  我們中國人有時說我的命是怎樣 我的命是生成這樣
[00:01:49.720 --> 00:01:53.920]  又或者因為我選擇了做這個行業 我加入了這個家庭
[00:01:53.920 --> 00:01:56.400]  我的命從此就是這樣
[00:01:56.400 --> 00:01:59.360]  一切都好像在於我們過去做一些決定
[00:01:59.360 --> 00:02:01.640]  或者有些甚至我們控制不了的情況之下
[00:02:01.640 --> 00:02:04.080]  好像我們的命運就定了是這樣
[00:02:04.080 --> 00:02:07.840]  如果作為一個男士 你進入一個行業是正在興盛的
[00:02:07.840 --> 00:02:11.160]  當然水漲船高 你的收入也會不錯
[00:02:11.160 --> 00:02:14.240]  但是如果你進入的是夕陽行業
[00:02:14.240 --> 00:02:18.600]  好像我近日認識一位弟兄
[00:02:18.600 --> 00:02:23.600]  他很多年前是去批發一些電子零件的
[00:02:23.600 --> 00:02:26.280]  但可惜他做了二十多年了
[00:02:26.280 --> 00:02:28.480]  到現在這個行業式微了
[00:02:28.480 --> 00:02:31.760]  很慘 他說他倒閉了公司 再找其他工作
[00:02:31.760 --> 00:02:37.240]  又或者你加入了豪門 不知道你的心是否像海
[00:02:37.240 --> 00:02:41.840]  又或者如果你的夫婿的家庭相反是交到衰落的
[00:02:41.840 --> 00:02:44.440]  那你又要跟著他這樣捱下去
[00:02:44.440 --> 00:02:47.600]  人的命運就是這樣 在於我們進入了哪一道門
[00:02:47.600 --> 00:02:51.240]  原來信耶穌很大程度 我們也可以這樣想
[00:02:51.240 --> 00:02:56.960]  好像進入了另一道門一樣 是影響著我們之後的命運
[00:02:56.960 --> 00:02:59.560]  所以今天我的講題叫做如何轉命
[00:02:59.560 --> 00:03:05.560]  因為我相信 信了耶穌之後 我們的命運是不同了
[00:03:05.560 --> 00:03:07.120]  我們今天去看
[00:03:07.120 --> 00:03:11.560]  究竟如何我們信耶穌之後 我們的命運是會轉變了
[00:03:11.560 --> 00:03:16.960]  我們人無論你喜歡不喜歡 察覺不察覺
[00:03:16.960 --> 00:03:21.040]  我們到了今天都是受制於我們以往人生的故事
