
[00:00:00.000 --> 00:00:01.960]  希望大家身體健康
[00:00:01.960 --> 00:00:03.320]  靈性進步
[00:00:03.320 --> 00:00:05.840]  如果大家一直有回冥恩堂都知道
[00:00:05.840 --> 00:00:09.360]  我會按照那一年的生肖
[00:00:09.360 --> 00:00:10.560]  講一篇《道》
[00:00:10.560 --> 00:00:12.080]  我經常都講
[00:00:12.080 --> 00:00:14.160]  我是掛狗頭賣羊肉
[00:00:14.160 --> 00:00:16.640]  有些人說生肖是迷信的東西
[00:00:16.640 --> 00:00:18.160]  這是包裝
[00:00:18.160 --> 00:00:20.800]  我會跟大家來看關於蛇的東西
[00:00:20.800 --> 00:00:24.000]  《聖經》裏面對於蛇有很多描繪
[00:00:24.000 --> 00:00:28.080]  在《希伯來文》裏面有九個不同的字來描繪蛇
[00:00:28.160 --> 00:00:31.800]  在《希利文》裏面有四個字是描繪蛇的
[00:00:31.800 --> 00:00:33.760]  動物學家告訴我們
[00:00:33.760 --> 00:00:37.000]  原來在爬蟲類動物
[00:00:37.000 --> 00:00:38.920]  蛇的生命力很強
[00:00:38.920 --> 00:00:40.320]  還有分佈得很廣
[00:00:40.320 --> 00:00:42.320]  整個地球
[00:00:42.320 --> 00:00:45.440]  除了南極沒有蛇之外
[00:00:45.440 --> 00:00:47.080]  到處都有蛇
[00:00:47.080 --> 00:00:49.600]  但是我覺得有一點偏差
[00:00:49.600 --> 00:00:51.680]  如果南極有人工作
[00:00:51.680 --> 00:00:53.120]  都一樣有蛇的
[00:00:53.120 --> 00:00:55.240]  無論如何
[00:00:55.240 --> 00:00:56.800]  蛇是怎樣呢?
[00:00:56.800 --> 00:00:58.920]  是被人覺得很奸狡
[00:00:58.920 --> 00:01:03.440]  而事實上在古代裏面有很多人是拜蛇的
[00:01:03.440 --> 00:01:07.400]  在中東他們發現了一些古蹟
[00:01:07.400 --> 00:01:10.440]  有一些蛇纏著柱子
[00:01:10.440 --> 00:01:12.480]  人們都是去拜這些蛇
[00:01:12.480 --> 00:01:15.080]  在《希臘神話》裏面
[00:01:15.080 --> 00:01:18.000]  有四個重要的神
[00:01:18.000 --> 00:01:19.720]  一個就是宙斯神
[00:01:19.720 --> 00:01:21.000]  掌管著宇宙
[00:01:21.000 --> 00:01:22.880]  一個叫雅典娜女神
[00:01:22.880 --> 00:01:24.440]  如果大家去希臘的時候
[00:01:24.440 --> 00:01:26.120]  都有雅典娜女神廟
[00:01:26.280 --> 00:01:27.800]  有一個就是酒神
[00:01:27.800 --> 00:01:29.520]  也是生殖的神
[00:01:29.520 --> 00:01:32.840]  人們去拜祭的時候要喝酒和放縱
[00:01:32.840 --> 00:01:34.480]  但是第四個神
[00:01:34.480 --> 00:01:36.520]  就叫做阿克利比亞神
[00:01:36.520 --> 00:01:37.960]  這個神是怎樣呢?
[00:01:37.960 --> 00:01:39.440]  就是一個醫治的神
[00:01:39.440 --> 00:01:43.160]  我們認為蛇是可以醫治人的
[00:01:43.160 --> 00:01:46.920]  在《啟示錄》第二第三章裏面
[00:01:46.920 --> 00:01:50.360]  耶穌寫了七封書信給七間教會
[00:01:50.360 --> 00:01:54.000]  其中別加摩的教會是在山上
[00:01:54.000 --> 00:01:55.520]  如果我們去參觀的時候
[00:01:55.640 --> 00:01:57.480]  會有撒旦的座位
[00:01:57.480 --> 00:02:00.200]  就是有一個祭壇去拜假神
[00:02:00.200 --> 00:02:01.640]  但是有一間醫院
[00:02:01.640 --> 00:02:03.520]  我們參觀這間醫院的遺跡
[00:02:03.520 --> 00:02:04.520]  告訴我們
[00:02:04.520 --> 00:02:05.920]  病人是怎樣呢?
[00:02:05.920 --> 00:02:07.880]  如果有病的人就會送入這間醫院
[00:02:07.880 --> 00:02:08.880]  是睡在地上的
[00:02:08.880 --> 00:02:11.040]  但是在這間房裏面
[00:02:11.040 --> 00:02:12.920]  是有很多蛇的
[00:02:12.920 --> 00:02:14.200]  不過已經拔掉牙齒了
[00:02:14.200 --> 00:02:17.880]  這些蛇就會在病人的身上滾過
