
[00:00:00.000 --> 00:00:05.000]  一位蔡兆浩弟兄曾經這樣分享
[00:00:05.000 --> 00:00:09.000]  他說工作了二十多年
[00:00:09.000 --> 00:00:12.000]  可以說是很順利
[00:00:12.000 --> 00:00:16.000]  但是在一年前第一次失業
[00:00:16.000 --> 00:00:20.000]  半年後才找到新的工作
[00:00:20.000 --> 00:00:25.000]  曾經在一間上市公司耕耘了有十七年
[00:00:25.000 --> 00:00:34.000]  多年來協助公司賺過超過一億的利潤
[00:00:34.000 --> 00:00:37.000]  一旦遭遇收購
[00:00:37.000 --> 00:00:43.000]  高薪的董事總經理立刻被弄出局
[00:00:43.000 --> 00:00:46.000]  這就是正正自己
[00:00:46.000 --> 00:00:50.000]  我因為薪金豐厚
[00:00:50.000 --> 00:00:54.000]  新股東執行一個商業的行為
[00:00:54.000 --> 00:00:56.000]  只給我兩天的通知
[00:00:56.000 --> 00:00:58.000]  就是叫我離任
[00:00:58.000 --> 00:01:01.000]  甚至沒有任何的補償
[00:01:01.000 --> 00:01:05.000]  而各方好友都勸我提出訴訟
[00:01:05.000 --> 00:01:07.000]  我是一位基督徒
[00:01:07.000 --> 00:01:11.000]  知道上主有這樣的安排
[00:01:11.000 --> 00:01:14.000]  得失之間總是有祂的意思
[00:01:14.000 --> 00:01:18.000]  日子一日日這樣去流逝
[00:01:18.000 --> 00:01:22.000]  是什麼力量去支持我呢?
[00:01:22.000 --> 00:01:24.000]  神給我一句說話
[00:01:24.000 --> 00:01:27.000]  祂有領我到寬闊之處
[00:01:27.000 --> 00:01:29.000]  祂救拔我
[00:01:29.000 --> 00:01:31.000]  因祂喜悅我
[00:01:31.000 --> 00:01:34.000]  在詩篇十八篇十九節
[00:01:34.000 --> 00:01:37.000]  所以遇到挫折的時候
[00:01:37.000 --> 00:01:40.000]  也沒有去怨恨
[00:01:40.000 --> 00:01:44.000]  反而神要我去祝福主事的人
[00:01:44.000 --> 00:01:52.000]  祈禱之後打消了訴諸律法的念頭
[00:01:52.000 --> 00:01:55.000]  神要我去轉行
[00:01:55.000 --> 00:02:00.000]  必定是帶我去一個新的空間
[00:02:00.000 --> 00:02:04.000]  事後神很奇妙地讓我在舊公司裡
[00:02:04.000 --> 00:02:07.000]  得到基本的補償
[00:02:07.000 --> 00:02:09.000]  苦樂平揚
[00:02:09.000 --> 00:02:12.000]  三個月之後工作仍未有著落
[00:02:12.000 --> 00:02:14.000]  有一天晚上
[00:02:14.000 --> 00:02:17.000]  九歲的女兒愛父深切
[00:02:17.000 --> 00:02:22.000]  跪下來為我的工作去禱告
[00:02:22.000 --> 00:02:25.000]  第二天有一份臨時的工作
[00:02:25.000 --> 00:02:28.000]  雖然只是暫時性質
[00:02:28.000 --> 00:02:31.000]  也非常感恩
[00:02:31.000 --> 00:02:34.000]  之後就安心和家人
[00:02:34.000 --> 00:02:37.000]  去歐洲一個暢快的旅程
[00:02:37.000 --> 00:02:40.000]  共聚天倫
[00:02:40.000 --> 00:02:43.000]  旅程回來之後逆轉
[00:02:43.000 --> 00:02:48.000]  一下子有三份工作邀請
[00:02:48.000 --> 00:02:50.000]  很難做抉擇
[00:02:50.000 --> 00:02:53.000]  兩天都睡得好
[00:02:53.000 --> 00:02:57.000]  頭一份的工作條件很優厚
[00:02:57.000 --> 00:03:01.000]  又接近我以前的經驗
[00:03:01.000 --> 00:03:06.000]  但我問過全球最佳顧問耶穌基督
[00:03:06.000 --> 00:03:12.000]  他的意見後決定選擇另一份工作
[00:03:12.000 --> 00:03:15.000]  我完全沒有經驗的行業
[00:03:15.000 --> 00:03:19.000]  獵頭公司大惑不解
[00:03:19.000 --> 00:03:22.000]  因為薪金少了四成
[00:03:22.000 --> 00:03:26.000]  兩個月後亞太區風雲變色
[00:03:26.000 --> 00:03:30.000]  讓我條件最優厚的公司天翻地覆
[00:03:30.000 --> 00:03:37.000]  讓我經歷到主的帶領確實是正確的
[00:03:37.000 --> 00:03:42.000]  在哥羅西書二章六至七節的經文
[00:03:42.000 --> 00:03:47.000]  都讓我們看到我們信仰的核心
[00:03:47.000 --> 00:03:53.000]  當我們接受耶穌基督成為我們生命的主宰
[00:03:53.000 --> 00:03:57.000]  就要靠著祂來生活
[00:03:57.000 --> 00:04:00.000]  照著我們所領受的教導
[00:04:00.000 --> 00:04:02.000]  就是神自己的話語
[00:04:02.000 --> 00:04:06.000]  在祂裏面生根成長
[00:04:06.000 --> 00:04:09.000]  讓我們的信心可以堅固
[00:04:09.000 --> 00:04:13.000]  在基督裏面生根的意思
[00:04:13.000 --> 00:04:18.000]  就是植物好像在泥土裏面吸收的養分一樣
[00:04:18.000 --> 00:04:21.000]  來成長
[00:04:21.000 --> 00:04:25.000]  基督徒的生活是建立在兩方面
[00:04:25.000 --> 00:04:31.000]  第一就是對耶穌基督有一個很紮實的認識
[00:04:31.000 --> 00:04:36.000]  第二就是和耶穌建立一份親密的關係
[00:04:36.000 --> 00:04:38.000]  與主同行
[00:04:38.000 --> 00:04:40.000]  如果是這樣的時候
[00:04:40.000 --> 00:04:42.000]  我們可以在信仰裏面
[00:04:42.000 --> 00:04:46.000]  我們的信心得以堅固
[00:04:46.000 --> 00:04:50.000]  可以存著感恩的心來讚美主
[00:04:50.000 --> 00:04:54.000]  因為從基督裏面得著力量
[00:04:54.000 --> 00:04:56.000]  來生活
[00:04:56.000 --> 00:05:01.000]  我們越多在主裏面得著力量
[00:05:01.000 --> 00:05:09.000]  越能夠體會到怎樣去經歷不同生命的挑戰
[00:05:09.000 --> 00:05:14.000]  在《真言三十章》第一節裏面提到
[00:05:14.000 --> 00:05:17.000]  雅基和阿古爾
[00:05:17.000 --> 00:05:19.000]  可能是阿拉伯人
[00:05:19.000 --> 00:05:22.000]  但他們認識我們的神
[00:05:22.000 --> 00:05:27.000]  就是在舊約裏面第一次出現的兩位
[00:05:27.000 --> 00:05:30.000]  學者多數認為
[00:05:30.000 --> 00:05:36.000]  其中的「真言」應該是譯為一個專有名詞「瑪撒」
[00:05:36.000 --> 00:05:41.000]  可以追溯到以撒瑪利的後裔「瑪撒」
[00:05:41.000 --> 00:05:45.000]  是阿拉伯以北一個宗族
[00:05:45.000 --> 00:05:48.000]  經文交代了
[00:05:48.000 --> 00:05:52.000]  阿古爾的言語是
[00:05:52.000 --> 00:05:57.000]  他對以鐵和烏鎘講出下文
[00:05:57.000 --> 00:06:02.000]  以鐵和烏鎘可能就是他的門徒
[00:06:02.000 --> 00:06:05.000]  第一方面我們看到作者
[00:06:05.000 --> 00:06:08.000]  他去尋索真理
[00:06:08.000 --> 00:06:10.000]  從第二第三節的經文
[00:06:10.000 --> 00:06:13.000]  強調到人的限制
[00:06:13.000 --> 00:06:17.000]  世人需要神自己的啟示
[00:06:17.000 --> 00:06:20.000]  才可以去認識他
[00:06:20.000 --> 00:06:23.000]  憑著自己的聰明智慧
[00:06:23.000 --> 00:06:27.000]  人沒有辦法去認識這位真神
[00:06:27.000 --> 00:06:30.000]  第四節說到
[00:06:30.000 --> 00:06:33.000]  誰升天又降下來
[00:06:33.000 --> 00:06:36.000]  誰罪風在掌握中
[00:06:36.000 --> 00:06:39.000]  誰包水在衣服裏
[00:06:39.000 --> 00:06:41.000]  誰立定地的四極
[00:06:41.000 --> 00:06:43.000]  他名叫什麽
[00:06:43.000 --> 00:06:45.000]  他兒子名叫什麽
