
[00:00:00.000 --> 00:00:03.000]  今日要跟大家講一個題目
[00:00:03.000 --> 00:00:04.200]  第九章
[00:00:04.200 --> 00:00:06.600]  我們一齊大大聲讀好嗎 預備起
[00:00:06.600 --> 00:00:08.900]  「禍福由你選」
[00:00:08.900 --> 00:00:09.800]  再來一次
[00:00:09.800 --> 00:00:12.200]  「禍福由你選」
[00:00:12.200 --> 00:00:15.600]  你有沒有想過禍福可以自己去選的呢
[00:00:15.600 --> 00:00:20.100]  中間有沒有人
[00:00:20.100 --> 00:00:22.100]  你的名字叫做「鎖羅門」
[00:00:22.100 --> 00:00:23.200]  有沒有啊
[00:00:23.200 --> 00:00:24.500]  有沒有啊
[00:00:24.500 --> 00:00:26.400]  我認識兩個
[00:00:26.400 --> 00:00:29.000]  在我朋友當中有兩個人叫做「鎖羅門」
[00:00:29.600 --> 00:00:32.400]  我不知道在你的印象裏面
[00:00:32.400 --> 00:00:33.800]  你讀聖經的裏面
[00:00:33.800 --> 00:00:36.200]  小時候我就會這樣想的
[00:00:36.200 --> 00:00:37.600]  哇 鎖羅門真是很好
[00:00:37.600 --> 00:00:38.900]  我們非常之羨慕的
[00:00:38.900 --> 00:00:40.300]  一般人來說
[00:00:40.300 --> 00:00:43.200]  當特別安他們叫做鎖羅門的時候
[00:00:43.200 --> 00:00:44.800]  心裏面都是這樣想
[00:00:44.800 --> 00:00:47.200]  其實你羨慕鎖羅門些什麼呢
[00:00:47.200 --> 00:00:51.200]  可能你會說
[00:00:51.200 --> 00:00:54.200]  啊 鎖羅門這麼聰明
[00:00:54.200 --> 00:00:55.600]  這麼有智慧
[00:00:55.600 --> 00:00:59.400]  他的智慧值得我們羨慕 是不是
[00:00:59.400 --> 00:01:02.000]  還有什麼呢
[00:01:02.000 --> 00:01:04.600]  當我們知道其實看鎖羅門的時候
[00:01:04.600 --> 00:01:06.800]  他的財富
[00:01:06.800 --> 00:01:08.000]  即是他的富強
[00:01:08.000 --> 00:01:09.600]  也是值得我們非常羨慕
[00:01:09.600 --> 00:01:10.800]  聖經裏面這樣說
[00:01:10.800 --> 00:01:12.000]  他說
[00:01:12.000 --> 00:01:14.800]  鎖羅門的財寶與智慧
[00:01:14.800 --> 00:01:17.200]  勝過天下的烈王
[00:01:17.200 --> 00:01:20.000]  這個也是我們所羨慕的
[00:01:20.000 --> 00:01:21.200]  更加有一樣東西
[00:01:21.200 --> 00:01:22.800]  是值得我們羨慕的
[00:01:22.800 --> 00:01:24.400]  就是他那種福氣
[00:01:24.400 --> 00:01:25.400]  因為我們知道
[00:01:25.400 --> 00:01:27.400]  他能夠為什麼
[00:01:27.400 --> 00:01:29.400]  耶和華建了一座聖殿
[00:01:29.400 --> 00:01:31.400]  並且到今時今日
[00:01:31.400 --> 00:01:33.400]  我們也會說這個聖殿叫做什麼呢
[00:01:33.400 --> 00:01:35.400]  鎖羅門的聖殿
[00:01:35.400 --> 00:01:37.400]  如果你想YouTube去查
[00:01:37.400 --> 00:01:39.400]  打下去就已經找到了
[00:01:39.400 --> 00:01:43.400]  我們也羨慕他什麼呢
[00:01:43.400 --> 00:01:46.400]  嘩 兩次向他顯現
[00:01:46.400 --> 00:01:48.400]  嘩 有一次也好
[00:01:48.400 --> 00:01:50.400]  可能我們心裏想 是不是
[00:01:50.400 --> 00:01:52.400]  兩次的來向他顯現
[00:01:57.400 --> 00:01:59.400]  二十歲登基
[00:01:59.400 --> 00:02:01.400]  在位四十年統治
[00:02:01.400 --> 00:02:03.400]  六十歲
[00:02:03.400 --> 00:02:05.400]  他就離世
[00:02:05.400 --> 00:02:09.400]  一個這麼顯赫的一個君王
[00:02:09.400 --> 00:02:13.400]  在主前九百三十年
[00:02:13.400 --> 00:02:17.400]  他離世之後
[00:02:17.400 --> 00:02:19.400]  他的王國
[00:02:19.400 --> 00:02:23.400]  他的國土
[00:02:23.400 --> 00:02:25.400]  我們說他的國土
[00:02:25.400 --> 00:02:27.400]  他的王國就隨即分裂
[00:02:27.400 --> 00:02:29.400]  我們會問為什麼
[00:02:29.400 --> 00:02:31.400]  我們會問為什麼
[00:02:31.400 --> 00:02:33.400]  我們今天來看看
[00:02:33.400 --> 00:02:37.400]  我們的經文裏面
[00:02:37.400 --> 00:02:39.400]  我們來看一看
[00:02:39.400 --> 00:02:41.400]  可不可以轉了一些字體
[00:02:41.400 --> 00:02:43.400]  為什麼出了這麼幼的字
[00:02:43.400 --> 00:02:45.400]  可以嗎
[00:02:45.400 --> 00:02:47.400]  看不看得到你們
[00:02:47.400 --> 00:02:49.400]  好 我們一起來讀
[00:02:49.400 --> 00:02:51.400]  是第九章的
[00:02:51.400 --> 00:02:53.400]  第一至第九節
[00:02:53.400 --> 00:02:55.400]  我們可不可以這樣
[00:02:55.400 --> 00:02:57.400]  有兩種式的 是不是
[00:02:57.400 --> 00:02:59.400]  第一節請我們的弟兄大大聲讀
[00:02:59.400 --> 00:03:01.400]  二三節我們姐妹這樣
[00:03:01.400 --> 00:03:03.400]  我們用啟認的方式
[00:03:03.400 --> 00:03:05.400]  預備起
[00:03:05.400 --> 00:03:15.400]  耶和華就二次向所羅門顯現
[00:03:15.400 --> 00:03:19.400]  如先前在欺騙向他顯現一樣
[00:03:19.400 --> 00:03:23.400]  對他說:你向我所禱告祈求的
[00:03:23.400 --> 00:03:25.400]  我都應允了
[00:03:25.400 --> 00:03:27.400]  我已將你所見
[00:03:27.400 --> 00:03:29.400]  這殿分別為聖
[00:03:29.400 --> 00:03:33.400]  使我的名永遠在其中
[00:03:33.400 --> 00:03:37.400]  我的眼我的心也必尚在那裡
[00:03:37.400 --> 00:03:39.400]  弟兄
[00:03:49.400 --> 00:03:51.400]  弟兄
[00:03:51.400 --> 00:03:53.400]  弟兄
[00:03:53.400 --> 00:03:55.400]  弟兄
[00:03:55.400 --> 00:03:57.400]  弟兄
[00:03:57.400 --> 00:03:59.400]  弟兄
[00:03:59.400 --> 00:04:01.400]  弟兄
[00:04:01.400 --> 00:04:03.400]  弟兄
[00:04:03.400 --> 00:04:05.400]  弟兄
[00:04:05.400 --> 00:04:07.400]  姐妹第六節
