
[00:00:00.000 --> 00:00:10.000]  首先我們要看看,上帝如何看待貧窮人,或者一些貧困的人。
[00:00:10.000 --> 00:00:13.000]  《整本聖經》
[00:00:13.000 --> 00:00:20.000]  觀乎《整本聖經》,我們不難得出一個結論,就是上帝特別關顧貧困者,
[00:00:20.000 --> 00:00:24.000]  甚至可以說上帝是偏愛一些貧困的人。
[00:00:24.000 --> 00:00:30.000]  一個學者叫做 Richard Stern,他是一個學者,一個作家,
[00:00:30.000 --> 00:00:33.000]  以及他有很多扶貧的工作和經驗。
[00:00:33.000 --> 00:00:42.000]  他這樣說,他說如果拿走關於貧窮和公義相關的二千多項經文的時候,
[00:00:42.000 --> 00:00:46.000]  整個《聖經》就會變得破爛,
[00:00:46.000 --> 00:00:50.000]  好像這個水桶那樣,好像有洞的福音,
[00:00:51.000 --> 00:00:57.000]  二千多則有關貧窮的經文。
[00:00:57.000 --> 00:01:00.000]  所以《整本聖經》由舊約到新約,
[00:01:00.000 --> 00:01:05.000]  很清晰地指出神對貧窮人的心意,
[00:01:05.000 --> 00:01:14.000]  以及提出整全使命有關向貧窮人關懷他們的方向。
[00:01:14.000 --> 00:01:17.000]  主要有四個方向,第一個就是「身」,
[00:01:17.000 --> 00:01:23.000]  「身」的意思是身體物質,而「心」的意思是心理和情感。
[00:01:23.000 --> 00:01:31.000]  「社」是社會的關聯,而「靈」很明顯是靈命,屬靈上的東西。
[00:01:31.000 --> 00:01:37.000]  兩個星期前,Pastor Lillian曾經跟我們分享過這個身心舍靈的全人關懷,
[00:01:37.000 --> 00:01:40.000]  所以今天不再多和大家重複了。
[00:01:40.000 --> 00:01:48.000]  剛才也提到有關貧窮的經文有多少則,超過二千,
[00:01:48.000 --> 00:01:53.000]  所以今天我只能夠抽一些和大家分享。
[00:01:53.000 --> 00:01:58.000]  首先看看舊約,舊約摩西律法有一個叫「十為系統」,
[00:01:58.000 --> 00:02:00.000]  我們一起讀吧,一二三:
[00:02:00.000 --> 00:02:08.000]  「在你們的地收割莊稼,不可割盡田角,也不可拾取所為樂的,
[00:02:08.000 --> 00:02:15.000]  不可摘盡葡萄園的果子,也不可拾取葡萄園所釣的果子,
[00:02:15.000 --> 00:02:20.000]  要留給窮人或寄居的,我是耶和華,你們的神。」
[00:02:20.000 --> 00:02:22.000]  這有三個意義。
[00:02:22.000 --> 00:02:27.000]  第一個意義,我們很多時候都會說「路不十為」,
[00:02:27.000 --> 00:02:32.000]  即是說我們在街上撿到東西,銀包和錢,我們要怎樣?
[00:02:32.000 --> 00:02:34.000]  我們要拿去警署報案。
