
[00:00:00.000 --> 00:00:03.000]  以前我在讀神學院的時候
[00:00:03.000 --> 00:00:05.000]  有人問我們的院長
[00:00:05.000 --> 00:00:07.000]  我們那個時候是林院長
[00:00:07.000 --> 00:00:08.000]  問那個院長說
[00:00:08.000 --> 00:00:12.000]  你用什麼方式來治理這個神學院
[00:00:12.000 --> 00:00:15.000]  那這個院長就說神童債
[00:00:15.000 --> 00:00:18.000]  就是他用神童債來經營一所神學院
[00:00:18.000 --> 00:00:20.000]  那問他的人覺得很疑惑
[00:00:20.000 --> 00:00:23.000]  這麼簡單就可以經營一所神學院
[00:00:23.000 --> 00:00:25.000]  結果後來就發現說
[00:00:25.000 --> 00:00:29.000]  我們這個院長他單單就是神童債這三個字
[00:00:29.000 --> 00:00:31.000]  他把一個神學院經營得很好
[00:00:31.000 --> 00:00:34.000]  那其中這個神學院有一個特色
[00:00:34.000 --> 00:00:36.000]  就是我們那個時候有一個商店
[00:00:36.000 --> 00:00:38.000]  叫做良心商店
[00:00:38.000 --> 00:00:40.000]  這個商店都沒人管的
[00:00:40.000 --> 00:00:42.000]  就是裡面有各式各樣的貨品
[00:00:42.000 --> 00:00:45.000]  然後我們要去買東西就自己拿了東西
[00:00:45.000 --> 00:00:47.000]  然後把錢放在一個盒子裡面
[00:00:47.000 --> 00:00:50.000]  結果這個商店就很
[00:00:50.000 --> 00:00:52.000]  大家都很方便
[00:00:52.000 --> 00:00:55.000]  但是不用人管
[00:00:55.000 --> 00:00:57.000]  為什麼 因為神童債
[00:00:57.000 --> 00:00:59.000]  那後來我畢業了
[00:00:59.000 --> 00:01:01.000]  畢業了以後呢
[00:01:01.000 --> 00:01:04.000]  我們很懷念的一件事情是這個良心商店
[00:01:04.000 --> 00:01:06.000]  因為那是很特別的
[00:01:06.000 --> 00:01:09.000]  就問說這良心商店還在不在
[00:01:09.000 --> 00:01:11.000]  結果關門了
[00:01:11.000 --> 00:01:13.000]  因為我畢業以後那個院長
[00:01:13.000 --> 00:01:15.000]  他也回美國去了
[00:01:15.000 --> 00:01:18.000]  就換人做院長了
[00:01:18.000 --> 00:01:21.000]  那個良心商店也跟著就消失了
[00:01:21.000 --> 00:01:26.000]  所以神童債是很奇妙的事情
[00:01:26.000 --> 00:01:28.000]  那我今天要分享的一個主題
[00:01:28.000 --> 00:01:31.000]  就是我們的福氣 神童債
[00:01:31.000 --> 00:01:32.000]  那我們有一首詩歌
[00:01:32.000 --> 00:01:34.000]  剛剛唱的詩歌就是
[00:01:34.000 --> 00:01:36.000]  神童債
[00:01:36.000 --> 00:01:40.000]  那我想神童債是我們很熟悉的一個名詞
[00:01:40.000 --> 00:01:43.000]  但是我今天要再一次來
[00:01:43.000 --> 00:01:45.000]  在這個熟悉的名詞當中
[00:01:45.000 --> 00:01:47.000]  我們再次來明白它的真意
[00:01:47.000 --> 00:01:50.000]  我們來看馬太福音一章二十三節
[00:01:50.000 --> 00:02:02.000]  馬太福音一章二十三節
[00:02:02.000 --> 00:02:08.000]  馬太福音一章二十三節
[00:02:08.000 --> 00:02:10.000]  翻到了我們請一起來念
[00:02:10.000 --> 00:02:13.000]  請 必有童女懷孕生子
[00:02:13.000 --> 00:02:16.000]  人要稱她的名為伊瑪內利
[00:02:16.000 --> 00:02:21.000]  伊瑪內利翻出來就是神與我們同在
[00:02:21.000 --> 00:02:22.000]  我們再念一遍
[00:02:22.000 --> 00:02:25.000]  必有童女懷孕生子
[00:02:25.000 --> 00:02:28.000]  人要稱她的名為伊瑪內利
[00:02:28.000 --> 00:02:36.000]  伊瑪內利翻出來就是神與我們同在
[00:02:36.000 --> 00:02:40.000]  這一節經文它的背景就是
[00:02:40.000 --> 00:02:43.000]  瑪麗亞的丈夫約瑟知道瑪麗亞懷孕了
