
[00:00:00.000 --> 00:00:05.360]  我們上禮拜講到的這個信息講到保羅他在監獄的時候
[00:00:05.360 --> 00:00:07.360]  他還是歡喜快樂
[00:00:07.360 --> 00:00:08.960]  他為什麼歡喜快樂呢
[00:00:08.960 --> 00:00:13.920]  因為他覺得即便他是在坐監牢被關起來的時候
[00:00:13.920 --> 00:00:17.760]  他傳福音被羅馬政府把他關到監牢裡面去
[00:00:17.760 --> 00:00:22.400]  他覺得他只要福音被傳出去他就歡喜快樂
[00:00:22.400 --> 00:00:26.080]  甚至他說有的人好像是忌妒他
[00:00:26.080 --> 00:00:30.560]  有的人是打擊他暗中用暗箭來射他
[00:00:30.560 --> 00:00:33.120]  他說不管如何不管是真心假意
[00:00:33.120 --> 00:00:35.200]  不管是什麼樣的情況之下
[00:00:35.200 --> 00:00:40.080]  只要耶穌基督被傳出去我就歡喜了
[00:00:40.080 --> 00:00:42.720]  Amen
[00:00:42.720 --> 00:00:44.400]  所以當保羅講完這個之後
[00:00:44.400 --> 00:00:49.920]  他接著就講了今天這段經文
[00:00:49.920 --> 00:00:52.640]  他說因為我知道這是藉著你們的祈禱
[00:00:52.640 --> 00:00:58.560]  和耶穌基督之靈的幫助終必叫我得救
[00:00:58.560 --> 00:01:00.320]  保羅在這邊講的終必叫我得救
[00:01:00.320 --> 00:01:02.480]  不是那個信耶穌得救的得救
[00:01:02.480 --> 00:01:06.000]  保羅講的是他相信有一天
[00:01:06.000 --> 00:01:10.160]  他會從這個監牢當中被釋放出來
[00:01:10.160 --> 00:01:17.920]  當然其實我們知道最後保羅最後還是殉道了
[00:01:17.920 --> 00:01:20.640]  可是他要表達的就是
[00:01:20.640 --> 00:01:23.520]  他對這一位祖對這位耶穌基督
[00:01:23.520 --> 00:01:26.000]  對他所傳的這位祖
[00:01:26.000 --> 00:01:30.000]  他有這樣子的一個把握和信心
[00:01:30.000 --> 00:01:33.760]  接著他就說照著我所切摩所盼望的
[00:01:33.760 --> 00:01:36.080]  沒有一件事情叫我羞愧
[00:01:36.080 --> 00:01:40.240]  只要凡事放膽無論是生是死
[00:01:40.240 --> 00:01:48.800]  總叫基督在我身上照常顯大
[00:01:48.800 --> 00:01:55.920]  保羅說無論是生無論是活著或者是死
[00:01:55.920 --> 00:01:57.520]  他只有這一件事情
[00:01:57.520 --> 00:02:02.880]  也可以說這件事情要是他人生當中最重要的一件事情
[00:02:02.880 --> 00:02:08.960]  就是叫基督在我身上照常顯大
[00:02:08.960 --> 00:02:13.600]  在這個地方帶出了保羅的人生觀
[00:02:13.600 --> 00:02:15.920]  什麼叫人生觀
[00:02:15.920 --> 00:02:20.000]  聽起來很熟悉其實又很陌生
[00:02:20.000 --> 00:02:21.440]  今天這個年代
[00:02:21.440 --> 00:02:26.400]  你會發現這種屬於這種思維性的東西
[00:02:26.400 --> 00:02:30.400]  已經比較少被談到是吧
[00:02:30.400 --> 00:02:31.600]  所以我不要講人生觀
[00:02:31.600 --> 00:02:34.400]  我講一個比較簡單一點
[00:02:34.400 --> 00:02:36.400]  就是你人生的目標是什麼
[00:02:36.400 --> 00:02:39.360]  問一下你旁邊人
[00:02:39.360 --> 00:02:40.720]  不管你年輕年老了
[00:02:40.720 --> 00:02:42.480]  你都應該還是有目標
[00:02:42.480 --> 00:02:46.000]  不然的話就會行屍走肉
[00:02:46.000 --> 00:02:51.760]  問一下你旁邊你的人生目標
[00:02:51.760 --> 00:02:54.880]  你說我都不知道我還有幾年可以活沒關係
[00:02:54.880 --> 00:02:57.840]  那你就問你在活著這幾年當中
[00:02:57.840 --> 00:03:10.960]  你的目標是什麼
[00:03:10.960 --> 00:03:12.480]  有沒有人可以告訴我
[00:03:12.480 --> 00:03:15.440]  我問一下30歲以下的
[00:03:15.440 --> 00:03:18.880]  30歲以下舉下手
[00:03:18.880 --> 00:03:23.040]  30歲以下的
[00:03:23.040 --> 00:03:27.120]  第一排你們應該都舉手
[00:03:27.120 --> 00:03:29.840]  請告訴我你們人生觀是什麼
[00:03:29.840 --> 00:03:31.280]  人活著是為什麼
[00:03:31.280 --> 00:03:35.120]  你人生的目標是什麼
[00:03:35.120 --> 00:03:36.800]  有沒有想過這個問題
[00:03:36.800 --> 00:03:38.960]  年輕人
[00:03:38.960 --> 00:03:42.720]  有沒有 你不好意思回答沒關係
[00:03:42.720 --> 00:03:46.240]  你告訴我有沒有想過這個問題
[00:03:46.240 --> 00:03:51.280]  有沒有 有嗎 沒有啊
[00:03:51.280 --> 00:03:55.440]  好 酷
[00:03:55.440 --> 00:03:58.640]  好 那我也問一下
[00:03:58.640 --> 00:04:04.400]  30歲到50歲的壯年 中壯年的
[00:04:04.400 --> 00:04:06.800]  請告訴我你的人生目標是什麼
[00:04:06.800 --> 00:04:11.280]  有沒有人可以告訴我
[00:04:11.280 --> 00:04:13.840]  你不需要回答我標準答案
[00:04:13.840 --> 00:04:19.440]  就是你想你人生的目標是什麼
[00:04:19.440 --> 00:04:22.240]  大聲一點
[00:04:22.240 --> 00:04:25.920]  Michelle我聽到你在講話
[00:04:25.920 --> 00:04:29.040]  沒有了
[00:04:29.040 --> 00:04:32.320]  好
[00:04:32.320 --> 00:04:36.640]  你的人生觀是什麼
[00:04:36.640 --> 00:04:38.000]  好 我也問一下
[00:04:38.000 --> 00:04:45.680]  有人生觀的請舉手好嗎
[00:04:45.680 --> 00:04:46.800]  請放下
[00:04:46.800 --> 00:04:51.760]  沒人生觀的請舉手
[00:04:51.760 --> 00:04:53.680]  只有我們年輕人敢舉手
[00:04:53.680 --> 00:04:54.960]  其他人都不舉手
[00:04:54.960 --> 00:05:02.320]  剛才沒有舉手的請你舉一下手好不好
[00:05:02.320 --> 00:05:06.240]  你是always就是中國人
[00:05:06.240 --> 00:05:09.360]  不偏左也不偏右
[00:05:09.360 --> 00:05:15.520]  反正你怎麼問我就是中立
[00:05:15.520 --> 00:05:17.280]  這個問題很重要
[00:05:17.280 --> 00:05:30.560]  跟你旁邊說這個問題很重要
[00:05:30.560 --> 00:05:33.680]  在去年的時候
[00:05:33.680 --> 00:05:38.720]  其實一個統計是2021年的統計
[00:05:38.720 --> 00:05:40.160]  一個是2023年統計
[00:05:40.160 --> 00:05:44.560]  我先講2021年的統計
[00:05:44.560 --> 00:05:48.080]  美國大部分的
[00:05:48.080 --> 00:05:50.800]  也可以說就是57%
[00:05:50.800 --> 00:05:53.200]  其實這個大部分沒有多多少
[00:05:53.200 --> 00:06:00.000]  57%的人他們問了下面這個問題
[00:06:00.000 --> 00:06:04.800]  How can I find more meaning and purpose in my life
[00:06:04.800 --> 00:06:07.040]  我怎麼樣子可以在我的人生當中
[00:06:07.040 --> 00:06:09.840]  找到更多的意義
[00:06:09.840 --> 00:06:13.680]  57%的美國人在2021年的時候
[00:06:13.680 --> 00:06:15.520]  他們有這樣子的表達
[00:06:15.520 --> 00:06:17.680]  有的人是每天都在想這個問題
[00:06:17.680 --> 00:06:19.760]  有的人是每個月想一次
[00:06:19.760 --> 00:06:21.760]  有的人是每一年想
[00:06:21.760 --> 00:06:24.400]  有的人是每一個禮拜想
[00:06:24.400 --> 00:06:25.680]  這個比例不同
