
[00:00:00.000 --> 00:00:05.000]  父神姐妹,早晨,讓我們再次在聆聽主的說話之前,
[00:00:05.000 --> 00:00:10.400]  讓我們再次以禱告,求聖靈幫助我們明白主的教導。
[00:00:10.400 --> 00:00:18.000]  父神,多謝你,讓我們可以回來,有生命,有氣息,
[00:00:18.000 --> 00:00:21.000]  一齊的眾弟兄姐妹聚在一起,
[00:00:21.000 --> 00:00:26.000]  對主你的說話,一同的去學習、認識,
[00:00:26.000 --> 00:00:30.000]  我們獻上感謝。這份全契的生活,
[00:00:30.000 --> 00:00:35.000]  讓我們能夠在真理的上面,一齊的去學習,
[00:00:35.000 --> 00:00:40.000]  以及認見上帝你給我們每一天的生命生活,
[00:00:40.000 --> 00:00:45.000]  我們都獻上感恩,因為這樣能夠讓我們更著實地
[00:00:45.000 --> 00:00:49.000]  去明白上帝你的啟示的意義。
[00:00:49.000 --> 00:00:54.000]  藉著愛子耶穌基督在這個地上作出的教導,
[00:00:54.000 --> 00:00:58.000]  所面對的經歷,都讓我們今天作為信徒,
[00:00:58.000 --> 00:01:02.000]  成為一個很好的參考,讓我們能夠學會
[00:01:02.000 --> 00:01:06.000]  怎樣去面對今天我們角色的挑戰。
[00:01:06.000 --> 00:01:09.000]  求你與我們同在,讓我們有智慧,
[00:01:09.000 --> 00:01:12.000]  屬天的智慧,來明白當中的引導。
[00:01:12.000 --> 00:01:16.000]  禱告奉教主耶穌德性的名字靠,阿們。
[00:01:16.000 --> 00:01:21.000]  在基督教裡面,一直都有一種很流行,
[00:01:21.000 --> 00:01:25.000]  但是又很難避開的一個現象,
[00:01:25.000 --> 00:01:28.000]  就是名人效應。
[00:01:28.000 --> 00:01:32.000]  很多時候信徒和教會之間,
[00:01:32.000 --> 00:01:37.000]  有很多不需要正式經過教會所謂的
[00:01:37.000 --> 00:01:41.000]  案立、封聖等等這些活動,
[00:01:41.000 --> 00:01:46.000]  都自然有很多名人被封為聖人一樣,
[00:01:46.000 --> 00:01:51.000]  是不是聖人呢?就是另一回事。
[00:01:51.000 --> 00:01:57.000]  加上很多時候,去將這些人捧為名人的過程,
[00:01:57.000 --> 00:02:03.000]  都是藉著教會看見這些人在這個世界上的聲望,
[00:02:03.000 --> 00:02:07.000]  於是就造成了一個這樣的局面。
[00:02:07.000 --> 00:02:11.000]  在基督教圈裡面,我們不難發現到,
[00:02:11.000 --> 00:02:15.000]  經常有很多的名講員、名人,
[00:02:15.000 --> 00:02:19.000]  他們穿梭在各大大小小的宗教,
[00:02:19.000 --> 00:02:22.000]  甚至非宗教的群體之間,
[00:02:22.000 --> 00:02:27.000]  然後所謂宣講上帝的說話。
[00:02:27.000 --> 00:02:31.000]  不過我會發現到這些人有一個共同的特點,
[00:02:31.000 --> 00:02:36.000]  就是很多時候在他們的宣講的過程當中,
[00:02:36.000 --> 00:02:43.000]  他們都很喜歡去宣揚一些人喜歡聽的說話,
[00:02:43.000 --> 00:02:48.000]  尤其是當他們去到一些屬靈的群體的時候,
