
[00:00:00.000 --> 00:00:06.100]  今天會和大家一起看一家教會如何蒙神的祈願
[00:00:06.100 --> 00:00:07.380]  蒙神的祝福
[00:00:07.380 --> 00:00:12.260]  我經常說不要只用人數來作為一個指標
[00:00:12.260 --> 00:00:14.980]  人數可以是一個指標
[00:00:14.980 --> 00:00:19.080]  但絕對不是唯一的指標
[00:00:19.080 --> 00:00:24.860]  你留意到在聖經裏面有很多神的僕人很忠心的宣講
[00:00:24.860 --> 00:00:28.020]  包括我很欣賞的耶利米
[00:00:28.020 --> 00:00:31.780]  他去講一些訊息
[00:00:31.780 --> 00:00:33.960]  當時子民有沒有聽?
[00:00:33.960 --> 00:00:35.960]  是沒有人聽的
[00:00:35.960 --> 00:00:38.240]  他死的時候死得很慘的
[00:00:38.240 --> 00:00:41.420]  是沒有任何很多的跟隨者
[00:00:41.420 --> 00:00:43.020]  他是不是失敗呢?
[00:00:43.020 --> 00:00:44.660]  他沒有失敗
[00:00:44.660 --> 00:00:47.700]  在神的眼中是一個很尊貴
[00:00:47.700 --> 00:00:50.060]  很忠心的僕者
[00:00:50.060 --> 00:00:52.060]  是被神來帶去祝福
[00:00:52.060 --> 00:00:58.460]  所以我們要記住不是必然地一定要用人數作為一個指標
[00:00:58.460 --> 00:01:00.460]  有時候有喜喜樂樂
[00:01:00.460 --> 00:01:02.140]  這個才是最重要的
[00:01:02.140 --> 00:01:04.540]  就是仰望我們的神
[00:01:04.540 --> 00:01:08.300]  今天會和大家從貼壽羅尼加教會裏面
[00:01:08.300 --> 00:01:10.300]  很簡單,只有一節經文
[00:01:10.300 --> 00:01:13.500]  來看教會一些很重要的元素
[00:01:13.500 --> 00:01:15.500]  是有三個元素
[00:01:15.500 --> 00:01:17.980]  所以題目叫做「三缺一不可」
[00:01:17.980 --> 00:01:19.420]  不是打麻將
[00:01:19.420 --> 00:01:22.700]  是真的有三種很重要的元素
[00:01:22.700 --> 00:01:26.140]  我們看一看這三個元素是什麼呢?
[00:01:26.140 --> 00:01:29.820]  是不是太遠了?
[00:01:29.820 --> 00:01:32.860]  好,我們一起去讀
[00:01:32.860 --> 00:01:35.100]  我用這個作為遙控
[00:01:35.100 --> 00:01:38.900]  我們一起來讀貼壽羅尼加前書第一章第三節
[00:01:38.900 --> 00:01:40.900]  我們一起來讀出
[00:01:49.420 --> 00:01:54.380]  一眼望著你所住的陽台
[00:01:54.380 --> 00:01:57.100]  這裏很清楚講到三個元素
[00:01:57.100 --> 00:02:00.540]  信、愛、望
[00:02:00.540 --> 00:02:02.540]  這次的次序是信、愛、望
[00:02:02.540 --> 00:02:05.580]  這三個元素是令到一個人
[00:02:05.580 --> 00:02:07.580]  令到一間教會
[00:02:07.580 --> 00:02:09.580]  能夠有好的成長
[00:02:09.580 --> 00:02:10.940]  蒙神喜悅
[00:02:10.940 --> 00:02:14.060]  這三個元素是缺一不可
[00:02:14.060 --> 00:02:17.340]  我們看看信心的工作
[00:02:17.340 --> 00:02:21.100]  信心在貼壽羅尼加前書裏面出現了十三次
[00:02:21.100 --> 00:02:23.580]  所以這本書裏面很強調的就是信心
[00:02:23.580 --> 00:02:26.380]  信心也是我們信仰的基礎
[00:02:26.380 --> 00:02:29.180]  我們是相信我們看不到的主
[00:02:29.180 --> 00:02:30.220]  看不到的神
[00:02:30.220 --> 00:02:31.500]  但我們知道祂實在
[00:02:31.500 --> 00:02:32.540]  知道祂愛我們
[00:02:32.540 --> 00:02:34.940]  於是我們用信心來接受祂
[00:02:34.940 --> 00:02:38.540]  人做事可能用很多不同的因素
[00:02:38.540 --> 00:02:43.180]  有些人很可能只是想工作上有滿足
[00:02:43.180 --> 00:02:45.180]  又或者有些人沒辦法
[00:02:45.180 --> 00:02:47.820]  捱,賺錢
[00:02:47.820 --> 00:02:50.380]  當然有些人可能有高尚情操
[00:02:50.380 --> 00:02:52.380]  我自己剛剛才在講
[00:02:52.380 --> 00:02:53.820]  不過我是在質疑的
