
[00:00:00.000 --> 00:00:05.800]  我們來到貼索羅耶加前後書 末日的警號系列的最後一講
[00:00:05.800 --> 00:00:08.800]  今天題目是「疾風中的敬草」
[00:00:08.800 --> 00:00:12.360]  會看貼索羅耶加後書最後兩章
[00:00:12.360 --> 00:00:16.320]  保羅最後對貼索羅耶加人的吩咐
[00:00:16.320 --> 00:00:21.640]  大家都知道貼索羅耶加前後書是保羅寫的
[00:00:21.640 --> 00:00:26.400]  其中兩本最先的教會書信
[00:00:26.400 --> 00:00:29.800]  我們看看保羅在結尾時
[00:00:29.800 --> 00:00:33.000]  貼索羅耶加人對我們有甚麼祝福
[00:00:59.800 --> 00:01:04.800]  我們看貼索羅耶加人對我們有甚麼祝福
[00:01:04.800 --> 00:01:09.800]  我們看貼索羅耶加人對我們有甚麼祝福
[00:01:09.800 --> 00:01:14.800]  我們看貼索羅耶加人對我們有甚麼祝福
[00:01:14.800 --> 00:01:19.800]  我們看貼索羅耶加人對我們有甚麼祝福
[00:01:19.800 --> 00:01:24.800]  我們看貼索羅耶加人對我們有甚麼祝福
[00:01:24.800 --> 00:01:28.800]  我們看貼索羅耶加人對我們有甚麼祝福
[00:01:28.800 --> 00:01:32.800]  我們看貼索羅耶加人對我們有甚麼祝福
[00:01:32.800 --> 00:01:36.800]  我們看貼索羅耶加人對我們有甚麼祝福
[00:01:36.800 --> 00:01:40.800]  我們看貼索羅耶加人對我們有甚麼祝福
[00:01:40.800 --> 00:01:44.800]  我們看貼索羅耶加人對我們有甚麼祝福
[00:01:44.800 --> 00:01:48.800]  我們看貼索羅耶加人對我們有甚麼祝福
[00:01:48.800 --> 00:01:52.800]  我們看貼索羅耶加人對我們有甚麼祝福
[00:01:52.800 --> 00:01:56.800]  我們看貼索羅耶加人對我們有甚麼祝福
[00:01:56.800 --> 00:02:00.800]  大家都很清楚聖經亦是這樣說
[00:02:00.800 --> 00:02:03.800]  當耶穌基督升天之後
[00:02:03.800 --> 00:02:07.800]  我們活在一個末世的年代裏
[00:02:07.800 --> 00:02:08.800]  在這個末世的年代裏
[00:02:08.800 --> 00:02:11.800]  無論是基督徒或未信主的人
[00:02:11.800 --> 00:02:12.800]  我們都不否認
[00:02:12.800 --> 00:02:18.800]  我們活在一個荒唐或是活茂的世代裏
[00:02:18.800 --> 00:02:21.800]  我們怎樣可以站立穩當信主的人
[00:02:21.800 --> 00:02:25.800]  我今天題目叫「疾風中的敬草」
[00:02:25.800 --> 00:02:29.800]  「疾風敬草」這個詞在東漢出現
[00:02:29.800 --> 00:02:32.800]  唐朝的李世民
[00:02:32.800 --> 00:02:34.800]  這個貞觀之治的皇帝
[00:02:34.800 --> 00:02:38.800]  曾經有一首詩賜予蕭羽
[00:02:38.800 --> 00:02:41.800]  「疾風知敬草,板蕩式成神,
[00:02:41.800 --> 00:02:44.800]  勇呼安息義,志者必懷仁」
[00:02:44.800 --> 00:02:46.800]  他的意思是告訴我們
[00:02:46.800 --> 00:02:52.800]  在疾風中才知道草是否站得穩
[00:02:52.800 --> 00:02:56.800]  在亂世中才知道誰是真正的忠誠
[00:02:56.800 --> 00:02:59.800]  不是靠武力或是死後一片頸
[00:02:59.800 --> 00:03:02.800]  我們才能知道真正的道義
[00:03:02.800 --> 00:03:09.800]  一個智者才能明白甚麼是真正的仁義
[00:03:09.800 --> 00:03:11.800]  這個智者在《聖經》裏說
[00:03:11.800 --> 00:03:15.800]  我們認識耶和華就是智慧的開端
[00:03:15.800 --> 00:03:19.800]  在一個疾風的世代裏
[00:03:19.800 --> 00:03:25.800]  我們有時見到很多處境都令人難以想像
[00:03:25.800 --> 00:03:28.800]  最近有一條法例
[00:03:28.800 --> 00:03:34.800]  現在在加州辯論中
[00:03:34.800 --> 00:03:36.800]  很多大機會都會通過
[00:03:36.800 --> 00:03:42.800]  他們主張都是減低監獄裏的囚犯數目
[00:03:42.800 --> 00:03:45.800]  不要輕易定人罪
[00:03:45.800 --> 00:03:52.800]  這個法例與2014年通過的47條提案相似
[00:03:52.800 --> 00:03:57.800]  更加定義了甚麼是搶劫
[00:03:57.800 --> 00:04:04.800]  搶劫是當你被人搶走950元或以下的財物
[00:04:04.800 --> 00:04:08.800]  而沒有受到嚴重傷害
