
[00:00:00.000 --> 00:00:02.920]  在此同各位鄧兄姊妹祝賀
[00:00:02.920 --> 00:00:05.520]  祝大家寧命日長
[00:00:05.520 --> 00:00:07.720]  身心靈健壯
[00:00:07.720 --> 00:00:09.440]  處女蒙福
[00:00:09.440 --> 00:00:15.400]  今天的題目就是「成為基督的見證人」
[00:00:15.400 --> 00:00:16.840]  想起見證人
[00:00:16.840 --> 00:00:21.920]  我會想起法庭裡有些見證人
[00:00:21.920 --> 00:00:25.960]  見證人會將他們所知道的事實
[00:00:26.080 --> 00:00:30.120]  告訴法官或陪審團
[00:00:30.120 --> 00:00:34.840]  又或是我們會想起官方的文件
[00:00:34.840 --> 00:00:36.640]  在最底的一行
[00:00:36.640 --> 00:00:40.880]  通常都會需要一位見證人簽名作證
[00:00:40.880 --> 00:00:44.320]  又或是當大家坐交通工具
[00:00:44.320 --> 00:00:46.680]  或是坐巴士、小巴
[00:00:46.680 --> 00:00:49.080]  突然聽到有人很大聲
[00:00:49.080 --> 00:00:51.880]  大聲地說
[00:00:51.880 --> 00:00:53.640]  「你替我作證」
[00:00:53.640 --> 00:00:55.600]  「你先別走」
[00:00:55.600 --> 00:00:57.040]  「替我作證」
[00:00:57.040 --> 00:00:59.040]  又或是聽到有人說
[00:00:59.040 --> 00:01:00.560]  「司機,你放心」
[00:01:00.560 --> 00:01:02.520]  「我會替你作證」
[00:01:02.520 --> 00:01:04.960]  這些說話大家聽到的時候
[00:01:04.960 --> 00:01:07.560]  都知道可能有事發生了
[00:01:07.560 --> 00:01:10.440]  而且可能這些都不是好的事
[00:01:10.440 --> 00:01:13.240]  如果大家遇到這樣的情況
[00:01:13.240 --> 00:01:16.280]  會不會立即離開呢?
[00:01:16.280 --> 00:01:18.280]  「不要騷擾我」
[00:01:18.280 --> 00:01:20.440]  「不要煩我,我很忙的」
[00:01:20.440 --> 00:01:22.360]  「你找另一個作證吧」
[00:01:22.360 --> 00:01:25.960]  還是說很伸張正義地
[00:01:25.960 --> 00:01:28.360]  替這個人作證
