
[00:00:00.000 --> 00:00:02.000]  弟兄姊妹早安
[00:00:02.000 --> 00:00:04.000]  今天和大家分享這個題目
[00:00:04.000 --> 00:00:06.000]  我相信
[00:00:06.000 --> 00:00:08.000]  可能有些弟兄姊妹
[00:00:08.000 --> 00:00:10.000]  都有一些期待
[00:00:10.000 --> 00:00:12.000]  我已經講了兩次
[00:00:12.000 --> 00:00:14.000]  但是有人問我
[00:00:14.000 --> 00:00:16.000]  其實這些是什麼來的
[00:00:16.000 --> 00:00:18.000]  大家知不知道
[00:00:18.000 --> 00:00:20.000]  5G是什麼
[00:00:20.000 --> 00:00:22.000]  如果你不知道的話
[00:00:22.000 --> 00:00:24.000]  是很正常的
[00:00:24.000 --> 00:00:26.000]  因為我原初都很不知道
[00:00:26.000 --> 00:00:28.000]  但是我因為
[00:00:28.000 --> 00:00:30.000]  亦都覺得
[00:00:30.000 --> 00:00:32.000]  教會弟兄姊妹
[00:00:32.000 --> 00:00:34.000]  我們需要一齊
[00:00:34.000 --> 00:00:36.000]  與時並進
[00:00:36.000 --> 00:00:38.000]  而且我不是這方面的專家
[00:00:38.000 --> 00:00:40.000]  我是需要來搜集
[00:00:40.000 --> 00:00:42.000]  不同的一些資料
[00:00:42.000 --> 00:00:44.000]  我都盼望在很短的時間裏
[00:00:44.000 --> 00:00:46.000]  都讓大家稍為
[00:00:46.000 --> 00:00:48.000]  明白一下了解
[00:00:48.000 --> 00:00:50.000]  我們已經活在一個5G的世代
[00:00:50.000 --> 00:00:52.000]  而我們需要好好明白
[00:00:52.000 --> 00:00:54.000]  我們在今時今日怎樣
[00:00:54.000 --> 00:00:56.000]  去回應上主給我們的
[00:00:56.000 --> 00:00:58.000]  大使命
[00:00:58.000 --> 00:01:00.000]  我們有沒有一些地方需要
[00:01:00.000 --> 00:01:02.000]  來重新得著
[00:01:02.000 --> 00:01:04.000]  一種啟迪
[00:01:04.000 --> 00:01:06.000]  特別是這個福音
[00:01:06.000 --> 00:01:08.000]  這個復活節的主日裏
[00:01:08.000 --> 00:01:10.000]  讓我們再一次
[00:01:10.000 --> 00:01:12.000]  被我們復活的恩主
[00:01:12.000 --> 00:01:14.000]  來打開我們的眼睛
[00:01:14.000 --> 00:01:16.000]  等著昔日第一世紀的時候
[00:01:16.000 --> 00:01:18.000]  祂怎樣激勵門徒
[00:01:18.000 --> 00:01:20.000]  來回應上主
[00:01:20.000 --> 00:01:22.000]  那個呼召
[00:01:22.000 --> 00:01:24.000]  我相信今天我們試一下
[00:01:24.000 --> 00:01:26.000]  在聖經裏面
[00:01:26.000 --> 00:01:28.000]  我們來思考這件事
