
[00:00:00.000 --> 00:00:02.560]  各位頂姐妹,平安!早晨!
[00:00:02.560 --> 00:00:08.200]  在這段時間,我們都面對著周遭很多不同的頂姐妹
[00:00:08.200 --> 00:00:11.320]  有很多離離合合,是嗎?
[00:00:11.320 --> 00:00:15.120]  有留下,有選擇留下,有選擇離開
[00:00:15.120 --> 00:00:17.080]  無論我們去到哪裡
[00:00:17.080 --> 00:00:21.240]  其實當我們這段時間一路來到啟示錄的時候
[00:00:21.240 --> 00:00:24.760]  都給我們一個很清楚的信息
[00:00:24.760 --> 00:00:28.600]  其實我們都是會面對很多的挑戰
[00:00:28.600 --> 00:00:31.440]  只是形式不一樣
[00:00:31.440 --> 00:00:37.360]  當今天去到預備十二、十三章這段經文的時候
[00:00:37.360 --> 00:00:38.680]  我就定了一個題目
[00:00:38.680 --> 00:00:41.280]  就是「以天屠龍」
[00:00:41.280 --> 00:00:43.920]  我覺得我們作為一班基督徒
[00:00:43.920 --> 00:00:47.880]  其實就是一群依靠屬天的力量
[00:00:47.880 --> 00:00:53.440]  知道怎樣去勇敢跟隨耶穌基督去屠龍
[00:00:53.440 --> 00:00:57.360]  這個亦都是啟示錄後半段的主旨
[00:00:57.360 --> 00:00:59.920]  這一場戰爭的結局
[00:00:59.920 --> 00:01:01.720]  其實已經寫好了
[00:01:01.720 --> 00:01:03.320]  沒錯,可能這段時間
[00:01:03.320 --> 00:01:06.240]  可能你要接收很多啟示錄
[00:01:06.240 --> 00:01:10.040]  帶來很多驚嚇的場面,是嗎?
[00:01:10.040 --> 00:01:12.960]  不斷地叫我們要遵道
[00:01:12.960 --> 00:01:14.720]  為主擺上
[00:01:14.720 --> 00:01:16.080]  不過很希望
[00:01:16.080 --> 00:01:19.640]  正如我幾個星期前跟大家說
[00:01:19.640 --> 00:01:25.040]  其實這一卷書告訴我們一個很重要的信息
[00:01:25.040 --> 00:01:28.080]  就是主耶穌基督已經得勝
[00:01:28.080 --> 00:01:29.080]  Amen
[00:01:29.080 --> 00:01:31.880]  所以我們作為主的門徒
[00:01:31.880 --> 00:01:36.560]  我們同樣在這個不容易的處境之中
[00:01:36.560 --> 00:01:38.800]  其實我們已經得勝了
[00:01:38.800 --> 00:01:42.080]  所以我們就帶著屬天的盼望力量
[00:01:42.080 --> 00:01:44.960]  繼續走前面的道路
[00:01:44.960 --> 00:01:48.520]  啟示錄十二章是非常重要的一章
[00:01:48.520 --> 00:01:52.680]  可以說是啟示錄傳書的一個轉捩點
[00:01:52.680 --> 00:01:55.880]  這一章更加清楚讓我們明白
[00:01:55.880 --> 00:01:58.120]  啟示錄的來龍去脈
[00:01:58.120 --> 00:02:00.280]  當讀這一段經文的時候
[00:02:00.280 --> 00:02:04.360]  都給我們好像看動畫的感覺
[00:02:04.360 --> 00:02:07.320]  今天大堂我們已經放回聖經
[00:02:07.320 --> 00:02:09.480]  在大家旁邊
[00:02:09.480 --> 00:02:10.600]  如果可以的話
[00:02:10.600 --> 00:02:14.120]  我也很想請大家翻開啟示錄十二章
[00:02:14.120 --> 00:02:16.600]  今天我們會看兩章
[00:02:16.600 --> 00:02:20.840]  時間的關係我不能夠逐節地跟大家解釋
[00:02:20.840 --> 00:02:23.440]  所以很需要大家決定
[00:02:23.440 --> 00:02:28.480]  或者你用你的手機開定這兩章
[00:02:28.480 --> 00:02:31.720]  啟示錄十二章一開始的時候
[00:02:31.720 --> 00:02:35.240]  就記載了一個異象
[00:02:35.240 --> 00:02:36.560]  讓我們一起去讀出
[00:02:36.560 --> 00:02:37.960]  預備起
[00:02:37.960 --> 00:02:41.400]  天上現出大異象來
[00:02:41.400 --> 00:02:43.080]  有一個婦人
[00:02:43.080 --> 00:02:44.600]  身披日頭
[00:02:44.600 --> 00:02:46.120]  腳踏月亮
[00:02:46.120 --> 00:02:48.760]  頭戴十二星的冠冕
