
[00:00:00.000 --> 00:00:03.300]  今天好像成了一件大事
[00:00:03.300 --> 00:00:04.800]  什麼事?
[00:00:04.800 --> 00:00:07.860]  馬拉松,今天有沒有人跑馬拉松回來?
[00:00:07.860 --> 00:00:11.480]  沒有,我都知道你應該有底子跑馬拉松的
[00:00:11.480 --> 00:00:13.200]  在Facebook都看到
[00:00:13.200 --> 00:00:18.440]  其實我們在「尼希米記」都在跑馬拉松
[00:00:18.440 --> 00:00:21.820]  「尼希米記」講道系列
[00:00:21.820 --> 00:00:24.440]  我現在推薦大家打開「尼希米記」
[00:00:24.440 --> 00:00:28.740]  因為剛才我們的領會讀完之後
[00:00:28.740 --> 00:00:33.020]  我就不會時常在PowerPoint出現「尼希米記」
[00:00:33.020 --> 00:00:34.360]  所以大家要揭開
[00:00:34.360 --> 00:00:41.460]  我的聖經是686頁第十二章
[00:00:41.460 --> 00:00:44.200]  686頁第十二章
[00:00:44.200 --> 00:00:51.440]  我又要重溫一下我們的「尼希米記」講道系列
[00:00:51.440 --> 00:00:53.760]  其實由上年年頭開始
[00:00:53.760 --> 00:00:55.760]  我跟大家看「尼希米記」
[00:00:55.760 --> 00:01:00.680]  「尼希米」是一個很有智慧和得著神心意的領袖
[00:01:00.680 --> 00:01:03.460]  他受到上帝的感召
[00:01:03.460 --> 00:01:07.300]  他聽到自己的鄉下耶路撒冷城牆被毀
[00:01:07.300 --> 00:01:09.800]  他很想回鄉下重建城牆
[00:01:09.800 --> 00:01:11.800]  他從祈禱開始
[00:01:11.800 --> 00:01:13.380]  上帝一直幫他引路
[00:01:13.380 --> 00:01:16.180]  得到波斯帝王的恩准
[00:01:16.180 --> 00:01:17.320]  竟然做了省長
[00:01:17.320 --> 00:01:20.180]  他本來在波斯帝國做什麼?
[00:01:20.180 --> 00:01:22.180]  做酒政的,竟然做了省長
[00:01:22.180 --> 00:01:24.180]  派翠曼蘭
[00:01:24.180 --> 00:01:26.840]  他用信心去禱告之後
[00:01:26.840 --> 00:01:30.220]  也用他的行動去證明他的信心
[00:01:30.220 --> 00:01:32.220]  一直回到耶路撒冷城
[00:01:32.220 --> 00:01:36.500]  同一時間我們教會也開始了五年計劃
[00:01:36.500 --> 00:01:37.700]  所以在四月份
[00:01:37.700 --> 00:01:39.700]  當我去到重建城牆四的時候
[00:01:39.700 --> 00:01:41.700]  齊心建造「START新一頁」
