
[00:00:00.000 --> 00:00:05.000]  在前晚我參加了生命團契的一個周會
[00:00:05.000 --> 00:00:09.000]  剛好他們那個周會是讀書分享的周會
[00:00:09.000 --> 00:00:12.000]  其中有一段時間是大家分享的
[00:00:12.000 --> 00:00:15.000]  就著他們所選的經文來分享
[00:00:15.000 --> 00:00:18.000]  就是用哥林多前書第十三章
[00:00:18.000 --> 00:00:20.000]  如果你熟悉聖經
[00:00:20.000 --> 00:00:23.000]  你會知道哥林多前書第十三章是甚麼呢
[00:00:23.000 --> 00:00:25.000]  被稱為愛的詩章
[00:00:25.000 --> 00:00:31.000]  特別是由第四節 愛是恆久忍耐又有恩詞
[00:00:31.000 --> 00:00:35.000]  一直到第八節是說愛是永不止息
[00:00:35.000 --> 00:00:43.000]  中間其實是分成十五個元素
[00:00:43.000 --> 00:00:51.000]  來表達愛和關係那方面
[00:00:54.000 --> 00:00:56.000]  相信很多人都熟悉聖經
[00:00:56.000 --> 00:00:58.000]  於是大家就分享
[00:00:58.000 --> 00:01:04.000]  分享他們對經文元素的一些領受和感受
[00:01:04.000 --> 00:01:06.000]  我聽大家分享
[00:01:06.000 --> 00:01:10.000]  我發覺大部份的分享都是集中在幾個題目
[00:01:10.000 --> 00:01:13.000]  而這幾個題目在我自己看來
[00:01:13.000 --> 00:01:17.000]  其實都是指向一個東西
[00:01:17.000 --> 00:01:24.000]  我發覺直接或間接都是與發怒有關
[00:01:24.000 --> 00:01:27.000]  或發脾氣有關
[00:01:27.000 --> 00:01:32.000]  有些人分享說需要多點恆久忍耐
[00:01:32.000 --> 00:01:35.000]  一不忍耐就發脾氣
[00:01:35.000 --> 00:01:39.000]  有些人說需要多點凡事包容
[00:01:39.000 --> 00:01:41.000]  不包容又怎樣
[00:01:42.000 --> 00:01:46.000]  你很容易會發脾氣
[00:01:46.000 --> 00:01:50.000]  有些人直接說
[00:01:50.000 --> 00:01:53.000]  我需要不輕易發怒
[00:01:53.000 --> 00:01:55.000]  講明了
[00:01:55.000 --> 00:02:01.000]  有些人說不計算人的惡
[00:02:01.000 --> 00:02:03.000]  為甚麼
[00:02:03.000 --> 00:02:06.000]  想都不要想 想起就發脾氣
[00:02:08.000 --> 00:02:11.000]  這個分析我認為
[00:02:11.000 --> 00:02:18.000]  我個人是先入為主的感受
[00:02:18.000 --> 00:02:22.000]  但我看到大家似乎都有一個共識
[00:02:22.000 --> 00:02:30.000]  發怒會令人與人之間
[00:02:30.000 --> 00:02:32.000]  特別是夫妻的關係
