
[00:00:00.000 --> 00:00:02.000]  領志明 我們在講到之前
[00:00:02.000 --> 00:00:05.280]  雖然都很想先拜年
[00:00:05.280 --> 00:00:08.360]  但我都很想帶大家再作一個祈禱
[00:00:08.360 --> 00:00:10.360]  我想大家的心情
[00:00:10.360 --> 00:00:12.360]  都是很不放心
[00:00:12.360 --> 00:00:13.480]  很緊張
[00:00:13.480 --> 00:00:15.480]  有人咳嗽的時候你又會很害怕
[00:00:15.480 --> 00:00:18.040]  打噴嚏的時候你又會很擔心
[00:00:18.040 --> 00:00:21.280]  我想大家都是一方面我們要注意自己
[00:00:21.280 --> 00:00:22.680]  亦都愛護別人
[00:00:22.680 --> 00:00:26.600]  我們做好一切可以保護自己 保護別人的措施
[00:00:26.600 --> 00:00:31.440]  這個都是實踐愛人如己的命令
[00:00:31.440 --> 00:00:33.440]  所以我帶大家有一個禱告
[00:00:33.440 --> 00:00:35.440]  我們先將我們的心情
[00:00:35.440 --> 00:00:39.440]  香港甚至整個疫情我們去祈禱
[00:00:39.440 --> 00:00:44.440]  可以聽到一些很特別
[00:00:44.440 --> 00:00:46.440]  主耶和華求你拯救我們
[00:00:46.440 --> 00:00:51.440]  在我們這個農曆新年當中
[00:00:51.440 --> 00:00:53.440]  我們感覺到不平安
[00:00:53.440 --> 00:01:00.440]  我們感覺不到有任何的歡樂喜慶
[00:01:00.440 --> 00:01:03.440]  因為我們心裡面實在慰藥
[00:01:03.440 --> 00:01:06.440]  香港以至整個中國
[00:01:06.440 --> 00:01:08.440]  甚至世界不同的地方
[00:01:08.440 --> 00:01:11.440]  面對著這個武漢肺炎的情況
[00:01:11.440 --> 00:01:13.440]  我們很擔憂
[00:01:13.440 --> 00:01:18.440]  主啊 我們頭腦上知道我們是依靠祢的
[00:01:18.440 --> 00:01:21.440]  我們知道祢是醫治的主
[00:01:21.440 --> 00:01:23.440]  但在我們面對的時候
[00:01:23.440 --> 00:01:25.440]  的確我們心裡面會膽怯
[00:01:25.440 --> 00:01:27.440]  我們會憂心
[00:01:27.440 --> 00:01:31.440]  主我們求祢憐憫
[00:01:31.440 --> 00:01:34.440]  憐憫一切祢所做的生靈
[00:01:34.440 --> 00:01:36.440]  所以求祢拯救我們
[00:01:36.440 --> 00:01:38.440]  讓我們在我們的禱告當中
[00:01:38.440 --> 00:01:40.440]  不斷向祢哀求的時候
[00:01:40.440 --> 00:01:43.440]  我們的禱告能夠上達祢的面前
[00:01:43.440 --> 00:01:48.440]  主的確我們知道有不少的生命是臨近陰間
[00:01:48.440 --> 00:01:51.440]  主啊 祢幫助 拯救
[00:01:51.440 --> 00:01:57.440]  我們也特別為一班仍然忠心在醫院
[00:01:57.440 --> 00:02:02.440]  去照顧病人的醫護和工作人員去禱告
[00:02:02.440 --> 00:02:05.440]  天父求祢特別賜福給他們
[00:02:05.440 --> 00:02:07.440]  保守他們
[00:02:07.440 --> 00:02:10.440]  拯救他們 避免一切的險惡
[00:02:10.440 --> 00:02:13.440]  主我們也求祢賜下智慧
[00:02:13.440 --> 00:02:15.440]  給一班的科學家
[00:02:15.440 --> 00:02:18.440]  病理學家快點找到疫苗
[00:02:18.440 --> 00:02:22.440]  快點找到解決這個疫症的方法
[00:02:22.440 --> 00:02:24.440]  主我們當然也祈求
[00:02:24.440 --> 00:02:26.440]  仍然是這個禱告
[00:02:26.440 --> 00:02:30.440]  求祢去帶領一眾在上位的
[00:02:30.440 --> 00:02:34.440]  真的用心去愛護他們所管治的人
[00:02:34.440 --> 00:02:40.440]  也作出對全部人都好的措施
[00:02:40.440 --> 00:02:44.440]  主啊 我們也將我們的憂慮告訴你
[00:02:44.440 --> 00:02:46.440]  雖然我們在這個農曆年當中
[00:02:46.440 --> 00:02:50.440]  我們好像有不一樣的生活
[00:02:50.440 --> 00:02:52.440]  但是懇求你
[00:02:52.440 --> 00:02:55.440]  讓我們心裏仍然知道
[00:02:55.440 --> 00:02:58.440]  無論我們在身內或在身外
[00:02:58.440 --> 00:03:00.440]  我們都有祢的報仇
[00:03:00.440 --> 00:03:02.440]  有祢的帶領
[00:03:02.440 --> 00:03:05.440]  主啊 我們願意聽從祢的吩咐
[00:03:05.440 --> 00:03:08.440]  也去做好我們的本份
[00:03:08.440 --> 00:03:12.440]  主我們要進入聖經的真理
[00:03:12.440 --> 00:03:14.440]  求聖靈引導我們
[00:03:14.440 --> 00:03:17.440]  當我們去打開這個話語的時候
[00:03:17.440 --> 00:03:19.440]  我們誠心去聆聽
[00:03:19.440 --> 00:03:21.440]  也求主指引
[00:03:21.440 --> 00:03:23.440]  讓我們真的找到
[00:03:23.440 --> 00:03:25.440]  祢要賜給我們的福氣是什麼
[00:03:25.440 --> 00:03:26.440]  多謝你
[00:03:26.440 --> 00:03:29.440]  祈禱奉主耶穌基督得聖名之祈求
[00:03:29.440 --> 00:03:31.440]  阿們
[00:03:42.440 --> 00:03:44.440]  做好一點
[00:03:44.440 --> 00:03:46.440]  將來就好了
[00:03:46.440 --> 00:03:48.440]  那就有福了
[00:03:48.440 --> 00:03:50.440]  不過耶穌是不是真的這樣說呢
[00:03:50.440 --> 00:03:53.440]  當然祂所說的不是這麼簡單的
[00:03:53.440 --> 00:03:55.440]  尤其祂再一次在祂的說話當中
[00:03:55.440 --> 00:03:57.440]  用上阿們
[00:03:57.440 --> 00:03:59.440]  實在這個字
