
[00:00:00.000 --> 00:00:01.500]  各位師傅早晨
[00:00:01.500 --> 00:00:03.300]  讓我們在聆聽主導熱線
[00:00:03.300 --> 00:00:05.740]  讓我們再次同心低頭禱告
[00:00:05.740 --> 00:00:07.340]  仰望主我們的神
[00:00:07.340 --> 00:00:09.140]  讓我們以此祈禱大家
[00:00:09.140 --> 00:00:12.440]  慈彼得天父多謝祢
[00:00:12.440 --> 00:00:16.460]  讓我們能夠再次回到祢說話的面前
[00:00:16.460 --> 00:00:20.560]  一同領受當中的教訓
[00:00:20.560 --> 00:00:23.500]  特別是你愛子耶穌基督
[00:00:23.500 --> 00:00:27.860]  祂如何在山上宣告
[00:00:27.860 --> 00:00:31.040]  幫助我們今天如何成為一個
[00:00:31.040 --> 00:00:35.100]  真真實實的一個神的子民
[00:00:35.100 --> 00:00:36.880]  求祢的帶領
[00:00:36.880 --> 00:00:40.940]  讓祢的聖靈觸動我們每一個人
[00:00:40.940 --> 00:00:44.440]  好使我們都能夠隨著聖靈的引導
[00:00:44.440 --> 00:00:50.620]  能夠學會如何在這條肅靈的道路當中
[00:00:50.620 --> 00:00:53.420]  按照主祢的心意而活
[00:00:53.420 --> 00:00:59.460]  讓主祢察看我們的行為心思的時候
[00:00:59.460 --> 00:01:04.100]  都能夠肯定我們是屬於主祢的
[00:01:04.100 --> 00:01:08.900]  也好懇求祢讓我們認識祢是怎樣的一位神
[00:01:08.900 --> 00:01:11.780]  藉著耶穌基督的傳廣
[00:01:11.780 --> 00:01:15.540]  讓我們更明白上帝祢的心思
[00:01:15.540 --> 00:01:16.980]  祢的屬性
[00:01:16.980 --> 00:01:18.780]  我們同心的禱告
[00:01:18.780 --> 00:01:21.880]  奉靠主耶穌基督德性的名字而靠
[00:01:21.880 --> 00:01:24.820]  打開門
[00:01:24.820 --> 00:01:28.520]  在基督教裡面經常都流傳著很多
[00:01:28.520 --> 00:01:32.600]  似是而非的一些歪理
[00:01:32.600 --> 00:01:37.400]  有時候這些歪理聽起來好像很合情理
[00:01:37.400 --> 00:01:40.700]  但是卻是表現出基督徒有一種
[00:01:40.700 --> 00:01:43.800]  其實是暗底裡的迷信
[00:01:43.800 --> 00:01:45.040]  我見過最
[00:01:45.040 --> 00:01:48.080]  我自己在做基督徒這幾十年的裡面
[00:01:48.080 --> 00:01:49.440]  我曾經見過
[00:01:49.440 --> 00:01:53.040]  有一次真的挺無稽的一個經歷
[00:01:53.040 --> 00:01:56.680]  就是當時我還在讀書的時候
[00:01:56.680 --> 00:01:58.960]  因為我有輛車
[00:01:58.960 --> 00:02:01.520]  很多時候有些同學
[00:02:01.520 --> 00:02:04.760]  大家都是讀一間基督教的中學
[00:02:04.760 --> 00:02:07.800]  他就說Alan可不可以搭你的順風車
[00:02:07.800 --> 00:02:08.700]  我說沒問題
[00:02:08.700 --> 00:02:11.360]  反正我也是回家而已
[00:02:11.360 --> 00:02:14.740]  順路可以接你們去哪裡
[00:02:14.740 --> 00:02:16.700]  我可以放下你們
[00:02:16.700 --> 00:02:19.640]  誰知道有一次當上車的時候
[00:02:19.640 --> 00:02:23.220]  因為很多時候我的車裡面沒什麼特別的東西
