
[00:00:00.000 --> 00:00:05.820]  (主席) 丁子慧,我們六月份除了父親節的主日之外
[00:00:05.820 --> 00:00:08.660]  我們有一個特別的父親節的訊息之外
[00:00:08.660 --> 00:00:12.500]  我們連續四次在六月份都會提出一個題目
[00:00:12.500 --> 00:00:16.580]  叫做「天堂地獄睇真啲」
[00:00:16.580 --> 00:00:21.500]  這四次的講道其實有四個主題
[00:00:21.500 --> 00:00:27.440]  包括死亡、地獄、天堂和永生的審判
[00:00:27.440 --> 00:00:30.060]  這些都是我們未經歷過的
[00:00:30.060 --> 00:00:32.780]  但是聖經裡面是講得很清楚的
[00:00:32.780 --> 00:00:36.000]  所以我們希望藉著這個系列
[00:00:36.000 --> 00:00:42.680]  能夠幫助我們去明白聖經裡面怎樣看待這幾件事
[00:00:42.680 --> 00:00:48.140]  今天我們嘗試…首先我先打頭陣,講死
[00:00:48.140 --> 00:00:51.880]  中國人很忌諱講這件事
[00:00:51.880 --> 00:00:53.480]  但這件事是很真實的
[00:00:53.480 --> 00:00:54.840]  就算你不喜歡聽
[00:00:54.840 --> 00:00:56.600]  有一天我們都要面對
[00:00:56.600 --> 00:01:02.080]  而且不只是我們自己面對
[00:01:02.080 --> 00:01:03.640]  當然我們每一個人都要面對
[00:01:03.640 --> 00:01:06.480]  但我們都有機會面對我們的親友
[00:01:06.480 --> 00:01:08.840]  去面對死亡
[00:01:08.840 --> 00:01:12.400]  我們怎樣去看待這件事呢?
[00:01:12.400 --> 00:01:14.060]  「天堂地獄睇真啲」
[00:01:14.060 --> 00:01:18.220]  我們每一個在座當中都盼望有一天
[00:01:18.220 --> 00:01:20.020]  我們亦都很肯定的
[00:01:20.020 --> 00:01:22.200]  如果你相信主的話,我們能夠上天堂
[00:01:22.200 --> 00:01:25.000]  但是上帝的設計是很奇妙的
[00:01:25.000 --> 00:01:27.620]  人在獄身裡面,你想上天堂
[00:01:27.620 --> 00:01:32.020]  你必須要經歷死亡才能夠去到
[00:01:32.020 --> 00:01:34.740]  我們應該怎樣看待死亡這件事呢?
[00:01:34.740 --> 00:01:37.360]  今天我的題目叫做「死亡真面目」
[00:01:37.360 --> 00:01:41.440]  我們看看聖經裡面的15章和修本經文
[00:01:41.440 --> 00:01:44.700]  怎樣保羅提到關於死亡
[00:01:44.700 --> 00:01:49.260]  我叫這章聖經叫做「完全死亡手冊」
[00:01:49.260 --> 00:01:51.460]  就是Complete Handbook of Death
[00:01:51.460 --> 00:01:56.940]  因為這裡是保羅將整個關於死亡
[00:01:56.940 --> 00:01:59.660]  保羅沒有經歷過死亡
[00:01:59.660 --> 00:02:02.720]  但是他從聖經裡面
[00:02:02.720 --> 00:02:05.920]  從他自己在上帝裡面的領受告訴我們
[00:02:05.920 --> 00:02:09.640]  究竟我們應該怎樣看待死亡這件事呢?
[00:02:09.640 --> 00:02:13.340]  我們讀完整章,但是我們都會跳到太長的經文
[00:02:13.340 --> 00:02:15.540]  我們看看從第12節開始
[00:02:15.540 --> 00:02:20.700]  保羅在哥倫多前書15章裡面怎樣說這件事
[00:02:20.700 --> 00:02:23.640]  既然我們傳基督是從死人中復活了
