
[00:00:00.000 --> 00:00:03.600]  根據聯合國最新的統計,
[00:00:03.600 --> 00:00:17.100]  這個世界有超過8億的人每天都吃不飽,
[00:00:17.100 --> 00:00:20.600]  吃不飽的原因很多,
[00:00:20.600 --> 00:00:26.000]  戰爭或氣候的改變或疫情,
[00:00:26.000 --> 00:00:30.500]  很多時候是政府管理不好,
[00:00:30.500 --> 00:00:34.900]  就算在美國一個風俗國家,
[00:00:34.900 --> 00:00:37.600]  每九個人就有一個人擔心,
[00:00:37.600 --> 00:00:41.800]  擔心吃不飽,不是一定吃不飽擔心,
[00:00:41.800 --> 00:00:49.300]  但每六個細蚊仔就有一個不知道下一餐飯有沒有,
[00:00:49.300 --> 00:00:52.600]  美國這樣的國家都面對這樣的問題,
[00:00:53.600 --> 00:00:58.100]  所以我們看到人類歷史這幾千年來都有很多困難,
[00:00:58.100 --> 00:01:01.800]  很多時候都飢荒,吃不飽,
[00:01:01.800 --> 00:01:05.000]  不單止人,連野獸都一樣,
[00:01:05.000 --> 00:01:10.800]  我在加拿大工作時有段時間經常坐飛機去北極,
[00:01:10.800 --> 00:01:13.400]  人們以為我加拿大一輩子在北極,其實不是,
[00:01:13.400 --> 00:01:20.200]  我的辦公室由開車到辦公室冰天雪地都無問題,
[00:01:20.200 --> 00:01:23.500]  因為我室內停車場,直通辦公室,
[00:01:23.500 --> 00:01:25.700]  但很多時候坐飛機去北極,
[00:01:25.700 --> 00:01:30.400]  那些北極熊很大隻,其實毛鬆,
[00:01:30.400 --> 00:01:35.800]  裡面長長的像臘腸,不單止北極熊不夠吃,
[00:01:35.800 --> 00:01:39.000]  現在的獅子都不夠吃,
[00:01:39.000 --> 00:01:41.400]  聖經都有講,
[00:01:41.400 --> 00:01:47.600]  少壯獅子缺食忍餓,向神尋求食物,
[00:01:47.600 --> 00:01:52.100]  連獅子都不夠食,所以保羅說得很好,
[00:01:52.100 --> 00:02:01.800]  受造之物是嘆息勞苦等候上帝的救贖,
[00:02:01.800 --> 00:02:04.400]  耶穌基督來要救贖我們,
[00:02:04.400 --> 00:02:11.600]  祂來到行了神蹟讓我們看到上帝的憐憫,
[00:02:11.600 --> 00:02:18.200]  所以今日我們要在神蹟看到耶穌基督怎樣令我們有滿足,
[00:02:18.200 --> 00:02:22.700]  上帝透過這段記載,
[00:02:22.700 --> 00:02:27.200]  今日要對你對我講甚麼說話,要我們做甚麼,
[00:02:27.200 --> 00:02:30.500]  江維明牧師跟我們提過,
[00:02:30.500 --> 00:02:36.300]  這神蹟是四卷福音書都有,其他無,
[00:02:36.300 --> 00:02:39.800]  唯一一個四卷福音書記載的神蹟,
[00:02:39.800 --> 00:02:43.100]  寫約翰福音時,
[00:02:43.100 --> 00:02:47.800]  其他三本書寫了他又不記載,除了這神蹟,
[00:02:47.800 --> 00:02:53.100]  約翰福音大約在公元九十年到一百一十年,
[00:02:53.100 --> 00:02:56.100]  約翰活到一百歲,他是晚年寫的,
[00:02:56.100 --> 00:02:59.200]  馬可福音是第一卷福音書寫,
[00:02:59.200 --> 00:03:02.900]  在約翰寫這卷書前四十年就已經寫了,
[00:03:02.900 --> 00:03:07.100]  連路加福音是第三卷寫的,
[00:03:07.100 --> 00:03:09.400]  都是在約翰福音前二十年,
[00:03:09.400 --> 00:03:14.000]  所以寫約翰福音時,其他三卷在教會已很流行,
[00:03:14.000 --> 00:03:21.000]  他只選擇一些寫,但這神蹟是他唯一一個選擇寫的,
[00:03:21.000 --> 00:03:23.000]  所以有它的重要性,
[00:03:23.000 --> 00:03:30.500]  這神蹟發生時,其實有很多事出現,
[00:03:30.500 --> 00:03:33.800]  我們看看那時發生甚麼事,
[00:03:33.800 --> 00:03:40.800]  在馬可福音六章二十七到三十三節,
[00:03:40.800 --> 00:03:46.400]  那裏提到發生了甚麼事,希律王殺了約翰,
