
[00:00:00.000 --> 00:00:04.000]  今天輪到我講
[00:00:04.000 --> 00:00:07.000]  在這裏我先向丁姐妹問安
[00:00:07.000 --> 00:00:10.560]  我覺得神早有預備
[00:00:10.560 --> 00:00:12.600]  我們在約翰一書
[00:00:12.600 --> 00:00:16.000]  一路輪流講論的時候
[00:00:16.000 --> 00:00:21.000]  今天輪到我講到約翰一書第三章十一到二十四節
[00:00:21.000 --> 00:00:25.400]  我給它一個題目就是「貼地的彼此相愛」
[00:00:25.400 --> 00:00:30.200]  丁姐妹其實今天我們在神的家裏面
[00:00:30.200 --> 00:00:32.000]  以及在整個社會裏面
[00:00:32.000 --> 00:00:38.000]  我們都要彰顯神愛世人的一個訊息
[00:00:38.000 --> 00:00:39.800]  這個訊息要怎樣傳遞呢
[00:00:39.800 --> 00:00:43.000]  是必須要透過我們具體的行動
[00:00:43.000 --> 00:00:49.800]  我們要將神怎樣愛世人的標準呈現在人間
[00:00:49.800 --> 00:00:53.800]  我今天特別想和大家看看約翰一書
[00:00:53.800 --> 00:00:55.600]  我們嘗試重溫一下
[00:00:55.600 --> 00:01:00.800]  這一卷書卷其實可以大致分成兩部分
[00:01:00.800 --> 00:01:02.600]  不是很長的一封書信
[00:01:02.600 --> 00:01:04.800]  但是分成兩部分
[00:01:04.800 --> 00:01:08.600]  首先是第一章五節到第三章十節
[00:01:08.600 --> 00:01:11.200]  特別針對的主題就是
[00:01:11.200 --> 00:01:13.000]  神就是光
[00:01:13.000 --> 00:01:15.200]  神就是真理的所在
[00:01:15.200 --> 00:01:20.400]  神是要照料那些在黑暗裏生活的人
[00:01:20.400 --> 00:01:24.800]  讓他們來看見自己的腐敗
[00:01:24.800 --> 00:01:27.200]  他們不要行在惡中
[00:01:27.200 --> 00:01:30.200]  他們要遠離這些罪
[00:01:30.200 --> 00:01:34.000]  所以第一章是很明確的
[00:01:34.000 --> 00:01:35.200]  要我們清楚知道
[00:01:35.200 --> 00:01:39.400]  究竟我們今天是活在一個罪中
[00:01:39.400 --> 00:01:42.000]  如果我們說我們自己是沒有犯罪的
[00:01:42.000 --> 00:01:44.000]  其實我們是自欺欺人
[00:01:44.000 --> 00:01:46.600]  我們每一個人包括基督徒都是
[00:01:46.600 --> 00:01:48.800]  我們需要去承認
[00:01:48.800 --> 00:01:53.800]  我們是在黑暗污穢罪惡當中
[00:01:53.800 --> 00:01:55.600]  我們是得著神的憐憫
[00:01:55.600 --> 00:01:59.000]  我們要與這位神的兒子
[00:01:59.000 --> 00:02:01.000]  我們去相交的時候
