
[00:00:00.000 --> 00:00:04.420]  主我們來到禰面前,我們打開我們的心
[00:00:04.420 --> 00:00:06.600]  打開我們的心迎接上帝禰自己
[00:00:06.600 --> 00:00:08.860]  親自來到我們當中
[00:00:08.860 --> 00:00:10.460]  禰去擁抱我們
[00:00:10.460 --> 00:00:12.900]  可能我們很久沒有被人擁抱
[00:00:12.900 --> 00:00:14.500]  沒有被人吻
[00:00:14.500 --> 00:00:17.160]  但今天聖靈禰親自去觸摸
[00:00:17.160 --> 00:00:19.040]  讓我們深深去感受
[00:00:19.040 --> 00:00:21.060]  天父如何去臨近我們
[00:00:21.060 --> 00:00:22.460]  如何去擁抱我們
[00:00:22.460 --> 00:00:24.540]  如何禰都會去吻我們
[00:00:24.540 --> 00:00:26.700]  主我們求禰在這一刻
[00:00:26.700 --> 00:00:28.700]  禰親自與我們同在
[00:00:28.700 --> 00:00:30.960]  我們呼求禰,我們渴慕禰
[00:00:30.960 --> 00:00:33.460]  求禰的靈,禰對我們說話
[00:00:33.460 --> 00:00:35.300]  我們仰望禰,我們多謝主
[00:00:35.300 --> 00:00:38.300]  聽我們祈禱,奉耶穌基督得勝的名球
[00:00:38.300 --> 00:00:40.300]  我們一起說Amen,我告訴你聽錯
[00:00:40.300 --> 00:00:49.900]  新年其實也挺巧的
[00:00:49.900 --> 00:00:53.500]  我想到一個名字
[00:00:53.500 --> 00:00:56.800]  愛回家之開心團圓
[00:00:56.800 --> 00:00:58.500]  我不知道看這個名字
[00:00:58.500 --> 00:01:01.500]  看完經文就知道我想說什麼
[00:01:01.500 --> 00:01:02.900]  知道吧
[00:01:02.900 --> 00:01:04.700]  我今天會和大家說
[00:01:04.700 --> 00:01:08.700]  這個是浪子的比喻
[00:01:08.700 --> 00:01:10.400]  如果你說
[00:01:10.400 --> 00:01:11.900]  我都聽過很多次
[00:01:11.900 --> 00:01:15.300]  其實今天給你可能有些新的體會
[00:01:15.300 --> 00:01:16.700]  我不知道
[00:01:16.700 --> 00:01:19.700]  如果你打開電腦
[00:01:19.700 --> 00:01:21.600]  打浪子兩個字
[00:01:21.600 --> 00:01:23.700]  我保證你找不到
[00:01:23.700 --> 00:01:25.400]  因爲我試過
[00:01:25.400 --> 00:01:30.500]  原因是聖經沒有提到浪子這兩個字
[00:01:30.500 --> 00:01:34.500]  我們想想浪子有什麼形象呢
[00:01:34.500 --> 00:01:35.500]  他走了
[00:01:35.500 --> 00:01:40.400]  我們想浪子可能是長頭髮,扎着邊
[00:01:40.400 --> 00:01:43.000]  他剛纔聽完我說他不聽了,走了
[00:01:43.000 --> 00:01:45.500]  可能穿着爛牛仔褲
[00:01:45.500 --> 00:01:49.600]  牛仔外套,揹着揹包很瀟灑
[00:01:49.600 --> 00:01:51.300]  你覺得是不是那些
[00:01:51.300 --> 00:01:52.800]  翻查字典
[00:01:52.800 --> 00:01:55.600]  浪子其實是那些
[00:01:55.600 --> 00:01:57.800]  放蕩不羈
[00:01:57.800 --> 00:01:59.000]  不務正業
[00:01:59.000 --> 00:02:01.200]  所以那些是型男
[00:02:01.200 --> 00:02:02.800]  不是浪子
[00:02:02.800 --> 00:02:05.300]  浪子其實是一個負面的意思
[00:02:05.300 --> 00:02:07.000]  所以我們經常會聽到
[00:02:07.000 --> 00:02:09.800]  浪子就是回頭
[00:02:09.800 --> 00:02:10.700]  爲什麼要回頭呢
[00:02:10.700 --> 00:02:12.600]  因爲他走錯路
[00:02:12.600 --> 00:02:15.700]  就要回去走正路
[00:02:15.700 --> 00:02:17.600]  這個就是浪子
[00:02:17.600 --> 00:02:20.200]  這個比喻說有個爸爸
[00:02:20.200 --> 00:02:22.600]  有兩個兒子
