
[00:00:00.000 --> 00:00:09.160]  提督書及提摩太前後書
[00:00:09.160 --> 00:00:14.860]  這三卷書被稱為教睦書信
[00:00:14.860 --> 00:00:21.160]  相信是在同一個時期寫成的
[00:00:21.160 --> 00:00:29.200]  內容是對初期教會如何運作有關的
[00:00:29.200 --> 00:00:34.120]  包括如何選擇教會領袖
[00:00:34.120 --> 00:00:39.400]  如何教導信徒等等
[00:00:39.400 --> 00:00:45.740]  提督是保羅的屬靈兒子
[00:00:45.740 --> 00:00:49.040]  好像提摩太一樣
[00:00:49.040 --> 00:01:04.120]  他是被保羅差派到格里底建立教會
[00:01:04.120 --> 00:01:05.580]  是在那邊建立教會
[00:01:05.580 --> 00:01:11.620]  即是現在的西西里島
[00:01:11.620 --> 00:01:18.440]  今天的經文是第二章的聖經
[00:01:18.440 --> 00:01:21.480]  在第一章裏面
[00:01:21.480 --> 00:01:27.580]  保羅教導提督如何物色教會的長老
[00:01:27.580 --> 00:01:35.380]  講明了作長老應有的條件及資格
[00:01:35.380 --> 00:01:46.120]  基本上跟他教導提摩太是相同的
[00:01:46.120 --> 00:01:49.600]  請留意提督書第二章的第一節
[00:01:49.600 --> 00:02:01.220]  為何保羅要求提督所講的
[00:02:01.220 --> 00:02:03.880]  要合乎純正的道理呢?
[00:02:03.880 --> 00:02:08.460]  為何提督所講要合乎純正的道理呢?
[00:02:08.460 --> 00:02:13.620]  讓我們首先認識一下提督書的寫作背景
[00:02:13.620 --> 00:02:17.800]  讓我們首先認識一下提督書的寫作背景
[00:02:17.800 --> 00:02:23.000]  因為有許多人不服約束
[00:02:23.000 --> 00:02:25.600]  說虛空話 欺哄人
[00:02:25.600 --> 00:02:27.840]  那從格里的更是這樣
[00:02:27.840 --> 00:02:29.880]  這些人的口總要堵住
[00:02:29.880 --> 00:02:31.980]  他們因貪不義制裁
[00:02:31.980 --> 00:02:36.640]  將不該教導的教導人敗壞人的全家
[00:02:36.640 --> 00:02:38.880]  所以你們要嚴嚴地責備他們
[00:02:38.880 --> 00:02:42.220]  使他們在正道上存權無恥
[00:02:42.220 --> 00:02:44.360]  他們說是認識神
[00:02:44.360 --> 00:02:46.660]  形式卻和他相悖
[00:02:46.660 --> 00:02:49.020]  本是可真悟的 是悖逆的
[00:02:49.020 --> 00:02:52.100]  是在各樣善事上是可廢棄的
[00:02:52.100 --> 00:02:57.300]  保羅要求提督要嚴厲地責備這些假師傅
[00:02:57.300 --> 00:03:01.380]  保羅要求提督要嚴厲地責備這些假的師傅
[00:03:01.380 --> 00:03:05.380]  因為他們根本是活逆神講虛空的話
[00:03:05.380 --> 00:03:08.620]  因為他們根本是悖逆神講虛空的話
[00:03:08.620 --> 00:03:11.720]  只是傳講一些沒有真理的教導
[00:03:11.720 --> 00:03:14.060]  只是傳講一些沒有真理的教導
[00:03:14.060 --> 00:03:18.720]  所以是不合乎真道
[00:03:18.720 --> 00:03:24.560]  只會欺騙人和敗壞人
[00:03:24.560 --> 00:03:30.200]  難怪保羅要求提督要用合乎純正的道理
[00:03:30.200 --> 00:03:32.140]  去責備這些假師傅
[00:03:32.140 --> 00:03:35.380]  難怪保羅要求提督要用合乎純正的道理
[00:03:35.380 --> 00:03:37.180]  去責備那些假師傅
[00:03:37.180 --> 00:03:40.920]  好去堵住他們的口
[00:03:40.920 --> 00:03:44.440]  所以到了第十五節
[00:03:44.440 --> 00:03:49.120]  保羅再次祝福提督
[00:03:49.120 --> 00:03:54.700]  不要怕被別人看輕
[00:03:54.700 --> 00:03:57.960]  不要講清楚
[00:03:57.960 --> 00:03:59.560]  勸戒人
[00:03:59.560 --> 00:04:05.800]  甚至要運用屬靈的權柄去責備人
[00:04:05.800 --> 00:04:08.980]  提督要分別勸告不同的性別
[00:04:08.980 --> 00:04:11.180]  提督要分別勸告不同的性別
[00:04:11.180 --> 00:04:15.420]  提督要分別勸告不同的性別
[00:04:15.420 --> 00:04:16.720]  還有不同年齡的人
[00:04:16.720 --> 00:04:19.960]  首先是老年人
[00:04:19.960 --> 00:04:22.880]  第二第三節
[00:04:22.880 --> 00:04:24.680]  勸老年人要有節制
[00:04:24.680 --> 00:04:26.060]  端莊自守
[00:04:26.060 --> 00:04:28.260]  在信心、愛心、忍耐上
[00:04:28.260 --> 00:04:30.060]  都要存全無恥
[00:04:30.060 --> 00:04:32.960]  又勸老年婦人舉止行動
[00:04:32.960 --> 00:04:35.700]  要恭敬、不說殘言
[00:04:35.700 --> 00:04:39.100]  不給酒做奴僕、用三道教訓人
[00:04:39.100 --> 00:04:41.980]  保羅可能考慮到老年人
[00:04:41.980 --> 00:04:44.580]  由於年紀大的緣故
[00:04:44.580 --> 00:04:49.980]  是容易固執、缺乏忍耐的
[00:04:49.980 --> 00:04:55.820]  以致在行為、信心、愛心上
[00:04:55.820 --> 00:05:02.300]  因為對信仰的鬆懈而產生缺失
[00:05:02.300 --> 00:05:05.740]  因為對信仰的鬆懈而產生缺失
[00:05:05.740 --> 00:05:10.840]  所以他教導提督要叫他們節制言行
[00:05:10.840 --> 00:05:13.540]  所以他教導提督要節制他們的言行
[00:05:13.540 --> 00:05:18.240]  老年婦人要用善道
[00:05:18.240 --> 00:05:20.640]  好好地教導年輕的婦人
[00:05:20.640 --> 00:05:24.320]  老年婦人要好好地善待年輕的婦人
[00:05:24.320 --> 00:05:26.680]  怎樣去行事端莊
[00:05:26.680 --> 00:05:29.220]  怎樣去行事端莊
[00:05:29.220 --> 00:05:31.220]  到了第四、第五節
[00:05:31.220 --> 00:05:32.920]  到了第四、第五節
[00:05:32.920 --> 00:05:36.560]  好子教少年婦人愛丈夫、愛兒女
[00:05:36.560 --> 00:05:40.200]  謹守、精潔、料理家務、待人有恩
[00:05:40.200 --> 00:05:41.900]  順服自己的丈夫
[00:05:41.900 --> 00:05:44.500]  免得神的道理被誹謗
[00:05:44.500 --> 00:05:50.540]  年輕的婦人要做好妻子和母親的責任
[00:05:50.540 --> 00:05:54.520]  年輕的婦人要做好妻子還有母親的本分
[00:05:54.520 --> 00:05:59.720]  自守、持家有道、善待別人
[00:05:59.720 --> 00:06:02.860]  要謹守、順服
[00:06:02.860 --> 00:06:08.960]  以免由於言行出現問題而被人非議
[00:06:08.960 --> 00:06:12.100]  以免因為言行出現問題而被人非議
[00:06:12.100 --> 00:06:16.300]  因而使神的道被人誹謗
[00:06:16.300 --> 00:06:19.880]  因而使神的道被人誹謗
[00:06:19.880 --> 00:06:23.980]  到了第六節
[00:06:23.980 --> 00:06:27.280]  又勸少年人要謹守
[00:06:27.280 --> 00:06:28.480]  謹守是甚麼意思呢?
[00:06:28.480 --> 00:06:29.920]  謹守是甚麼意思呢?
[00:06:29.920 --> 00:06:32.020]  就是要謹慎自守
[00:06:32.020 --> 00:06:33.660]  就是要謹慎自守
[00:06:33.660 --> 00:06:36.660]  就是要約束年輕人常有的衝動
[00:06:36.660 --> 00:06:38.820]  就是要約束年輕人常有的衝動
[00:06:38.820 --> 00:06:41.600]  要他們有節制、自守真道
[00:06:41.600 --> 00:06:43.960]  要他們有節制、自守真道
[00:06:43.960 --> 00:06:45.160]  努力進行
[00:06:45.160 --> 00:06:46.800]  努力的去遵行
[00:06:46.800 --> 00:06:51.280]  大家有沒有留意到保羅足部提多
[00:06:51.280 --> 00:06:54.340]  大家有沒有留意到保羅足部提多
[00:06:54.340 --> 00:06:58.120]  去勸導不同年紀的信徒的時候
