
[00:00:00.000 --> 00:00:02.240]  對上一個星期是父親節
[00:00:02.240 --> 00:00:04.200]  我們也在視塘轉看到
[00:00:04.200 --> 00:00:08.680]  關乎一些作為父親的提醒和學校
[00:00:08.680 --> 00:00:12.280]  也給了我們一些鼓勵
[00:00:12.280 --> 00:00:15.280]  再對上一個星期
[00:00:15.280 --> 00:00:19.240]  就提到竭力維護真道常
[00:00:19.240 --> 00:00:26.200]  所以今天我們就來講這個題目的下一講
[00:00:26.760 --> 00:00:31.000]  這個就是在視塘轉第22章
[00:00:31.000 --> 00:00:33.080]  其實是21章開始的
[00:00:33.080 --> 00:00:34.560]  一直到26章
[00:00:34.560 --> 00:00:37.040]  上一次我們就講了頭一部分
[00:00:37.040 --> 00:00:41.200]  今天我們再看從23章到26章這段經文
[00:00:41.200 --> 00:00:43.880]  由21章到26章
[00:00:43.880 --> 00:00:50.880]  這裡是記載了司徒保羅在受審判
[00:00:51.240 --> 00:00:57.000]  將莫不有的罪名加於他的身上
[00:00:57.000 --> 00:01:00.720]  所以他就竭力分數解釋
[00:01:00.720 --> 00:01:06.040]  他沒有犯過任何一些觸犯當時羅馬政府的法例
[00:01:06.040 --> 00:01:09.840]  也沒有藐視猶太人的信仰
[00:01:09.840 --> 00:01:15.360]  他只不過是維護一個從天給他而來的啟示
[00:01:15.360 --> 00:01:16.440]  這個真道
[00:01:16.440 --> 00:01:20.360]  以至在他的行事為人傳導過程裡
[00:01:20.360 --> 00:01:22.760]  他竭力地維護這個真道
[00:01:22.760 --> 00:01:25.520]  在這幾次的分數裡
[00:01:25.520 --> 00:01:29.760]  其實在21章到26章總共記載了四次
[00:01:29.760 --> 00:01:36.360]  分別就是第一次的申訴是向耶路撒冷的猶太會眾
[00:01:36.360 --> 00:01:38.680]  這個就是我們上次所講的內容
[00:01:38.680 --> 00:01:41.560]  所以我們就看見他在耶路撒冷
[00:01:41.560 --> 00:01:44.040]  當時面對這些猶太的會眾
[00:01:44.040 --> 00:01:46.320]  他來到分數
[00:01:46.320 --> 00:01:50.040]  讓他們明白到他所傳講的
[00:01:50.360 --> 00:01:53.200]  以及他有的一些表現
[00:01:53.200 --> 00:01:55.880]  都是為了上帝的使命
[00:01:55.880 --> 00:01:58.680]  然後第二次的分數
[00:01:58.680 --> 00:01:59.840]  以及第三第四次
[00:01:59.840 --> 00:02:01.000]  今天我們也會講的
[00:02:01.000 --> 00:02:06.880]  就是向猶太公會當中的祭司長和成員
[00:02:06.880 --> 00:02:10.360]  所以這裡就是向他們的一些領袖
[00:02:10.360 --> 00:02:12.480]  他們去到這個猶太公會
[00:02:12.480 --> 00:02:16.160]  面對這些祭司長和這些猶太公會的成員
[00:02:16.160 --> 00:02:17.680]  他們來到分數
[00:02:18.440 --> 00:02:20.720]  所以在頭兩次我們就發現
[00:02:20.720 --> 00:02:23.520]  他是向猶太人來講的
[00:02:23.520 --> 00:02:24.800]  向猶太人
[00:02:24.800 --> 00:02:29.720]  然後第三第四次就是向羅馬的官府
[00:02:29.720 --> 00:02:33.560]  所以第三次的分數就是向羅馬的巡撫
[00:02:33.560 --> 00:02:38.200]  這個已經不是耶穌時代的比拉多
[00:02:38.200 --> 00:02:41.160]  而是菲力斯
[00:02:41.160 --> 00:02:45.080]  菲力斯是在24章裡記載
[00:02:45.080 --> 00:02:50.000]  然後他接任的菲力斯都在25章裡記載
[00:02:50.000 --> 00:02:54.320]  所以在24、25章這裡
[00:02:54.320 --> 00:02:57.000]  就是有別於前面22、23章
[00:02:57.000 --> 00:03:00.800]  他是向外邦這些羅馬人來分數
[00:03:00.800 --> 00:03:03.280]  向兩個巡撫
[00:03:03.280 --> 00:03:04.720]  也就是一個剛剛在任
[00:03:04.720 --> 00:03:07.200]  一個剛剛接任這兩個巡撫
[00:03:07.200 --> 00:03:10.240]  而最後一次就是向一個更高的
[00:03:10.520 --> 00:03:18.560]  一個分封的王是一個由羅馬的蓋薩王
[00:03:18.560 --> 00:03:23.440]  所分封給其他一些地方的區域裡邊
[00:03:23.440 --> 00:03:26.080]  其中一個的阿基帕王
[00:03:26.080 --> 00:03:31.000]  這個羅馬王也是聽到保羅的申訴
[00:03:31.000 --> 00:03:32.840]  記載在26章
[00:03:32.840 --> 00:03:36.280]  我們今天不會一章一章一節一節地看
[00:03:36.280 --> 00:03:37.640]  因為篇幅很長
[00:03:37.640 --> 00:03:39.600]  不過我們會圍繞這個題目
[00:03:39.600 --> 00:03:42.680]  就是我們竭力維護真道
[00:03:42.680 --> 00:03:47.120]  跟上一次保羅在耶路撒冷向猶太背誦
[00:03:47.120 --> 00:03:49.000]  我們是一個連續下去
[00:03:49.000 --> 00:03:51.360]  所以在這裡我們首先看到
[00:03:51.360 --> 00:03:52.760]  這個不只是給保羅
[00:03:52.760 --> 00:03:56.520]  也是向我們每一個基督徒聖經的呼籲
[00:03:56.520 --> 00:03:59.600]  我們上次也看過《猶大書》第三章
[00:03:59.600 --> 00:04:01.360]  是新譯本這樣記載
[00:04:01.360 --> 00:04:04.400]  我們同聲再一次讀出這節經文 好嗎
[00:04:04.400 --> 00:04:04.840]  請讀
[00:04:05.480 --> 00:04:11.920]  「親愛的!儘管我曾經迫切地想寫信給你們
[00:04:11.920 --> 00:04:15.000]  論到我們共享的救恩
[00:04:15.000 --> 00:04:19.920]  現在我更覺得必須寫信勸勉你們
[00:04:19.920 --> 00:04:23.240]  要竭力維護從前一次
[00:04:23.240 --> 00:04:26.800]  所交付給了聖徒的信仰」
[00:04:26.800 --> 00:04:30.040]  我們知道這是主耶穌基督
[00:04:30.040 --> 00:04:32.760]  將這個救恩真理
[00:04:32.760 --> 00:04:34.600]  透過聖靈的啟示
[00:04:34.600 --> 00:04:38.600]  讓這些仕途和寫聖經的作者默示下來
[00:04:38.600 --> 00:04:43.040]  當《猶大書》寫這個時候
[00:04:43.040 --> 00:04:46.800]  差不多整個新約的正典已經完成了
[00:04:46.800 --> 00:04:49.320]  所以他說我們要竭力維護
[00:04:49.320 --> 00:04:53.200]  從前一次所交付給眾聖徒的信仰
[00:04:53.200 --> 00:04:57.240]  所以這正是《猶大書》非常迫切的
[00:04:57.240 --> 00:05:00.960]  來呼籲當時的基督徒
[00:05:00.960 --> 00:05:05.640]  同樣在聖經裡面勸勉我們每一個人
[00:05:05.640 --> 00:05:09.320]  所以我們盡我們在人生有的機會
[00:05:09.320 --> 00:05:11.760]  我們要見證這個真道
[00:05:11.760 --> 00:05:13.560]  維護這個真理
[00:05:13.560 --> 00:05:18.280]  讓神的真理能夠廣傳
[00:05:18.280 --> 00:05:24.440]  讓我們這個信仰能夠堅守堅固
[00:05:24.440 --> 00:05:26.400]  所以綜合這幾次的申訴
