
[00:00:00.000 --> 00:00:04.920]  相信大家都試過在約會時等人
[00:00:04.920 --> 00:00:09.120]  如果對方遲遲未來
[00:00:09.120 --> 00:00:14.920]  你打電話又找不到他,那你會怎樣呢?
[00:00:14.920 --> 00:00:17.800]  可能WhatsApp他
[00:00:17.800 --> 00:00:25.560]  可能你會想,是不是我記錯了時間日期或地點呢?
[00:00:25.560 --> 00:00:28.520]  但如果你沒有搞錯,那你又會怎樣呢?
[00:00:28.520 --> 00:00:32.520]  可能你就會想,是不是對方失約呢?
[00:00:32.520 --> 00:00:36.800]  他是不是不來呢?到底他會不會來呢?
[00:00:36.800 --> 00:00:43.600]  這個疑惑其實也發生在教會歷史上
[00:00:43.600 --> 00:00:50.240]  在教會歷史裡,我們一直在等待主耶穌再回來
[00:00:50.240 --> 00:00:52.680]  主耶穌說過祂會再回來
[00:00:52.680 --> 00:01:01.360]  但祂死亡,復活升天,距離現在已經有二千年
[00:01:01.360 --> 00:01:04.280]  祂還未回來
[00:01:04.280 --> 00:01:11.840]  這個疑惑令很多人引起討論
[00:01:11.840 --> 00:01:16.840]  今天我要繼續講解《仕途信經》
[00:01:16.840 --> 00:01:20.840]  亦是講這個主題
[00:01:20.840 --> 00:01:26.600]  列出的《仕途信經》,綠色部分是講主耶穌
[00:01:26.600 --> 00:01:30.360]  今天是講將來必從那裡降臨
[00:01:30.360 --> 00:01:35.320]  審判活人死人,亦是這部分的最後一句
[00:01:35.320 --> 00:01:38.160]  主再來,和祂會施行審判
[00:01:38.160 --> 00:01:42.800]  這個教義在基督教來說是相當重要的
[00:01:42.800 --> 00:01:46.920]  不過歷世歷代的人在這方面有不同的觀點
[00:01:46.920 --> 00:01:49.680]  甚至引起一些爭議
[00:01:49.680 --> 00:01:56.040]  其中一個爭議是關乎《啟示錄》第20章1-10節
[00:01:56.040 --> 00:02:02.000]  裡面提到基督會再回來
[00:02:02.000 --> 00:02:06.320]  並且會和信徒一同作王一千年
[00:02:06.320 --> 00:02:11.480]  爭議的焦點是到底這一千年是如何計算的呢?
[00:02:11.480 --> 00:02:14.880]  是發生在何時呢?
[00:02:14.880 --> 00:02:19.120]  在這些不同的觀點裡,大概有三類
[00:02:19.120 --> 00:02:26.880]  第一類稱為「前千希年派」,簡稱「前千」
[00:02:26.880 --> 00:02:33.880]  簡單來說,這裡是基督第一次降生的時候
[00:02:33.880 --> 00:02:38.720]  直到祂再來這一段時間,我們稱為「教會時期」
[00:02:38.720 --> 00:02:41.760]  在這個教會時期,到了某一天
[00:02:41.760 --> 00:02:45.360]  耶穌會再回來,信徒也會復活
[00:02:45.360 --> 00:02:52.000]  在信徒被提及的這個時間,其實也有不同的觀點
[00:02:52.000 --> 00:02:56.000]  什麼時候被提及呢?這裡我不詳細說
[00:02:56.000 --> 00:03:00.840]  到時這些信徒會和主耶穌在地上作王一千年
[00:03:00.840 --> 00:03:04.200]  撒旦在這段時間也會被捆綁、拘禁
[00:03:04.200 --> 00:03:10.480]  接著有第二次復活、審判,然後進入新天新地
[00:03:10.480 --> 00:03:15.680]  這個就是稱為「前千希年派」,簡稱「前千」
[00:03:15.680 --> 00:03:18.040]  有前當然有後
[00:03:18.040 --> 00:03:24.640]  後千希年派的觀點是,耶穌第一次降生
[00:03:24.640 --> 00:03:31.200]  接著信徒信耶穌,越來越多人信耶穌
[00:03:31.200 --> 00:03:35.120]  教會繼續廣傳福音,教會興旺
[00:03:35.120 --> 00:03:38.480]  到了某個階段,千希年就開始了
[00:03:38.480 --> 00:03:42.760]  進入一個黃金時期,然後主耶穌再來
[00:03:42.760 --> 00:03:47.480]  到時有死人復活,然後有審判,接著進入新天新地
[00:03:47.480 --> 00:03:49.240]  這個就是後千
[00:03:49.240 --> 00:03:54.040]  有前有後,還有一種叫做無千
[00:03:54.040 --> 00:03:56.440]  就是無千希年派
[00:03:56.440 --> 00:04:03.600]  他們相信解經不是按字面去解
[00:04:03.600 --> 00:04:07.320]  一千年是一個象徵的意義
[00:04:07.320 --> 00:04:15.480]  即是基督第一次降生之後,有些人信耶穌
[00:04:15.480 --> 00:04:19.920]  信耶穌是代表著靈性復活
[00:04:19.920 --> 00:04:23.760]  這些在地上靈性復活的信徒
[00:04:23.760 --> 00:04:27.160]  與天上的主耶穌一同來作王
[00:04:27.160 --> 00:04:31.760]  接著主耶穌會再回來,然後死人復活
[00:04:31.760 --> 00:04:34.480]  之後有審判,進入新天新地
[00:04:34.480 --> 00:04:38.680]  這三種千希年的學說
[00:04:38.680 --> 00:04:43.680]  你會發現後面那一節是相同的
[00:04:43.680 --> 00:04:46.360]  但前面那一節有些不同
[00:04:46.360 --> 00:04:51.160]  主耶穌何時回來,到底是千希年前還是後
[00:04:51.160 --> 00:04:54.480]  最大的爭議就在這裡
[00:04:54.480 --> 00:04:58.920]  這些關於千希年的觀點的爭議
[00:04:58.920 --> 00:05:04.600]  在中外的教會歷史上都頗為激烈
[00:05:04.600 --> 00:05:11.480]  到了一個程度,神學院會列明他們的信仰信條
[00:05:11.480 --> 00:05:17.280]  其中亦會講清楚,到底是前千後千還是無千
[00:05:17.280 --> 00:05:20.520]  有些神學院在聘請老師的時候
[00:05:20.520 --> 00:05:24.600]  會看看申請人關於千希年的觀點
[00:05:24.600 --> 00:05:27.120]  是否與自己的神學院吻合
[00:05:27.120 --> 00:05:30.720]  是吻合的才會獲得聘用
[00:05:30.720 --> 00:05:36.720]  不過近幾十年來,這些爭議都減少了很多
[00:05:36.720 --> 00:05:41.240]  大家似乎都不是很大去爭論這個問題
[00:05:41.240 --> 00:05:45.640]  與太古城堂有很密切關係的播道神學院
[00:05:45.640 --> 00:05:52.240]  有一位老師李逸堂博士有一部著作
[00:05:52.240 --> 00:05:54.760]  裏面有一句說話
[00:05:54.760 --> 00:06:00.880]  「這些引起分歧之處都屬次要的教義
[00:06:00.880 --> 00:06:03.960]  末世論對信徒最深刻的意義
[00:06:03.960 --> 00:06:08.120]  乃是在當下過聖潔生活
[00:06:08.120 --> 00:06:11.040]  並且對將來心存盼望
[00:06:11.040 --> 00:06:14.400]  因為基督必然會再回來」
[00:06:14.400 --> 00:06:17.760]  李逸堂博士所寫的非常正確
[00:06:17.760 --> 00:06:22.880]  連主耶穌也說過,祂不知道自己何時會回來
