
[00:00:00.000 --> 00:00:02.820]  今早大家起床的時間
[00:00:02.820 --> 00:00:04.260]  第一件事是做什麼呢?
[00:00:04.260 --> 00:00:06.700]  不要說刷牙洗臉、換衣服
[00:00:06.700 --> 00:00:08.880]  那些全部是日常的任務
[00:00:08.880 --> 00:00:10.520]  一起床
[00:00:10.520 --> 00:00:13.120]  你心裡想到要做什麼呢?
[00:00:13.120 --> 00:00:15.600]  有多少人其實不僅是今天
[00:00:15.600 --> 00:00:17.560]  已經常常一起床
[00:00:17.560 --> 00:00:19.580]  十分鐘內其中一件事
[00:00:19.580 --> 00:00:21.100]  都是會檢查手機的
[00:00:21.100 --> 00:00:22.140]  舉舉手
[00:00:22.140 --> 00:00:24.460]  有些朋友手機也舉起來了
[00:00:24.460 --> 00:00:25.540]  多謝你放下
[00:00:25.540 --> 00:00:26.740]  這個不是缺席
[00:00:26.740 --> 00:00:28.860]  不過都是一件事情的反映
[00:00:28.860 --> 00:00:32.780]  可能是其他的事情
[00:00:32.780 --> 00:00:35.520]  可能一起床就想到任何事情
[00:00:35.520 --> 00:00:38.140]  我記得前兩個星期有一天
[00:00:38.140 --> 00:00:39.900]  我兒子起床
[00:00:39.900 --> 00:00:41.720]  有時候他比我們早起床
[00:00:41.720 --> 00:00:43.960]  起床就跑過來我們床下
[00:00:43.960 --> 00:00:45.740]  繞個圈才搞了一陣子
[00:00:45.740 --> 00:00:47.720]  第一件事是告訴我
[00:00:47.720 --> 00:00:50.540]  爸爸昨晚我做夢很開心啊
[00:00:50.540 --> 00:00:53.800]  接著就說了很多話
[00:00:53.800 --> 00:00:55.380]  那是距離
[00:00:55.380 --> 00:00:56.660]  雖然在我理解
[00:00:56.660 --> 00:01:00.200]  你記得做夢睡眠質素不是太好
[00:01:00.200 --> 00:01:02.480]  應該不記得做過什麼夢才會好一點
[00:01:02.480 --> 00:01:05.500]  他一記得就是那些開心的事情
[00:01:05.500 --> 00:01:07.020]  專門去想這些事情
[00:01:07.020 --> 00:01:08.260]  有時候不是的
[00:01:08.260 --> 00:01:09.740]  工作壓力大那一段時間
[00:01:09.740 --> 00:01:10.920]  一驚醒
[00:01:10.920 --> 00:01:11.520]  你明白嗎?
[00:01:11.520 --> 00:01:12.220]  六點鐘
[00:01:12.220 --> 00:01:13.900]  想到的是什麼?
[00:01:13.900 --> 00:01:15.160]  今天見客
[00:01:15.160 --> 00:01:16.500]  今天那個項目還沒搞定
[00:01:16.500 --> 00:01:17.600]  今天回去
[00:01:17.600 --> 00:01:19.500]  還有那一點點改掉
[00:01:19.500 --> 00:01:23.720]  可能他一起床就想起那些事情
[00:01:23.720 --> 00:01:25.620]  人自然有時候會這樣
[00:01:25.620 --> 00:01:27.060]  真的會的
[00:01:27.060 --> 00:01:27.780]  當然
[00:01:27.780 --> 00:01:28.840]  正如剛才我們舉手
[00:01:28.840 --> 00:01:31.980]  今早有多少人可以起床
[00:01:31.980 --> 00:01:33.060]  其中一件很重要的事情
[00:01:33.060 --> 00:01:34.760]  先檢查手機
[00:01:34.760 --> 00:01:36.520]  剛才我問了一些青年人
[00:01:36.520 --> 00:01:37.220]  也說不少的
[00:01:37.220 --> 00:01:38.980]  我問他們開啟什麼
[00:01:38.980 --> 00:01:39.900]  檢查WhatsApp
[00:01:39.900 --> 00:01:41.160]  檢查Snapchat
[00:01:41.160 --> 00:01:43.020]  檢查Notification
[00:01:43.020 --> 00:01:45.860]  所有都是那些社交媒體
[00:01:45.860 --> 00:01:46.580]  你明白嗎?
[00:01:46.580 --> 00:01:47.660]  又檢查WeChat
[00:01:47.660 --> 00:01:48.620]  一大串
[00:01:48.620 --> 00:01:49.900]  很忙的
[00:01:49.900 --> 00:01:51.500]  很忙的過程裡面
[00:01:51.500 --> 00:01:52.980]  是不是真的跟人有什麼來往
[00:01:52.980 --> 00:01:54.020]  另一件事
[00:01:54.020 --> 00:01:55.840]  但是那些所有社交媒體
[00:01:55.840 --> 00:01:57.140]  我們不斷地使用
[00:01:57.140 --> 00:01:59.280]  也有一些是
[00:01:59.280 --> 00:02:01.980]  檢查一下工廠好了沒有
[00:02:01.980 --> 00:02:04.140]  大炮升級了沒有
[00:02:04.140 --> 00:02:05.220]  裝備齊了沒有
[00:02:05.220 --> 00:02:06.180]  很多事情要搞
[00:02:06.180 --> 00:02:09.180]  要按了它才行
[00:02:09.180 --> 00:02:10.740]  早上起床幹什麼
[00:02:10.740 --> 00:02:11.580]  牧師你都要管
[00:02:11.580 --> 00:02:13.060]  不是的
[00:02:13.060 --> 00:02:14.100]  我很有自由的
[00:02:14.100 --> 00:02:14.660]  你明白嗎?
[00:02:14.660 --> 00:02:17.100]  難得起床的空間還要管
[00:02:17.100 --> 00:02:18.340]  不是這個意思
[00:02:18.340 --> 00:02:20.020]  反過來想反映一下
[00:02:20.020 --> 00:02:21.980]  透過這個問題
[00:02:21.980 --> 00:02:23.300]  或者想法想想
[00:02:23.300 --> 00:02:24.300]  我也相信
[00:02:24.300 --> 00:02:25.140]  像剛剛提到的
[00:02:25.140 --> 00:02:26.500]  有什麼更緊張呢?
[00:02:26.500 --> 00:02:28.540]  很多時候在那時候你會反映出來的
[00:02:28.540 --> 00:02:30.340]  你的心掛念了一些
[00:02:30.340 --> 00:02:32.540]  你裡面有一些事情
[00:02:32.540 --> 00:02:36.140]  在過程中表現了
[00:02:36.140 --> 00:02:38.060]  很多時候是早上起床
[00:02:38.060 --> 00:02:39.260]  或者很多時候
[00:02:39.260 --> 00:02:42.620]  是在我們生活裡面一些
[00:02:42.620 --> 00:02:44.260]  就算不是早上
[00:02:44.260 --> 00:02:48.100]  或者對我們來說一些比較重要的時候
[00:02:48.100 --> 00:02:49.100]  剛剛讀了聖經
[00:02:49.100 --> 00:02:49.500]  當然了
[00:02:49.500 --> 00:02:49.980]  講到這裡
[00:02:49.980 --> 00:02:50.740]  你一看就知道
[00:02:50.740 --> 00:02:51.860]  哦
[00:02:51.860 --> 00:02:55.060]  你告訴我耶穌主耶穌的聖徒禱告而已
[00:02:55.060 --> 00:02:57.220]  你可能很快就答到這條線了
[00:02:57.220 --> 00:02:59.420]  也會是的
[00:02:59.420 --> 00:03:02.180]  但是請留意一件事
[00:03:02.180 --> 00:03:04.260]  三十五節開始
[00:03:04.260 --> 00:03:05.980]  那四個字是什麼?
[00:03:05.980 --> 00:03:07.780]  次日早晨
[00:03:07.780 --> 00:03:08.540]  換言之
[00:03:08.540 --> 00:03:11.140]  那個敘述本來在前面有些東西
[00:03:11.140 --> 00:03:12.100]  你明白什麼意思嗎?
[00:03:12.100 --> 00:03:13.540]  就是第二天早上
[00:03:13.540 --> 00:03:14.060]  換言之
[00:03:14.060 --> 00:03:14.860]  一直在講
[00:03:14.860 --> 00:03:15.540]  很抱歉
[00:03:15.540 --> 00:03:15.860]  有件事
[00:03:15.860 --> 00:03:16.820]  好像我們讀經
[00:03:16.820 --> 00:03:18.460]  就是找某個段落
[00:03:18.460 --> 00:03:19.260]  無頭無尾
[00:03:19.260 --> 00:03:21.700]  或者是頭尾交代得不多
[00:03:21.700 --> 00:03:22.540]  次日早晨
[00:03:22.540 --> 00:03:24.380]  就是在反映前面明明在講一些東西
[00:03:24.380 --> 00:03:27.540]  一直在講的就是耶穌在加里里裡面傳道
