
[00:00:00.000 --> 00:00:04.600]  耶和華是我的岩石 我的山寨 我的救主
[00:00:04.600 --> 00:00:07.760]  我的神 我的盆石 我所投靠的
[00:00:07.760 --> 00:00:12.220]  這是詩篇第十八篇的第二節 非常的寶貴
[00:00:12.220 --> 00:00:16.060]  如果你留意到剛才的歌詞就說到
[00:00:16.060 --> 00:00:20.160]  我們縱使很努力 但是當我們很努力的時候
[00:00:20.160 --> 00:00:23.660]  但是其實可能一日子什麼都沒有
[00:00:23.660 --> 00:00:29.520]  如果你聽我剛剛分享幾個人的心裏面的感受
[00:00:29.520 --> 00:00:32.960]  其中有兩位就是我自己的會友
[00:00:32.960 --> 00:00:37.160]  他爸爸已經燒到變形了
[00:00:37.160 --> 00:00:40.480]  到現在都認不出是哪一個是他的爸爸
[00:00:40.480 --> 00:00:45.960]  要驗DNA 他很傷痛地分享爸爸怎樣努力
[00:00:45.960 --> 00:00:49.400]  他賺錢供他們三個子女來讀書
[00:00:49.400 --> 00:00:52.400]  他們三個都碩士畢業 其實非常好
[00:00:52.400 --> 00:00:56.360]  其中有一位已經是做到副校長
[00:00:56.360 --> 00:01:00.080]  但是他們很傷痛 失去了自己的爸爸
[00:01:00.080 --> 00:01:03.120]  另外一個就是我自己的會友
[00:01:03.120 --> 00:01:07.520]  爸爸媽媽安全 但是也失去了他們的家
[00:01:07.520 --> 00:01:11.960]  也道出了原來那些人不想離開自己的區域
[00:01:11.960 --> 00:01:14.860]  是什麼原因 另外一個人
[00:01:14.860 --> 00:01:18.700]  這個人昨天我看到他接受電視訪問
[00:01:18.700 --> 00:01:26.600]  他自己走 但是走不了 後來他還救了兩個鄰居
[00:01:26.600 --> 00:01:31.000]  但是後來他救出來的時候 他等待了很久的時間
[00:01:31.000 --> 00:01:35.260]  但是他就說 原來我所擁有的東西可以一下子都沒有了
[00:01:35.260 --> 00:01:42.600]  很多名牌的物品 或者自己很鍾愛的超合金
[00:01:42.600 --> 00:01:48.080]  但是都可以沒有了 甚至生命都不是自己所掌握
[00:01:48.080 --> 00:01:50.900]  正如剛才那首歌 我們很努力
