
[00:00:00.000 --> 00:00:02.000]  好,我們一起有個祈禱
[00:00:02.000 --> 00:00:05.000]  主我們多謝你讓我們去聽你的說話
[00:00:05.000 --> 00:00:07.000]  雖然可能簡單的兩節聖經
[00:00:07.000 --> 00:00:10.000]  但卻帶給我們生命裏面一些的挑戰
[00:00:10.000 --> 00:00:12.000]  求主你就幫助我們
[00:00:12.000 --> 00:00:15.000]  聽我們祈禱奉耶穌名字而求
[00:00:15.000 --> 00:00:17.000]  阿們
[00:00:17.000 --> 00:00:21.000]  好,今天跟大家分享的一個題目
[00:00:21.000 --> 00:00:24.000]  就是「給少年人一個機會」
[00:00:24.000 --> 00:00:27.000]  當然,當要講這個題目的時候
[00:00:27.000 --> 00:00:30.000]  他們好像有點遙遠
[00:00:30.000 --> 00:00:32.000]  「少年人」嘛
[00:00:32.000 --> 00:00:36.000]  首先要考考大家是否「少年人」
[00:00:36.000 --> 00:00:39.000]  稍後大家可能不知怎樣
[00:00:39.000 --> 00:00:41.000]  好,首先問問大家
[00:00:41.000 --> 00:00:45.000]  你聽過「MZ世代」沒有?
[00:00:45.000 --> 00:00:48.000]  有沒有人聽過?
[00:00:48.000 --> 00:00:50.000]  沒有人聽過
[00:00:50.000 --> 00:00:52.000]  沒有人聽過這個「MZ世代」
[00:00:52.000 --> 00:00:55.000]  不如讓我去講一下
[00:00:55.000 --> 00:00:57.000]  如果你是這個世代的話
[00:00:57.000 --> 00:00:59.000]  稍後你舉手表達一下
[00:00:59.000 --> 00:01:01.000]  那麼「MZ世代」是甚麼呢?
[00:01:01.000 --> 00:01:05.000]  「M」是指1981至1996年時代出世的
[00:01:05.000 --> 00:01:07.000]  就叫「M世代」
[00:01:07.000 --> 00:01:11.000]  在座當座有沒有?
[00:01:11.000 --> 00:01:13.000]  阿豐那些可以嗎?
[00:01:13.000 --> 00:01:14.000]  都不行?
[00:01:14.000 --> 00:01:15.000]  在那邊那些?
[00:01:15.000 --> 00:01:17.000]  那些可能是後面那些
[00:01:17.000 --> 00:01:19.000]  去到1996年
[00:01:19.000 --> 00:01:20.000]  Ivy那些可以吧?
[00:01:20.000 --> 00:01:22.000]  李徒是嗎?
[00:01:22.000 --> 00:01:25.000]  稍後看看你像不像那些人
[00:01:25.000 --> 00:01:26.000]  「M世代」
[00:01:26.000 --> 00:01:28.000]  另外一種叫「Z世代」
