
[00:00:00.000 --> 00:00:06.000]  有一齣很多年前的電影
[00:00:06.000 --> 00:00:10.000]  是由小說改編的
[00:00:10.000 --> 00:00:13.000]  湯漢詩來主演
[00:00:13.000 --> 00:00:15.000]  《阿金正傳》
[00:00:15.000 --> 00:00:17.000]  相信很多人都看過
[00:00:17.000 --> 00:00:24.000]  但在現實上有一個女版的阿金
[00:00:24.000 --> 00:00:30.000]  這個人年幼的時候同樣患上小兒麻痺症
[00:00:30.000 --> 00:00:35.000]  他要在輪椅上站起來
[00:00:35.000 --> 00:00:42.000]  然後就在1960年的奧運會裡
[00:00:42.000 --> 00:00:49.000]  一次過拿了三面女子短跑的金牌
[00:00:49.000 --> 00:00:55.000]  這個人的傳奇人物有一個別號
[00:00:55.000 --> 00:00:57.000]  叫做黑羚羊
[00:00:57.000 --> 00:00:59.000]  跑得很快的那種
[00:00:59.000 --> 00:01:02.000]  他是威爾瑪老道夫
[00:01:02.000 --> 00:01:04.000]  Wilmer Rudolph
[00:01:04.000 --> 00:01:09.000]  其實這個人的背景出生很困難
[00:01:09.000 --> 00:01:14.000]  在一個黑人的家庭裡出生
[00:01:14.000 --> 00:01:17.000]  家裡有22個小朋友
[00:01:17.000 --> 00:01:19.000]  嚇死人了
[00:01:19.000 --> 00:01:22.000]  他是排第20
[00:01:22.000 --> 00:01:29.000]  他小時候出生只有兩公斤
[00:01:29.000 --> 00:01:31.000]  很輕的一隻貓
[00:01:31.000 --> 00:01:37.000]  然後因為發燒又患上小兒麻痺症
[00:01:37.000 --> 00:01:41.000]  所以他走路的時候
[00:01:41.000 --> 00:01:43.000]  左腳因為有些萎縮
[00:01:43.000 --> 00:01:48.000]  所以要扶著拐杖走路
[00:01:48.000 --> 00:01:50.000]  就是這樣
[00:01:50.000 --> 00:01:56.000]  但是他得到家人的支持
[00:01:56.000 --> 00:02:00.000]  所以不斷鼓勵他
[00:02:00.000 --> 00:02:06.000]  甚至每一天幫他按摩腳
[00:02:06.000 --> 00:02:09.000]  所以他慢慢走得回來
[00:02:09.000 --> 00:02:15.000]  當然他自己也需要付上十二分的努力
[00:02:15.000 --> 00:02:18.000]  不是十分,是十二分
[00:02:18.000 --> 00:02:23.000]  他甚至不顧自己有一點殘障
[00:02:23.000 --> 00:02:25.000]  去參加籃球比賽
[00:02:25.000 --> 00:02:27.000]  這個人打籃球
[00:02:27.000 --> 00:02:31.000]  去到1956年的時候
[00:02:31.000 --> 00:02:33.000]  當年他只有16歲
[00:02:33.000 --> 00:02:35.000]  第一次參加奧運
[00:02:35.000 --> 00:02:37.000]  很厲害,16歲
[00:02:37.000 --> 00:02:43.000]  那次拿了四成一百的短跑銅牌
[00:02:43.000 --> 00:02:45.000]  四年之後
[00:02:45.000 --> 00:02:48.000]  1960年羅馬的奧運
[00:02:48.000 --> 00:02:50.000]  一名驚人
[00:02:50.000 --> 00:02:53.000]  他第一面拿的金牌
[00:02:53.000 --> 00:02:57.000]  就是一百公尺女子短跑
[00:02:57.000 --> 00:02:59.000]  破了世界紀錄
[00:02:59.000 --> 00:03:03.000]  接著拿了二百和四成一百
[00:03:03.000 --> 00:03:09.000]  就成為了美國第一個女子運動員
[00:03:09.000 --> 00:03:15.000]  在同一屆奧運裡拿三面金牌
[00:03:15.000 --> 00:03:17.000]  不要忘記
[00:03:17.000 --> 00:03:19.000]  這位運動員
[00:03:19.000 --> 00:03:24.000]  其實他小時候玩過小魚麻痺
[00:03:24.000 --> 00:03:27.000]  走路也咬著咬著
[00:03:27.000 --> 00:03:29.000]  但是
[00:03:29.000 --> 00:03:31.000]  雖然是這樣
[00:03:31.000 --> 00:03:35.000]  他不是贏在起跑線
[00:03:35.000 --> 00:03:37.000]  不會吧
[00:03:37.000 --> 00:03:44.000]  但他仍然可以超越身體上的殘障
[00:03:44.000 --> 00:03:46.000]  究竟為什麼呢
[00:03:46.000 --> 00:03:49.000]  今天我想和大家用羅馬書
[00:03:49.000 --> 00:03:52.000]  八章十八節到三十節
[00:03:52.000 --> 00:03:55.000]  和大家一起去學一個
[00:03:55.000 --> 00:03:58.000]  看遠一點的功課
