
[00:00:00.000 --> 00:00:02.360]  頂尖們,午安!
[00:00:02.360 --> 00:00:04.880]  今天的講題就是
[00:00:04.880 --> 00:00:09.220]  優秀、喜樂、按神意
[00:00:09.220 --> 00:00:14.460]  看看大家喜歡優秀還是喜樂比較多
[00:00:14.460 --> 00:00:15.940]  讓我們跟他學習吧
[00:00:15.940 --> 00:00:18.480]  我們講道之前,我們跟低頭有祈禱
[00:00:18.480 --> 00:00:21.740]  慈悲愛天父,我們多謝你
[00:00:21.740 --> 00:00:25.380]  在主日崇拜當中,我們可以一起去聆聽你的話語
[00:00:25.380 --> 00:00:27.080]  一起去聽你的說話
[00:00:27.080 --> 00:00:29.260]  求主你也去安靜我們的心
[00:00:29.260 --> 00:00:33.260]  讓我們在敬拜當中獻情給祢
[00:00:33.260 --> 00:00:34.520]  上帝祢也是遇納
[00:00:34.520 --> 00:00:37.900]  也上帝祢藉著祢的話語去教導我們
[00:00:37.900 --> 00:00:40.240]  讓我們行在祢的道路上
[00:00:40.240 --> 00:00:44.220]  讓我們所作的都是跟著神祢的意思
[00:00:44.220 --> 00:00:46.580]  按著祢的神意、神的意思
[00:00:46.580 --> 00:00:49.500]  讓我們在生活當中能夠去榮耀祢
[00:00:49.500 --> 00:00:50.980]  天父多謝你聽我們禱告
[00:00:50.980 --> 00:00:53.500]  奉靠主耶穌基督的名字,阿門
[00:00:53.500 --> 00:00:56.700]  很多年前,當時還是年輕
[00:00:56.700 --> 00:01:00.100]  信耶穌回教會了
[00:01:00.100 --> 00:01:02.660]  回到團契
[00:01:02.660 --> 00:01:06.420]  有一天,團契結束的時候
[00:01:06.420 --> 00:01:10.740]  當時的導師就走過來跟我聊天
[00:01:10.740 --> 00:01:12.500]  聊著聊著
[00:01:12.500 --> 00:01:16.020]  想問問現在你們回到團契,有沒有導師跟你聊天的?
[00:01:16.020 --> 00:01:19.980]  你們有沒有什麼反應?
[00:01:19.980 --> 00:01:22.580]  要告訴同公子才行
[00:01:22.580 --> 00:01:24.980]  就是說你們沒有回到團契
[00:01:24.980 --> 00:01:30.260]  團契結束後,導師走過來跟我聊天
[00:01:30.260 --> 00:01:32.060]  關心我,問問我
[00:01:32.060 --> 00:01:36.220]  因為當時我是剛剛順主,剛剛回到教會
[00:01:36.220 --> 00:01:37.900]  聊著聊著之餘
[00:01:37.900 --> 00:01:39.460]  他就問我
[00:01:39.460 --> 00:01:41.940]  你是不是在拍拖?
[00:01:41.940 --> 00:01:44.540]  我就:咦?
[00:01:44.540 --> 00:01:45.740]  好像現在的樣子
[00:01:45.740 --> 00:01:47.940]  有一點尷尬,有一點害羞
[00:01:47.940 --> 00:01:49.580]  OK,是的
[00:01:49.580 --> 00:01:52.380]  他就停了一下,想了一下
[00:01:52.380 --> 00:01:55.300]  再看看我,就問我這個問題
[00:01:55.300 --> 00:02:00.900]  你怎麼知道你拍拖是跟著上帝的意思呢?
[00:02:00.900 --> 00:02:02.780]  我就呆了一會
[00:02:02.780 --> 00:02:03.740]  想了一下
[00:02:03.740 --> 00:02:08.740]  言下之意,就是你怎麼知道你拍拖是上帝的意思呢?
[00:02:08.740 --> 00:02:15.260]  甚至你怎麼知道你拍拖的女朋友是上帝所安排的呢?
[00:02:15.260 --> 00:02:18.420]  其實我已經忘記了怎麼回答他
[00:02:18.420 --> 00:02:23.620]  不過我估計我的性格應該也是
[00:02:23.620 --> 00:02:24.540]  是吧
[00:02:24.540 --> 00:02:27.340]  或者他也有回到教會的
[00:02:27.340 --> 00:02:28.820]  那就回答他
[00:02:28.820 --> 00:02:31.380]  但是我自己在準備的時候
[00:02:31.380 --> 00:02:34.820]  我回想,如果今天他再問我這個問題的時候
[00:02:34.820 --> 00:02:37.380]  我會怎麼回答他呢?
[00:02:37.380 --> 00:02:39.100]  我現在今天的性格
[00:02:39.100 --> 00:02:42.340]  我就應該會反問他的
[00:02:42.340 --> 00:02:43.820]  我就不會回答他的
[00:02:43.820 --> 00:02:44.620]  我就會問他
[00:02:44.620 --> 00:02:45.140]  咦?
[00:02:45.140 --> 00:02:49.820]  原來吃飯睡覺也要跟上帝的意思的嗎?
[00:02:49.820 --> 00:02:51.540]  我會這樣回答他
[00:02:51.540 --> 00:02:54.140]  弟兄姊妹,其實用不著的嗎?
[00:02:54.140 --> 00:02:59.060]  吃飯睡覺,用不著跟著上帝的意思的嗎?
[00:02:59.060 --> 00:03:01.100]  你們應該沒有什麼反應的
[00:03:01.100 --> 00:03:02.580]  已經五堂了
[00:03:02.580 --> 00:03:04.780]  早堂就說了
[00:03:04.780 --> 00:03:07.220]  你們應該沒有反應的
[00:03:07.220 --> 00:03:08.900]  用不著的嗎?
[00:03:08.900 --> 00:03:10.140]  要的吧
[00:03:10.140 --> 00:03:12.660]  我被他這樣問完之後
[00:03:12.660 --> 00:03:14.420]  因為當時年輕
[00:03:14.420 --> 00:03:15.980]  於是團契結束之後
[00:03:15.980 --> 00:03:18.860]  我就立刻跑去教會附近一間基督教的書室
[00:03:18.860 --> 00:03:20.420]  買了一本書
[00:03:20.420 --> 00:03:24.140]  那本書就叫做《如何明白神的旨意》
[00:03:24.140 --> 00:03:25.180]  厲害吧?
[00:03:25.180 --> 00:03:26.380]  多麼上進
[00:03:26.380 --> 00:03:28.060]  大概研究一下
[00:03:28.060 --> 00:03:30.100]  聽聽究竟上帝的意思是怎樣
[00:03:30.100 --> 00:03:33.380]  怎樣才是跟著上帝的意思呢?
[00:03:33.380 --> 00:03:35.100]  買了回家
[00:03:35.100 --> 00:03:36.060]  不買游字海
[00:03:36.060 --> 00:03:37.340]  買了攤開一看
[00:03:37.340 --> 00:03:39.380]  咦?
[00:03:39.380 --> 00:03:42.580]  就是教我們看聖經
[00:03:42.580 --> 00:03:44.780]  靈修、祈禱
