
[00:00:00.000 --> 00:00:02.360]  我們真的要給我們的爸爸一個很大的掌聲
[00:00:02.360 --> 00:00:03.880]  為什麼呢?因為有一次
[00:00:03.880 --> 00:00:05.840]  我聽過一個這樣的分享
[00:00:05.840 --> 00:00:08.480]  有一個老師問一個少年人
[00:00:08.480 --> 00:00:12.060]  究竟父親節和母親節有什麼分別呢?
[00:00:12.060 --> 00:00:13.380]  那個少年人就說
[00:00:13.380 --> 00:00:14.240]  沒什麼分別的
[00:00:14.240 --> 00:00:17.280]  不過父親節的禮物小一點
[00:00:17.280 --> 00:00:19.700]  所以其實我們真的很需要多謝我們的爸爸
[00:00:19.700 --> 00:00:20.540]  今晚呢
[00:00:20.540 --> 00:00:22.440]  有沒有人出去慶祝父親節的?
[00:00:22.440 --> 00:00:23.680]  有沒有?
[00:00:23.680 --> 00:00:24.740]  有的,應該有的
[00:00:24.740 --> 00:00:26.600]  我也很慶祝父親節
[00:00:26.600 --> 00:00:28.940]  因為我爸爸說想北上吃飯
[00:00:28.940 --> 00:00:32.080]  所以今晚下午完了青少年崇拜
[00:00:32.080 --> 00:00:34.280]  我就回北上跟我爸爸吃飯了
[00:00:34.280 --> 00:00:36.120]  希望我們每一個爸爸
[00:00:36.120 --> 00:00:38.380]  都有一個很開心的父親節
[00:00:38.380 --> 00:00:42.380]  其實爸爸是一個很重要的遺訓
[00:00:42.380 --> 00:00:43.420]  因為我們知道
[00:00:43.420 --> 00:00:45.360]  首先我們要多謝我們每一個的爸爸
[00:00:45.360 --> 00:00:48.160]  因為他為我們的家庭去辛勞
[00:00:48.160 --> 00:00:51.200]  他為我們家庭成為我們家庭的支柱
[00:00:51.200 --> 00:00:52.960]  有供應我們的需要
[00:00:52.960 --> 00:00:54.520]  但是今天原來作為爸爸
[00:00:54.520 --> 00:00:56.300]  你有另外一個很重要的遺訓
[00:00:56.300 --> 00:00:59.180]  就是原來你是帶領著你的家庭
[00:00:59.180 --> 00:01:02.520]  以及帶領著你家庭的方向
[00:01:02.520 --> 00:01:04.600]  所以今天我們特別要看一段經文
[00:01:04.600 --> 00:01:08.140]  當然這段經文不只是跟我們作為爸爸的去講
[00:01:08.140 --> 00:01:09.100]  但是今天
[00:01:09.100 --> 00:01:11.360]  對於我們每一個作為爸爸的
[00:01:11.360 --> 00:01:13.860]  我們又怎麼帶領我們的家庭
[00:01:13.860 --> 00:01:16.040]  而今天我們帶領我們的家庭
[00:01:16.040 --> 00:01:17.940]  去侍奉哪一個呢?
[00:01:17.940 --> 00:01:21.280]  有時候可能作為爸爸已經很辛苦了
[00:01:21.280 --> 00:01:23.120]  要為家庭去努力
[00:01:23.120 --> 00:01:25.220]  要為生活去打拼
[00:01:25.220 --> 00:01:28.460]  但是原來今天爸爸很多時候每一天的選擇
[00:01:28.460 --> 00:01:30.700]  原來都在影響我們的下一代
[00:01:30.700 --> 00:01:32.940]  也在帶領著我們的家庭
[00:01:32.940 --> 00:01:35.080]  去走向一個方向
[00:01:35.080 --> 00:01:36.380]  在教會裡面
[00:01:36.380 --> 00:01:39.560]  我其實經常看到爸爸對我們下一代的影響
[00:01:39.560 --> 00:01:41.840]  今天連續兩天我也看到
[00:01:41.840 --> 00:01:44.140]  其實在敬拜上面
[00:01:44.140 --> 00:01:46.400]  有一些父子
[00:01:46.400 --> 00:01:49.040]  就是有一些父親和有一些兒子
[00:01:49.040 --> 00:01:50.120]  有時候我會看到
[00:01:50.120 --> 00:01:52.600]  有時候就是這個兒子打鼓很厲害的
[00:01:52.600 --> 00:01:54.780]  原來爸爸也會打鼓的
[00:01:54.780 --> 00:01:56.520]  有時候我又會看到
[00:01:56.520 --> 00:01:58.780]  爸爸又喜歡敬拜
[00:01:58.780 --> 00:02:00.580]  兒子又很喜歡敬拜
[00:02:00.580 --> 00:02:02.180]  同樣有時候
[00:02:02.180 --> 00:02:04.160]  我會跟一些初職聊天的時候
[00:02:04.160 --> 00:02:06.080]  還有跟一個初職聊天我就會問
[00:02:06.080 --> 00:02:07.400]  你不喜歡你會做什麼呢?
[00:02:07.400 --> 00:02:09.600]  他說我會跟隨爸爸
[00:02:09.600 --> 00:02:11.820]  去學做一位會計師
[00:02:11.820 --> 00:02:16.300]  我也在少年部看到有一些男孩子
