
[00:00:00.000 --> 00:00:03.960]  好 弟兄姊妹今天給大家分享一個人物
[00:00:03.960 --> 00:00:06.640]  這個人物呢是我們都非常熟悉的
[00:00:06.640 --> 00:00:10.560]  就是亞伯拉罕 那亞伯拉罕呢對我們來講
[00:00:10.560 --> 00:00:12.980]  我們對他印象最深的有可能
[00:00:12.980 --> 00:00:17.360]  就是他現已傻這個事情 那這個事情
[00:00:17.360 --> 00:00:18.440]  呢也是
[00:00:18.440 --> 00:00:22.980]  讓他能夠成為信心之父的一個很重要
[00:00:22.980 --> 00:00:23.920]  的一個事件
[00:00:23.920 --> 00:00:27.420]  我們稱亞伯拉罕是信心之父 那是
[00:00:27.420 --> 00:00:30.960]  因為他有信心嘛 那他信心最高的表現
[00:00:30.960 --> 00:00:33.880]  就在於他現已傻這個事情
[00:00:33.880 --> 00:00:37.480]  透過這個事情呢 我們看到他的信心
[00:00:37.480 --> 00:00:41.040]  是超越一般的人的 也是
[00:00:41.040 --> 00:00:44.400]  我們很難去理解的 不過今天呢我不是講
[00:00:44.400 --> 00:00:48.920]  他的信心有多大 而是呢講他的信心
[00:00:48.920 --> 00:00:52.160]  也有軟弱的地方 講他失敗的一些的經歷
[00:00:52.160 --> 00:00:53.120]  我們知道
[00:00:54.080 --> 00:00:58.040]  一個的信心的委員吧 他的信心呢不是
[00:00:58.040 --> 00:01:02.040]  一天就可以煉成的 那神也藉著不同的環境
[00:01:02.040 --> 00:01:05.880]  不同的一些的事情來熬煉他的信心
[00:01:05.880 --> 00:01:09.160]  以至於他今天能夠成為我們可以效法
[00:01:09.160 --> 00:01:10.360]  的信心之父
[00:01:10.360 --> 00:01:13.120]  我們先來看今天的經文
[00:01:13.120 --> 00:01:16.880]  就是在創世紀的十二章十到二十節
[00:01:16.880 --> 00:01:20.440]  那如果你手中有聖經你可以翻開
[00:01:20.440 --> 00:01:21.680]  我們可以一起來念
[00:01:21.680 --> 00:01:23.440]  1 2起
[00:01:24.200 --> 00:01:28.280]  那地遭遇饑荒 因饑荒盛大
[00:01:28.280 --> 00:01:33.320]  亞伯蘭就下到埃及去 要在那裡暫居
[00:01:33.320 --> 00:01:38.000]  將近埃及 就對他妻子下來說
[00:01:38.000 --> 00:01:41.600]  我知道你是容貌俊美的婦人
[00:01:41.600 --> 00:01:46.360]  埃及人看見你必說 這是他的妻子
[00:01:46.360 --> 00:01:50.400]  他們就要殺我 卻叫你存活
[00:01:50.400 --> 00:01:53.800]  求你說 你是我的妹子
[00:01:54.200 --> 00:01:59.280]  使我因你得平安 我的命也因你存活
[00:01:59.280 --> 00:02:07.280]  即使亞伯蘭到了埃及 埃及人看見
[00:02:07.280 --> 00:02:09.640]  那婦人極其美貌
[00:02:09.640 --> 00:02:16.040]  法老的臣仔看見了她 就在法老面前誇獎她
[00:02:16.040 --> 00:02:20.160]  那婦人就被帶進法老的宮去
[00:02:20.560 --> 00:02:24.160]  法老因這婦人就後代亞伯蘭
[00:02:24.160 --> 00:02:30.960]  亞伯蘭得了許多牛 羊 駱駝 公驢 母驢 比普比
[00:02:30.960 --> 00:02:35.920]  也好把因亞伯蘭的妻子下來的緣故
[00:02:35.920 --> 00:02:39.680]  降大災與法老和她的全家
[00:02:39.680 --> 00:02:43.280]  法老就遭了亞伯蘭來說
[00:02:43.280 --> 00:02:46.880]  你像我做的是什麼事呢
[00:02:47.240 --> 00:02:51.040]  為什麼沒有告訴我她是你的妻子
[00:02:51.040 --> 00:02:54.240]  為什麼說她是你的妹子
[00:02:54.240 --> 00:02:58.440]  於是我把她娶來要做我的妻子
[00:02:58.440 --> 00:03:03.200]  現在你的妻子在這裡 可以帶她走吧
[00:03:03.200 --> 00:03:08.400]  於是法老吩咐人將亞伯蘭和她妻子
[00:03:08.400 --> 00:03:11.480]  並她所有的都送走了
[00:03:11.480 --> 00:03:13.360]  好 經文讀到這裡
[00:03:13.360 --> 00:03:15.360]  這裡講到亞伯蘭
[00:03:15.640 --> 00:03:17.960]  亞伯蘭其實就是亞伯拉漢
[00:03:17.960 --> 00:03:22.760]  就是他在改名之前的原來的那個名字
[00:03:22.760 --> 00:03:26.320]  那亞伯拉漢的意思是什麼呢
[00:03:26.320 --> 00:03:28.560]  就是多國的婦
[00:03:28.560 --> 00:03:32.840]  那亞伯蘭的意思就是本國的婦
[00:03:32.840 --> 00:03:34.840]  或者是崇高的婦
[00:03:34.840 --> 00:03:37.280]  那他從一個本國的婦
[00:03:37.280 --> 00:03:40.400]  一個崇高的婦 變成一個多國的婦
[00:03:40.400 --> 00:03:44.080]  那個是因為耶和華神給他有應許 給他祝福
[00:03:44.680 --> 00:03:47.800]  讓他的子孫後代將來有海邊的沙
[00:03:47.800 --> 00:03:50.560]  天上的星星那麼多 數都數不過來
[00:03:50.560 --> 00:03:53.280]  所以神給他改了一個名字
[00:03:53.280 --> 00:03:57.120]  意思就是說 他不只是以色列民的祖先
[00:03:57.120 --> 00:03:58.640]  不只是他們的婦而已
[00:03:58.640 --> 00:04:02.440]  他將來也要成為多國的婦
[00:04:02.440 --> 00:04:05.480]  他要成為其他的國民的婦
[00:04:05.480 --> 00:04:07.440]  那今天我們外邦人
[00:04:07.440 --> 00:04:10.600]  我們在幼體上面是外邦人
[00:04:10.600 --> 00:04:13.280]  可是在屬靈裡面 我們已經是以色列人
[00:04:13.280 --> 00:04:14.880]  也是歸屬於亞伯拉罕
[00:04:14.880 --> 00:04:16.600]  也是他的子孫和後裔
[00:04:16.600 --> 00:04:18.800]  所以我們也成了他的後裔
[00:04:18.800 --> 00:04:24.200]  那沙萊呢 他也是一個原名
[00:04:24.200 --> 00:04:26.360]  後來他有改名叫沙拉
[00:04:26.360 --> 00:04:29.520]  沙拉的意思是多國之母
[00:04:29.520 --> 00:04:32.480]  就是亞伯拉罕的妻子沙拉
[00:04:32.480 --> 00:04:35.280]  他是多國之父 那他就是多國之母
[00:04:35.280 --> 00:04:38.840]  那沙萊的意思就是公主的意思
[00:04:38.840 --> 00:04:40.600]  他原來的名字叫沙萊
[00:04:40.600 --> 00:04:42.880]  所以今天我們讀的這段經文
[00:04:42.880 --> 00:04:47.400]  都是他們還沒有改名之前的名字
[00:04:47.400 --> 00:04:49.960]  那我們先來看一下這段經文
[00:04:49.960 --> 00:04:53.200]  當然要看上文才知道
[00:04:53.200 --> 00:04:54.840]  究竟發生什麼事情
