
[00:00:00.000 --> 00:00:09.200]  弟兄姊妹們,平安。很高興能夠又來教會跟大家分享,跟大家一起敬拜。
[00:00:09.200 --> 00:00:21.500]  你們都知道,一棵樹,一棵果樹,它要長得好,一定要有一個根,它的根一定要強。
[00:00:21.500 --> 00:00:26.900]  而且它的根能夠往四方拓展,然後往下扎根。
[00:00:26.900 --> 00:00:35.200]  那相同的基督徒也是一樣,一個基督徒的靈命的成長,也是需要往下扎根。
[00:00:35.200 --> 00:00:43.200]  那這個扎根就有各方面,一方面是在我們的讀經上靈修。
[00:00:43.200 --> 00:00:49.600]  所以這個根有好幾條,你們如果看這個題目是,這個根是複數的。
[00:00:49.600 --> 00:00:56.100]  有一個根就是我們要跟神的話語有很深的連結認識。
[00:00:56.100 --> 00:00:58.700]  所以這個根是看不見的。
[00:00:58.700 --> 00:01:06.000]  弟兄姊妹,我想你們都看到,這裡的果樹都開花了,樹都開花了。
[00:01:06.000 --> 00:01:09.900]  經過一年的冬天,他們就默默地站在那裡,
[00:01:09.900 --> 00:01:17.000]  但是他們的根就默默地在那邊吸收地上的養分,地上的水分。
[00:01:17.000 --> 00:01:25.800]  等到春天來了,時間一到,陽光、雨水,他們就開出這個美麗的花朵。
[00:01:25.800 --> 00:01:33.000]  所以就看出他們這半年來的修習,其實是在默默地耕耘。
[00:01:33.000 --> 00:01:39.900]  所以基督徒也是一樣,一個要靈命的成長的過程內,你這個根一定要好。
[00:01:39.900 --> 00:01:45.800]  一方面是讀經,另外一條的根就是要禱告。
[00:01:45.800 --> 00:01:49.600]  所以今天我講的題目是有關於禱告。
[00:01:49.600 --> 00:01:57.800]  一個基督徒的靈命的成長需要時間,一棵樹的成長也需要時間。
[00:01:57.800 --> 00:02:04.000]  我查了網上一個資料,就是一棵蘋果樹,你去買來以後把它種下去,
[00:02:04.000 --> 00:02:09.000]  大概過了兩年到五年,它就開始慢慢地結果。
[00:02:09.000 --> 00:02:17.700]  其實假如種了五年以後,也剛開始像是一個teenage一樣,年輕人這樣,
[00:02:17.700 --> 00:02:22.200]  再過十年可能這個蘋果樹算是比較成長。
[00:02:22.200 --> 00:02:32.300]  Cherry要四年到七年,油桃要二到四年,Peach要二到四年。
[00:02:32.300 --> 00:02:38.800]  梨子、鴨梨有時候要四到六年,時間相當長。
