
[00:00:00.000 --> 00:00:01.800]  非洲姐妹早 平安
[00:00:01.800 --> 00:00:04.860]  母親節快樂
[00:00:04.860 --> 00:00:08.960]  我想你們大家都聽過
[00:00:08.960 --> 00:00:10.760]  猶太人講的一句話
[00:00:10.760 --> 00:00:16.900]  猶太人說天上的神他不能到每一個家庭裏面去關懷
[00:00:16.900 --> 00:00:19.200]  所以他就創造了母親
[00:00:19.200 --> 00:00:22.780]  然後藉着母親把他的愛送到每一個家庭裏面去
[00:00:22.780 --> 00:00:29.700]  那不是故意的 但是昨天查理就把這句話拿出來講 他說他不同意
[00:00:30.980 --> 00:00:35.580]  怎麼會沒有足夠的時間到每一個家庭去呢
[00:00:35.580 --> 00:00:38.660]  所以我想我把這句話稍微改一下
[00:00:38.660 --> 00:00:43.000]  天上的神他非常愛他的兒女
[00:00:43.000 --> 00:00:45.560]  所以他造母親
[00:00:45.560 --> 00:00:48.640]  代表他成爲一個天使
[00:00:48.640 --> 00:00:50.940]  日夜看顧他的兒女
[00:00:50.940 --> 00:00:56.060]  感謝主 把他的愛送到每一個家庭裏面去
[00:00:56.060 --> 00:00:59.900]  那也有人說
[00:01:00.160 --> 00:01:02.500]  男人是造房屋的
[00:01:02.500 --> 00:01:03.800]  女人是
[00:01:03.800 --> 00:01:07.120]  造家庭的
[00:01:07.120 --> 00:01:09.680]  那我們中國人也喜歡講
[00:01:09.680 --> 00:01:11.480]  男主外 女主內
[00:01:11.480 --> 00:01:13.520]  都是一樣的道理了
[00:01:13.520 --> 00:01:14.800]  那意思就是說
[00:01:14.800 --> 00:01:17.100]  母親是很重要的啦
[00:01:17.100 --> 00:01:18.900]  感謝主
[00:01:18.900 --> 00:01:22.980]  非常感恩就是這個禮拜二
[00:01:22.980 --> 00:01:24.520]  申明就感動我
[00:01:24.520 --> 00:01:26.060]  給我媽媽
[00:01:26.060 --> 00:01:27.600]  準備禮物
[00:01:27.600 --> 00:01:29.380]  那你說
[00:01:29.640 --> 00:01:31.240]  這個準備禮物
[00:01:31.240 --> 00:01:34.460]  單單想要買什麼做什麼都很累了
[00:01:34.460 --> 00:01:36.700]  更何況那麼的遠
[00:01:36.700 --> 00:01:38.300]  怎麼做啊
[00:01:38.300 --> 00:01:41.660]  但是我想如果是神感動的
[00:01:41.660 --> 00:01:43.460]  他就一定會自己預備
[00:01:43.460 --> 00:01:46.540]  所以我就打電話給我的好朋友唐小蘭
[00:01:46.540 --> 00:01:48.900]  但是我在跟她講話的時候我又想到
[00:01:48.900 --> 00:01:50.620]  小蘭住得太遠了
[00:01:50.620 --> 00:01:52.540]  所以我就說那算了 不要
[00:01:52.540 --> 00:01:54.740]  我還是找我的侄女
[00:01:54.740 --> 00:01:59.140]  我侄女樂羣她住的離我媽媽家才五分鐘
[00:01:59.540 --> 00:02:00.940]  所以我就請她幫我
[00:02:00.940 --> 00:02:04.900]  去買一些花
[00:02:04.900 --> 00:02:07.580]  買一些東西
[00:02:07.580 --> 00:02:09.100]  送去給我媽媽
[00:02:09.100 --> 00:02:12.220]  結果非常非常感恩的就是
[00:02:12.220 --> 00:02:14.860]  不是隻有樂羣去
[00:02:14.860 --> 00:02:17.180]  結果連小蘭她也去了
