
[00:00:00.000 --> 00:00:05.360]  我們今天會講大衛被數羅追殺
[00:00:05.360 --> 00:00:09.680]  但是他有機會下手殺害數羅
[00:00:09.680 --> 00:00:11.120]  但是他沒有這樣做
[00:00:11.120 --> 00:00:15.000]  如果你被一個人無理的迫害你
[00:00:15.000 --> 00:00:17.560]  你有機會去還手的時候
[00:00:17.560 --> 00:00:20.400]  你會不會來帶去忍受呢?
[00:00:20.400 --> 00:00:22.000]  我想很多人都會
[00:00:22.000 --> 00:00:23.200]  你掩蓋我一巴掌
[00:00:23.200 --> 00:00:25.240]  我有能力就殺你全家
[00:00:25.240 --> 00:00:29.200]  所以要寬恕是委實不容易的
[00:00:29.200 --> 00:00:34.440]  要去確集、原諒和寬恕絕對不容易的
[00:00:34.440 --> 00:00:36.920]  但是寬恕在他們這首歌裡面
[00:00:36.920 --> 00:00:37.760]  都有一個問題
[00:00:37.760 --> 00:00:43.960]  就是會不會我們來帶去寬恕一個人
[00:00:43.960 --> 00:00:46.000]  就不理他過去所犯的錯
[00:00:46.000 --> 00:00:48.320]  但是其實我們都要搞清楚
[00:00:48.320 --> 00:00:50.200]  對方犯了什麼錯
[00:00:50.200 --> 00:00:53.080]  還有他有沒有真真正正的認錯
[00:00:53.080 --> 00:00:55.320]  如果他沒有真正認錯的時候
[00:00:55.320 --> 00:00:57.200]  是不是要去寬恕呢?
[00:00:57.200 --> 00:00:59.680]  這是值得我們去探討的
[00:00:59.680 --> 00:01:00.360]  好了
[00:01:00.360 --> 00:01:04.440]  我們今天會看《撒慕爾記》上的第24章
[00:01:04.440 --> 00:01:07.120]  你記住我每一次完的時候都會說一說
[00:01:07.120 --> 00:01:11.960]  下一次的題目和內容是在哪一章的聖經
[00:01:11.960 --> 00:01:14.760]  其實鼓勵弟兄姊妹或者參加者
[00:01:14.760 --> 00:01:16.440]  你預先看了一次
[00:01:16.440 --> 00:01:19.600]  對你的幫助就會大一點
[00:01:19.600 --> 00:01:23.520]  好了 我們上一次看到無悔拯救
[00:01:23.520 --> 00:01:26.360]  大衛他逃亡的時候
[00:01:26.360 --> 00:01:27.840]  經過基依拉
[00:01:27.840 --> 00:01:30.680]  知道基依拉被菲律師人尼號圍困
[00:01:30.680 --> 00:01:32.360]  他兩次求問神
[00:01:32.360 --> 00:01:35.160]  問神可以去幫助基依拉
[00:01:35.160 --> 00:01:37.360]  神都說可以 你可以的
[00:01:37.360 --> 00:01:39.480]  結果他打贏了這場仗
[00:01:39.480 --> 00:01:42.520]  雖然曾經有部下來帶他去反悔
[00:01:42.520 --> 00:01:45.960]  但是當他在基依拉城裡面居住的時候
[00:01:45.960 --> 00:01:48.480]  蘇羅就知道他的所在地
[00:01:48.480 --> 00:01:50.960]  於是就預備下去圍剿他
[00:01:50.960 --> 00:01:52.960]  又大衛求問神
[00:01:52.960 --> 00:01:55.760]  蘇羅他要來抓我的時候
[00:01:55.760 --> 00:01:58.600]  基依拉人會不會把我交在蘇羅的手裡面呢
[00:01:58.600 --> 00:02:00.680]  神就說會
[00:02:00.680 --> 00:02:04.080]  結果大衛又繼續逃亡
[00:02:04.080 --> 00:02:07.040]  我們說大衛的心境一定不會好過
[00:02:07.040 --> 00:02:11.040]  但是及後看到大衛寫一篇詩篇
[00:02:11.040 --> 00:02:13.640]  其中有一句說話是說什麼呢
[00:02:13.640 --> 00:02:17.320]  就是「若然出於你,我就默言不語」
[00:02:17.320 --> 00:02:21.040]  很寶貴 如果知道是神的帶領
[00:02:21.040 --> 00:02:25.000]  縱使那一刻裡面未必是這麼暢順
[00:02:25.000 --> 00:02:27.360]  甚至沉在困境當中
[00:02:27.360 --> 00:02:29.200]  他仍然默言不語
[00:02:29.200 --> 00:02:32.760]  如果大家沒有聽過上一次的茶餐經
[00:02:32.760 --> 00:02:34.520]  可以在網上再聽一遍
[00:02:34.520 --> 00:02:36.120]  就是無悔拯救了
[00:02:36.120 --> 00:02:38.720]  好了 接著我們繼續講下去
[00:02:38.720 --> 00:02:41.760]  大衛就繼續來大衛去逃亡
[00:02:41.760 --> 00:02:45.520]  雖然蘇羅不斷的要追殺他
[00:02:45.520 --> 00:02:49.000]  但是神一直保守
[00:02:49.000 --> 00:02:53.760]  我們看看10號二記上23章的第14節
[00:02:55.000 --> 00:02:59.320]  「曠野的山寨裡,常在西忽曠野的山地
[00:02:59.320 --> 00:03:01.600]  素來天天尋索大衛
[00:03:01.600 --> 00:03:04.760]  神卻不將大衛交在他手裡」
[00:03:04.760 --> 00:03:06.200]  留意這句說話
[00:03:06.200 --> 00:03:10.280]  是神不將大衛交在他的手裡
[00:03:10.280 --> 00:03:12.920]  神必定會保守他所愛的人
[00:03:12.920 --> 00:03:15.600]  往往他能夠化險為夷
[00:03:15.600 --> 00:03:18.480]  或者那個人似乎陷於困境當中
[00:03:18.480 --> 00:03:21.880]  但是這個可能是神第一個的磨練
[00:03:21.880 --> 00:03:23.360]  還有請你留意
[00:03:23.360 --> 00:03:26.800]  他住在曠野的山寨裡
[00:03:26.800 --> 00:03:29.640]  這個山寨其實不是山洞
[00:03:29.640 --> 00:03:31.840]  是連綿不絕的山
[00:03:31.840 --> 00:03:36.080]  隨後記載了大衛和約拿丹
[00:03:36.080 --> 00:03:38.760]  在西忽曠野的地方裡面
[00:03:38.760 --> 00:03:41.000]  在荷列斯的樹林裡面
[00:03:41.000 --> 00:03:43.720]  有最後一次的會面
[00:03:43.720 --> 00:03:45.920]  彼此再立約
[00:03:45.920 --> 00:03:52.040]  約拿丹確認了大衛的身份
[00:03:52.040 --> 00:03:54.560]  確認了他有一天會做王
[00:03:54.560 --> 00:03:56.080]  約拿丹甚至說
[00:03:56.080 --> 00:04:00.040]  「如果可以 你讓我做你的宰相吧」
[00:04:00.040 --> 00:04:02.680]  我們看看十號二記上二十三章
[00:04:02.680 --> 00:04:05.120]  十五到第十八節
[00:04:05.120 --> 00:04:07.520]  不過這段經文我們就不去解釋了
[00:04:07.520 --> 00:04:10.000]  大家先聽聽以往讀一次
[00:04:10.000 --> 00:04:13.240]  「大衛知道素來出來尋索他的命
[00:04:13.240 --> 00:04:16.640]  那時他住在西忽曠野的樹林裡
[00:04:16.640 --> 00:04:19.040]  素來的兒子約拿丹起身
[00:04:19.040 --> 00:04:21.520]  往那樹林裡去見大衛
[00:04:21.520 --> 00:04:24.040]  使他依靠神得以兼顧
