
[00:00:00.000 --> 00:00:04.200]  今天跟大家講傳道書的最後一章
[00:00:04.200 --> 00:00:05.620]  第十二章
[00:00:05.620 --> 00:00:15.080]  這一章可以說是為傳道書做一個總結
[00:00:15.080 --> 00:00:28.640]  傳道者他用描寫人生的終局的情況來總結他對人生的觀察
[00:00:30.980 --> 00:00:33.660]  我先跟大家講一個故事
[00:00:33.660 --> 00:00:38.560]  是關於人類歷史的
[00:00:38.560 --> 00:00:45.840]  話說在很久以前有一個國王
[00:00:45.840 --> 00:00:50.440]  他召集了一群學者去皇宮
[00:00:50.440 --> 00:00:57.200]  他要求這群學者為他去寫人類的歷史
[00:00:58.840 --> 00:01:03.400]  於是這群學者花了好幾年時間
[00:01:03.400 --> 00:01:10.960]  編寫成好幾大本的人類歷史書
[00:01:10.960 --> 00:01:16.160]  將這一套巨著交給國王
[00:01:16.160 --> 00:01:20.520]  但是國王很忙 沒空看
[00:01:20.520 --> 00:01:24.920]  於是過了好幾年
[00:01:24.920 --> 00:01:28.160]  國王有一天想起這件事
[00:01:28.160 --> 00:01:34.000]  於是他再次召集這群學者來皇宮
[00:01:34.000 --> 00:01:36.120]  他對這群學者說
[00:01:36.120 --> 00:01:41.680]  這幾本巨著很厲害 非常之好
[00:01:41.680 --> 00:01:43.400]  不過我沒時間看
[00:01:43.400 --> 00:01:48.320]  你們可不可以用一兩句簡單的話
[00:01:48.320 --> 00:01:52.800]  來總結你們對人類歷史的研究呢
[00:01:54.920 --> 00:02:03.360]  於是這群學者的領袖站出來回答
[00:02:03.360 --> 00:02:11.600]  他說人類歷史的寫照就是這樣
[00:02:11.600 --> 00:02:15.400]  一個人出生之後
[00:02:15.400 --> 00:02:19.080]  他就遭遇各樣的困難
[00:02:19.080 --> 00:02:22.600]  然後他就死亡
[00:02:23.880 --> 00:02:26.520]  這就是人類的歷史
[00:02:26.520 --> 00:02:30.760]  這個故事就講完了
[00:02:30.760 --> 00:02:40.960]  這個故事的結尾是一個非常真實
[00:02:40.960 --> 00:02:44.720]  是一個非常悲觀的結論
[00:02:44.720 --> 00:02:49.920]  所以各位聽眾
[00:02:49.920 --> 00:02:54.760]  如果你覺得你人生裡還有一點喜樂滿足
[00:02:54.760 --> 00:02:58.040]  偶爾還會有一點開心
[00:02:58.040 --> 00:03:00.880]  非常感恩
[00:03:00.880 --> 00:03:06.960]  我們知道我們每一個人總是有些困難
[00:03:06.960 --> 00:03:10.720]  但是在困難裡
[00:03:10.720 --> 00:03:16.400]  如果我們都嘗到一些喜樂滿足的時候
