
[00:00:00.000 --> 00:00:05.240]  在《針研》裏面有很多格言
[00:00:05.240 --> 00:00:11.080]  但同樣有很多可以放在一段去再研究的經文
[00:00:11.080 --> 00:00:15.640]  我選這段是因為很快我們是農曆新年
[00:00:15.640 --> 00:00:20.120]  中國人另一年的結束和開始
[00:00:20.120 --> 00:00:23.560]  用這個主題「將心歸我」
[00:00:23.560 --> 00:00:27.960]  當然這句說話在《針研》裏面是一位父親所說的
[00:00:27.960 --> 00:00:31.440]  放在上帝的當中是上帝要對我們說話
[00:00:31.440 --> 00:00:34.160]  讓我介紹一下《針研》
[00:00:34.160 --> 00:00:39.960]  《針研》在舊約裏面是被歸類為「智慧文學」
[00:00:39.960 --> 00:00:43.520]  我們傳統讀的中文和本的聖經
[00:00:43.520 --> 00:00:48.240]  就將《針研》和《約伯記》、詩篇、傳道書和《雅歌》
[00:00:48.240 --> 00:00:51.800]  加上五卷就稱為「詩歌智慧書」
[00:00:51.800 --> 00:00:55.160]  我相信你讀過《舊約概論》的頂尖媒體都會知道
[00:00:55.160 --> 00:00:58.400]  但在希伯來的正典
[00:00:58.400 --> 00:01:02.120]  他就將這五卷再加上另外的七卷
[00:01:02.120 --> 00:01:05.960]  包括《路德記》、《耶利米埃歌》、《以斯帖記》、《達爾里書》
[00:01:05.960 --> 00:01:09.880]  《以斯拉記》、《尼欽米》和《歷代至上下》
[00:01:09.880 --> 00:01:13.200]  這七卷因為《歷代至上下》歸為一卷
[00:01:13.200 --> 00:01:16.560]  加上就是十二卷並排在一起
[00:01:16.560 --> 00:01:21.320]  他擺作叫做著作或者叫做文學的著作
[00:01:21.320 --> 00:01:24.000]  被稱為「智慧文學」
[00:01:24.000 --> 00:01:28.640]  即是說原來不止《約伯記》、《詩篇》、《瞻賢傳道書》
[00:01:28.640 --> 00:01:31.600]  這些我們常看它為「詩歌體材」
[00:01:31.600 --> 00:01:34.240]  其實有另外的書卷
[00:01:34.240 --> 00:01:38.040]  我們過去認識的先知書或者叫做歷史書
[00:01:38.040 --> 00:01:41.400]  都叫做「智慧文學」
[00:01:41.400 --> 00:01:43.560]  如果我們這樣去理解的時候
[00:01:43.560 --> 00:01:48.480]  你就會知道「智慧文學」其實是很闊的
[00:01:48.480 --> 00:01:53.320]  有很多的作者或者編者
[00:01:53.320 --> 00:01:56.680]  他們的心意是透過這樣的形式來傳遞
[00:01:56.680 --> 00:02:02.280]  「瞻賢」其實是個別的格言被編修而成
[00:02:02.280 --> 00:02:04.280]  甚麼叫個別的格言呢?
[00:02:04.280 --> 00:02:06.520]  就是我們人間的智慧
[00:02:06.520 --> 00:02:08.800]  即是一兩句短句
[00:02:08.800 --> 00:02:13.680]  收集收集成為全卷的「瞻賢」
[00:02:13.680 --> 00:02:16.520]  又不是習大成炒在一起的
[00:02:16.520 --> 00:02:19.560]  炒在一起的時候是炒得很漂亮的
[00:02:19.560 --> 00:02:21.920]  在我們當中有很多人會煮菜的
[00:02:21.920 --> 00:02:27.120]  甚麼菜、甚麼材料配甚麼就很重要
[00:02:27.120 --> 00:02:32.360]  以前我就不太吃甚麼油麥菜、豆豉鯪魚
[00:02:32.360 --> 00:02:33.240]  覺得好吃
[00:02:33.240 --> 00:02:35.680]  有些人喜歡擺麵豉又好吃
[00:02:35.680 --> 00:02:38.920]  如果擺甚麼會不好吃呢?
[00:02:38.920 --> 00:02:41.920]  可能煮菜的人會特別知道
[00:02:41.920 --> 00:02:43.120]  擺腐乳也好吃
[00:02:43.120 --> 00:02:46.240]  不過好像腐乳加通菜會好吃一點
[00:02:46.240 --> 00:02:48.240]  有不同的東西擺在一起
[00:02:48.240 --> 00:02:51.800]  在「瞻賢」的我們叫做編修者
[00:02:51.800 --> 00:02:54.400]  他就嘗試把那些生活的格言
[00:02:54.400 --> 00:02:56.400]  年紀大 下一句是甚麼?
[00:02:56.400 --> 00:02:57.160]  機器壞
[00:02:57.160 --> 00:02:59.760]  你就會拼湊其他的東西擺在一起
[00:02:59.760 --> 00:03:01.160]  傳遞一些訊息
[00:03:01.160 --> 00:03:04.080]  除了它獨立一句有意思之外
[00:03:04.080 --> 00:03:07.880]  它加在一起是有另外的意思的
[00:03:07.880 --> 00:03:11.160]  七十事易本的「瞻賢」
[00:03:11.160 --> 00:03:16.400]  即是聖經最早由舊約希伯來文翻譯成希臘文
[00:03:16.400 --> 00:03:19.720]  他就將「瞻賢」分成四大部份
[00:03:19.720 --> 00:03:21.840]  或者叫做四大結集
[00:03:21.840 --> 00:03:23.160]  我不詳細說了
[00:03:23.160 --> 00:03:26.480]  另外有另一個古鈔本
[00:03:26.480 --> 00:03:29.880]  他就將它分成七大部份
[00:03:29.880 --> 00:03:32.040]  為甚麼分七部份呢?
[00:03:32.040 --> 00:03:33.360]  又有不同的意思
[00:03:33.360 --> 00:03:35.800]  即是不同的分段
[00:03:35.800 --> 00:03:39.280]  是幫我們表達一些意思的
[00:03:39.280 --> 00:03:42.680]  例如我們今天要看的經文
[00:03:42.680 --> 00:03:45.840]  就在第幾段?
[00:03:45.840 --> 00:03:46.800]  第三個部份
[00:03:46.800 --> 00:03:48.680]  是智慧人的言語
[00:03:48.680 --> 00:03:50.600]  其他不是智慧人的言語嗎?
[00:03:50.600 --> 00:03:51.560]  原來其他呢
[00:03:51.560 --> 00:03:52.560]  例如第一段
[00:03:52.560 --> 00:03:55.840]  就是以色列王大衛所羅門的「瞻賢」
