
[00:00:00.000 --> 00:00:04.800]  在《新約聖經》裏面的二十七本書
[00:00:04.800 --> 00:00:08.900]  保羅一個人包辦了十三本
[00:00:08.900 --> 00:00:12.200]  而在這十三本書信當中
[00:00:12.200 --> 00:00:14.600]  羅馬書是最長的一本
[00:00:14.600 --> 00:00:17.200]  總共有十六章
[00:00:17.200 --> 00:00:20.600]  羅馬書不單止是最長
[00:00:20.600 --> 00:00:23.400]  更可以說是保羅書信裏面
[00:00:23.400 --> 00:00:28.600]  最重要、最具影響力的一封信
[00:00:28.600 --> 00:00:36.000]  如果你要幫助保羅為這本屬靈的經典埋美
[00:00:36.000 --> 00:00:38.400]  你會有甚麼提議呢?
[00:00:38.400 --> 00:00:42.000]  保羅的選擇有少許出人意表
[00:00:42.000 --> 00:00:44.000]  但從另一個角度來說
[00:00:44.000 --> 00:00:46.600]  非常自然、非常恰到好處
[00:00:46.600 --> 00:00:52.200]  保羅用了一句五十三個字所寫成的
[00:00:52.200 --> 00:00:54.800]  頌讚Doxology
[00:00:54.800 --> 00:00:57.400]  作為羅馬書整本書
[00:00:57.400 --> 00:01:01.400]  整本經典的終結
[00:01:01.400 --> 00:01:04.200]  中文的聖經裏面有三句
[00:01:04.200 --> 00:01:06.000]  但其實在原文只有一句
[00:01:06.000 --> 00:01:08.400]  由頭到尾是一氣呵成
[00:01:08.400 --> 00:01:11.800]  五十三個字一個頌讚
[00:01:11.800 --> 00:01:13.000]  聖經學者告訴我們
[00:01:13.000 --> 00:01:17.200]  這五十三個字所組成的長句
[00:01:17.200 --> 00:01:20.600]  不單止是一個美麗的頌讚
[00:01:20.600 --> 00:01:30.200]  還為整本羅馬書做了一個很精妙的總結
[00:01:30.200 --> 00:01:35.200]  我們可以將這個總結的頌讚分為三層
[00:01:35.200 --> 00:01:40.600]  所以今天在我們完成十六章羅馬書慶功的時候
[00:01:40.600 --> 00:01:48.200]  我想送一個三層高的頌讚蛋糕給大家吃
[00:01:48.200 --> 00:01:51.800]  我們先由第一層的蛋糕開始看
[00:01:51.800 --> 00:01:56.800]  第一層的蛋糕是在羅馬書第十六章第二十七節裏面
[00:01:56.800 --> 00:02:00.600]  願榮耀恩爵耶穌基督
[00:02:00.600 --> 00:02:05.000]  歸於皈侷獨一全智的上帝
[00:02:05.000 --> 00:02:06.400]  直到永遠
[00:02:06.400 --> 00:02:07.400]  阿們
[00:02:07.400 --> 00:02:09.200]  聖經學者告訴我們
[00:02:09.200 --> 00:02:14.400]  頌讚這種文體有四個基本的元素
[00:02:14.400 --> 00:02:17.800]  第一個元素是頌讚的對象
[00:02:17.800 --> 00:02:20.800]  第二個元素是頌讚的內容
[00:02:20.800 --> 00:02:23.800]  第三個元素是頌讚的時段
[00:02:23.800 --> 00:02:27.400]  最後是頌讚的確認
[00:02:27.400 --> 00:02:31.200]  所以當你打開羅馬書第十六章第二十七節的時候
[00:02:31.200 --> 00:02:35.600]  你看到保羅這個頌讚的骨架
[00:02:35.600 --> 00:02:37.200]  這四點是骨架
[00:02:37.200 --> 00:02:37.800]  第一
[00:02:37.800 --> 00:02:41.000]  保羅頌讚的對象是上帝
[00:02:41.000 --> 00:02:43.600]  是至高無上的上帝
[00:02:43.600 --> 00:02:45.800]  升傑無瑕的上帝
[00:02:45.800 --> 00:02:48.400]  而這個上帝卻又愛世人
[00:02:48.400 --> 00:02:51.400]  他差遣他的愛子來到地上
[00:02:51.400 --> 00:02:52.800]  施行拯救
[00:02:52.800 --> 00:02:56.600]  保羅頌讚的對象是上帝
[00:02:56.600 --> 00:02:57.200]  第二
[00:02:57.200 --> 00:03:01.000]  保羅頌讚的內容是榮耀
[00:03:01.000 --> 00:03:03.000]  甚麼叫榮耀呢
[00:03:03.000 --> 00:03:06.000]  榮耀的希臘文原文是Doxa
[00:03:06.000 --> 00:03:08.000]  它其實是由希伯來文
[00:03:08.000 --> 00:03:10.800]  另一個字叫Kabal出來的
[00:03:10.800 --> 00:03:15.400]  在希伯來文裏面的Kabal的意思是沉重
[00:03:15.400 --> 00:03:17.400]  當你說一個人很榮耀
[00:03:17.400 --> 00:03:20.000]  其實你說他體重驚人
[00:03:20.000 --> 00:03:21.200]  他很重
[00:03:21.200 --> 00:03:23.600]  他很有內涵
[00:03:23.600 --> 00:03:25.400]  他重量級
