
[00:00:00.000 --> 00:00:06.000]  大兄姐妹平安,我們先一齊同心祈禱
[00:00:06.000 --> 00:00:09.000]  首先我們感謝你自己的恩典
[00:00:09.000 --> 00:00:12.000]  雖然我們是被疫情所困
[00:00:12.000 --> 00:00:17.000]  但我們藉著現代的科技可以在網上來崇拜
[00:00:17.000 --> 00:00:21.000]  我們求父你一聲靈繼續大念我們
[00:00:21.000 --> 00:00:25.000]  無論我們在哪裏,求聖靈保守大念我們
[00:00:25.000 --> 00:00:28.000]  讓我們聽得清楚你自己的華語
[00:00:28.000 --> 00:00:30.000]  明白你的教導
[00:00:30.000 --> 00:00:34.000]  幫助我們在日常生活當中實踐你的華語
[00:00:34.000 --> 00:00:37.000]  奉耶穌基督的名祈禱,阿門
[00:00:37.000 --> 00:00:42.000]  今天我們會開始看提多書
[00:00:42.000 --> 00:00:45.000]  這本書只有三章聖經
[00:00:45.000 --> 00:00:49.000]  我們會用三個星期的時間來看
[00:00:49.000 --> 00:00:51.000]  每個星期看一章
[00:00:51.000 --> 00:00:57.000]  第一章是有關領導人的資格問題
[00:00:57.000 --> 00:01:03.000]  我想給大家看三個人的一些簡單的背景
[00:01:03.000 --> 00:01:08.000]  特別是這三個人的一些習慣
[00:01:08.000 --> 00:01:16.000]  然後假設他們都出來要競選做澳洲總理這個職位
[00:01:16.000 --> 00:01:21.000]  我想請大家投票,看看你會選哪一位
[00:01:21.000 --> 00:01:25.000]  如果你是用Zoom參加崇拜的話
[00:01:25.000 --> 00:01:29.000]  投票的時候你可以有兩個辦法
[00:01:29.000 --> 00:01:31.000]  一就是點擊屏幕
[00:01:31.000 --> 00:01:36.000]  你會看到屏幕下面有不同的選項顯示
[00:01:36.000 --> 00:01:43.000]  大概是靠右邊那裏你可以選可以舉手的圖形
[00:01:43.000 --> 00:01:46.000]  你就可以點擊舉手的圖形
[00:01:46.000 --> 00:01:50.000]  大家不妨先試一試,現在還沒有正式選舉
[00:01:50.000 --> 00:01:53.000]  其實另一個更加簡單的辦法
[00:01:53.000 --> 00:01:56.000]  你就是可以打開你的攝像頭
[00:01:56.000 --> 00:01:58.000]  讓我們可以看見你
[00:01:58.000 --> 00:02:05.000]  到時選舉的時候你在攝像頭前面舉手示意
[00:02:05.000 --> 00:02:08.000]  就可以這樣選舉
[00:02:08.000 --> 00:02:11.000]  如果你是用YouTube參加崇拜的話
[00:02:11.000 --> 00:02:16.000]  我就請你在我們聖馬太加的群組投票
[00:02:16.000 --> 00:02:19.000]  在微信或者WhatsApp都可以
[00:02:19.000 --> 00:02:25.000]  我現在就將這三個人的背景告訴大家
[00:02:25.000 --> 00:02:29.000]  首先講一下他們的共同特徵
[00:02:29.000 --> 00:02:34.000]  其實他們都有很好的演說才能
[00:02:34.000 --> 00:02:38.000]  是很好的演說家
[00:02:38.000 --> 00:02:41.000]  其實在我們西方式民主社會
[00:02:41.000 --> 00:02:45.000]  政治家是一定能夠演說的
[00:02:45.000 --> 00:02:49.000]  所以這一點你不用擔心他們不會說話
[00:02:49.000 --> 00:02:51.000]  他們是很會說話的
[00:02:51.000 --> 00:02:54.000]  現在我們要考慮的是他們的其他背景
[00:02:54.000 --> 00:02:59.000]  第一位參選者的背景
[00:02:59.000 --> 00:03:01.000]  他是一位花花公子
[00:03:01.000 --> 00:03:03.000]  很喜歡喝啤酒的
[00:03:03.000 --> 00:03:05.000]  但他不吸煙
[00:03:05.000 --> 00:03:07.000]  他已經結了婚
[00:03:07.000 --> 00:03:09.000]  有兒有女
[00:03:09.000 --> 00:03:11.000]  第二位
[00:03:11.000 --> 00:03:14.000]  這個人很喜歡喝酒的
[00:03:14.000 --> 00:03:16.000]  特別喜歡喝威士忌
[00:03:16.000 --> 00:03:19.000]  他一醒來就開始喝了
[00:03:19.000 --> 00:03:22.000]  喝到中午或者晚餐的時候
[00:03:22.000 --> 00:03:25.000]  他會喝香檳和布蘭地
[00:03:25.000 --> 00:03:29.000]  他還很喜歡吸雪茄煙
[00:03:29.000 --> 00:03:31.000]  他已經結了婚
[00:03:31.000 --> 00:03:34.000]  有五名兒女
[00:03:34.000 --> 00:03:36.000]  第三位
[00:03:36.000 --> 00:03:39.000]  第三位他不喝酒
[00:03:39.000 --> 00:03:41.000]  不吸煙
