
[00:00:00.000 --> 00:00:04.500]  弟兄姊妹,今天當我們面對這樣一個黑暗邪惡的世代
[00:00:04.500 --> 00:00:11.500]  你知道很多時候我們很容易落入一種恐懼不安的陷阱裡面
[00:00:11.500 --> 00:00:14.500]  仇敵用盡各樣的方法
[00:00:14.500 --> 00:00:17.300]  叫我們害怕、叫我們恐懼
[00:00:17.300 --> 00:00:19.600]  叫我們基督徒甚至退縮
[00:00:19.600 --> 00:00:22.600]  不敢勇敢的來為主而活
[00:00:22.600 --> 00:00:25.000]  但今天作為一個基督徒
[00:00:25.000 --> 00:00:29.600]  我們一點不需要因為我們的環境你感覺恐慌
[00:00:29.600 --> 00:00:31.600]  作為基督徒讓我告訴你
[00:00:31.600 --> 00:00:35.200]  你是個永遠有盼望的人
[00:00:35.200 --> 00:00:38.800]  因為我們的盼望唯獨在乎神
[00:00:38.800 --> 00:00:41.500]  祂是那位坐在寶座上的真神
[00:00:41.500 --> 00:00:46.500]  祂是那位到如今仍然工作的神
[00:00:46.500 --> 00:00:48.200]  祂沒有沈睡
[00:00:48.200 --> 00:00:50.200]  祂也沒有聽不見我們的禱告
[00:00:50.200 --> 00:00:54.600]  直到如今神仍然能夠工作
[00:00:54.600 --> 00:00:56.000]  Hallelujah
[00:00:56.000 --> 00:00:58.600]  所以今天早上從三方面來講
[00:00:58.600 --> 00:01:03.200]  怎麼樣靠神做一個有盼望的人
[00:01:03.200 --> 00:01:04.500]  第一方面
[00:01:04.500 --> 00:01:07.600]  你一定要在生活上學會知足
[00:01:07.600 --> 00:01:11.800]  跟你們說在生活上學會知足
[00:01:11.800 --> 00:01:14.700]  今天無論我們遇到怎麼樣艱難的環境
[00:01:14.700 --> 00:01:20.200]  第一件事情你一定要心裡面學會知足
[00:01:20.200 --> 00:01:23.800]  保羅在菲利比書第四章十一到十三節
[00:01:23.800 --> 00:01:25.500]  他說我不是因為缺乏說這句話
[00:01:25.500 --> 00:01:27.400]  無論是什麼景況我都可以知足
[00:01:27.400 --> 00:01:28.700]  這是我已經學會
[00:01:28.700 --> 00:01:30.200]  我知道怎麼處悲劍
[00:01:30.200 --> 00:01:31.400]  怎麼樣處豐富
[00:01:31.400 --> 00:01:34.100]  或飽足或有餘或缺乏
[00:01:34.100 --> 00:01:36.400]  隨時隨在我都得了秘訣
[00:01:36.400 --> 00:01:39.500]  他說我靠著那加給我力量的
[00:01:39.500 --> 00:01:41.600]  凡事都能做
[00:01:41.600 --> 00:01:43.100]  保羅在這裡教導我們說
[00:01:43.100 --> 00:01:46.000]  無論什麼景況都要知足
[00:01:46.000 --> 00:01:47.400]  我相信每個人聽到這句話
[00:01:47.400 --> 00:01:50.200]  我們心中都會說Amen
[00:01:50.200 --> 00:01:52.600]  我們也都渴望能夠知足
[00:01:52.600 --> 00:01:54.000]  因為中國話也教導我們
[00:01:54.000 --> 00:01:55.800]  知足才能什麼
