
[00:00:00.000 --> 00:00:06.000]  我們一同作為一個群體紀念天上的父為我們所作的一切
[00:00:06.000 --> 00:00:10.000]  雖然地上的父親有很多的辛勞和付出
[00:00:10.000 --> 00:00:13.000]  但我們知道天上的父更愛我們
[00:00:13.000 --> 00:00:16.000]  更加配受我們的感謝
[00:00:16.000 --> 00:00:17.000]  如果你有聖經的話
[00:00:17.000 --> 00:00:19.000]  我邀請你一起去擁抱神的話語
[00:00:19.000 --> 00:00:21.000]  我們一同去禱告
[00:00:21.000 --> 00:00:24.000]  天上的神我們感謝你
[00:00:24.000 --> 00:00:27.000]  我們可以稱你為我們的父
[00:00:27.000 --> 00:00:30.000]  我們知道這是一個很大的恩典
[00:00:30.000 --> 00:00:33.000]  完全是因為耶穌基督的救贖
[00:00:33.000 --> 00:00:36.000]  讓我們可以坦然無懼地在你面前
[00:00:36.000 --> 00:00:38.000]  成為你的兒女
[00:00:38.000 --> 00:00:41.000]  得著後製的身份
[00:00:41.000 --> 00:00:43.000]  最後就是我們不要忘記
[00:00:43.000 --> 00:00:45.000]  基督是我們所作的
[00:00:45.000 --> 00:00:47.000]  也叫我們願意地
[00:00:47.000 --> 00:00:52.000]  努力忠心地成為合乎你心意的兒女
[00:00:52.000 --> 00:00:54.000]  讓我們作為一個教會
[00:00:54.000 --> 00:00:59.000]  我們都能夠竭力地去履行基督給我們的使命
[00:00:59.000 --> 00:01:02.000]  我們將以下的時間交予你手中
[00:01:02.000 --> 00:01:04.000]  求你親自向我們說話
[00:01:04.000 --> 00:01:06.000]  觸動我們的心靈
[00:01:06.000 --> 00:01:08.000]  改變我們的生命
[00:01:08.000 --> 00:01:09.000]  聽我們的禱告
[00:01:09.000 --> 00:01:11.000]  奉求耶穌基督得聖的名字祈求
[00:01:11.000 --> 00:01:13.000]  咱們
[00:01:13.000 --> 00:01:17.000]  我很期待第二天的早晨
[00:01:17.000 --> 00:01:21.000]  有一天我讀大學的時候
[00:01:21.000 --> 00:01:23.000]  我弟弟無緣無故就是我這樣說
[00:01:23.000 --> 00:01:25.000]  很期待第二天的早晨
[00:01:25.000 --> 00:01:27.000]  我就覺得很奇怪
[00:01:27.000 --> 00:01:31.000]  當時我讀大學
[00:01:31.000 --> 00:01:32.000]  我弟弟年紀比較小
[00:01:32.000 --> 00:01:33.000]  是哪個弟弟呢
[00:01:33.000 --> 00:01:34.000]  我就不說了
[00:01:34.000 --> 00:01:35.000]  你自己猜猜吧
[00:01:35.000 --> 00:01:37.000]  我就問他
[00:01:37.000 --> 00:01:39.000]  什麼事這麼期待
[00:01:39.000 --> 00:01:42.000]  我很期待明天早上起來的時候
[00:01:42.000 --> 00:01:44.000]  再剃鬚
[00:01:44.000 --> 00:01:47.000]  他說
[00:01:47.000 --> 00:01:50.000]  當我把剃鬚膏塗在身上
[00:01:50.000 --> 00:01:53.000]  再把鬚刨下去
[00:01:53.000 --> 00:01:54.000]  不是剃鬚刨
[00:01:54.000 --> 00:01:55.000]  是剃鬚刀
[00:01:55.000 --> 00:01:57.000]  用來刮的時候
[00:01:57.000 --> 00:01:59.000]  很舒服
[00:01:59.000 --> 00:02:01.000]  我看著他
[00:02:01.000 --> 00:02:03.000]  剃鬚前後我看不出有什麼分別
[00:02:03.000 --> 00:02:04.000]  我說
[00:02:04.000 --> 00:02:07.000]  你真的不明白
[00:02:07.000 --> 00:02:09.000]  我真的不太明白
[00:02:09.000 --> 00:02:15.000]  我想他不是享受剃鬚的感覺
[00:02:15.000 --> 00:02:17.000]  因為他其實沒什麼鬚可剃
[00:02:17.000 --> 00:02:20.000]  但是他剃鬚後
[00:02:20.000 --> 00:02:22.000]  自我感覺良好
[00:02:22.000 --> 00:02:26.000]  因為他是一個大人
[00:02:26.000 --> 00:02:28.000]  從他的眼光來看
[00:02:28.000 --> 00:02:31.000]  他再不是一個小朋友
[00:02:31.000 --> 00:02:33.000]  他現在剃鬚
[00:02:33.000 --> 00:02:35.000]  所以他不用等到早上
[00:02:35.000 --> 00:02:36.000]  他早上晚上剃鬚都一樣
