
[00:00:00.000 --> 00:00:04.000]  在兩年多前英國有一位老人家
[00:00:04.000 --> 00:00:08.000]  他已經差不多一百歲
[00:00:08.000 --> 00:00:10.000]  他是一位退伍軍人
[00:00:10.000 --> 00:00:13.000]  他的名字叫摩爾
[00:00:13.000 --> 00:00:16.000]  當時他因病離世
[00:00:16.000 --> 00:00:21.000]  政府為他舉行一個隆重的葬禮
[00:00:21.000 --> 00:00:25.000]  雖然當時仍然在疫情期間
[00:00:25.000 --> 00:00:29.000]  參加葬禮的人數都受到限制
[00:00:29.000 --> 00:00:32.000]  並不是很多人能出席
[00:00:32.000 --> 00:00:37.000]  但是摩爾的靈究有警車護送
[00:00:37.000 --> 00:00:40.000]  有軍團鳴槍致敬
[00:00:40.000 --> 00:00:42.000]  上面還有一架飛機
[00:00:42.000 --> 00:00:47.000]  這架飛機曾經在二次大戰時服役過
[00:00:47.000 --> 00:00:50.000]  一架飛機在上空飛行
[00:00:50.000 --> 00:00:57.000]  還有六位軍人扶靈
[00:00:57.000 --> 00:01:00.000]  而在摩爾離世前幾個月
[00:01:00.000 --> 00:01:06.000]  英女皇向他頒發爵士的勳銜
[00:01:06.000 --> 00:01:10.000]  她死後英女皇稱讚
[00:01:10.000 --> 00:01:15.000]  她啟發了全國和世界各地的人
[00:01:15.000 --> 00:01:20.000]  當時英國首相約翰遜亦發表聲明
[00:01:20.000 --> 00:01:24.000]  稱讚摩爾爵士
[00:01:24.000 --> 00:01:29.000]  是最配得上英雄稱謂的人
[00:01:29.000 --> 00:01:35.000]  因為他在國家面對最沉重危機時
[00:01:35.000 --> 00:01:37.000]  團結了所有人
[00:01:37.000 --> 00:01:39.000]  使人振奮起來
[00:01:39.000 --> 00:01:44.000]  約翰遜還說他鼓舞了這個國家
[00:01:44.000 --> 00:01:49.000]  甚至是全世界人們希望的一盞燈塔
[00:01:49.000 --> 00:01:52.000]  當時連美國的白宮
[00:01:52.000 --> 00:01:55.000]  也發文稱讚他
[00:01:55.000 --> 00:02:04.000]  說他用生命和行動啟迪了數以百萬計的人
[00:02:04.000 --> 00:02:11.000]  大家知不知道為什麼摩爾得到這麼大的榮譽
[00:02:11.000 --> 00:02:14.000]  一個一百歲退伍的軍人
[00:02:14.000 --> 00:02:17.000]  為什麼他會獲得這麼大的榮譽
[00:02:17.000 --> 00:02:21.000]  是否因為他在打仗二次世界大戰期間
[00:02:21.000 --> 00:02:24.000]  立了很大的功勞呢
[00:02:24.000 --> 00:02:27.000]  答案是這位退役的老兵
[00:02:27.000 --> 00:02:31.000]  在二次世界大戰期間沒有立過什麼大功
[00:02:31.000 --> 00:02:33.000]  不過他最大的功績
[00:02:33.000 --> 00:02:36.000]  是在2020年的時候
[00:02:36.000 --> 00:02:40.000]  當時英國因為疫情而封城
[00:02:40.000 --> 00:02:41.000]  在這段期間
[00:02:41.000 --> 00:02:43.000]  這個百歲的老人
[00:02:43.000 --> 00:02:46.000]  在自己家的花園裡
[00:02:46.000 --> 00:02:50.000]  進行一次步行籌款
[00:02:50.000 --> 00:02:52.000]  他怎樣步行呢
[00:02:52.000 --> 00:02:54.000]  推著輪椅
[00:02:54.000 --> 00:02:56.000]  在家裡的花園裡
[00:02:56.000 --> 00:02:59.000]  走了多少圈呢
[00:02:59.000 --> 00:03:01.000]  走了一百個圈
[00:03:01.000 --> 00:03:05.000]  每一個圈大概二十五米左右
[00:03:05.000 --> 00:03:07.000]  二十五米一圈
[00:03:07.000 --> 00:03:08.000]  走了一百個圈
[00:03:08.000 --> 00:03:10.000]  即是多少米呢
[00:03:10.000 --> 00:03:12.000]  二千五百米
[00:03:12.000 --> 00:03:15.000]  二千五百米是多長呢
[00:03:15.000 --> 00:03:16.000]  多遠呢
[00:03:16.000 --> 00:03:19.000]  就是一個標準的田徑長
[00:03:19.000 --> 00:03:23.000]  內圈走六個圈多些
[00:03:23.000 --> 00:03:25.000]  就是二千五百米
[00:03:25.000 --> 00:03:26.000]  也很厲害
[00:03:26.000 --> 00:03:28.000]  我們年輕人走六個圈
[00:03:28.000 --> 00:03:30.000]  也不是什麼一回事
[00:03:30.000 --> 00:03:32.000]  但是一個一百歲的老人
[00:03:32.000 --> 00:03:33.000]  不要忘記
[00:03:33.000 --> 00:03:36.000]  他推著輪椅這樣走
[00:03:36.000 --> 00:03:38.000]  他的目標
[00:03:38.000 --> 00:03:41.000]  他要為一個慈善機構籌款
[00:03:41.000 --> 00:03:44.000]  他的目標是籌一千英鎊
[00:03:44.000 --> 00:03:47.000]  結果你猜他籌了多少呢
[00:03:47.000 --> 00:03:52.000]  三千九百萬英鎊
[00:03:52.000 --> 00:03:55.000]  三千九百萬英鎊
[00:03:55.000 --> 00:03:59.000]  即是港幣三億七千多
[00:03:59.000 --> 00:04:03.000]  捐款者有一百五十萬人
[00:04:03.000 --> 00:04:04.000]  不單止英國
[00:04:04.000 --> 00:04:07.000]  是來自世界各地的地方
[00:04:07.000 --> 00:04:08.000]  你有沒有想過
[00:04:08.000 --> 00:04:10.000]  你在家裡走一百個圈
[00:04:10.000 --> 00:04:13.000]  可以籌到三億多那麼多呢
[00:04:13.000 --> 00:04:16.000]  一來你沒有一百歲那麼老
[00:04:16.000 --> 00:04:19.000]  二來你有一百歲也好
[00:04:19.000 --> 00:04:21.000]  我們中間也有一些長者
[00:04:21.000 --> 00:04:22.000]  真的接近一百歲
[00:04:22.000 --> 00:04:24.000]  但是未必走得動
[00:04:24.000 --> 00:04:27.000]  即是走二千五百米
[00:04:27.000 --> 00:04:30.000]  所以我們看到這位老人家
[00:04:30.000 --> 00:04:32.000]  真的很有雄心壯志
[00:04:32.000 --> 00:04:34.000]  在舊約聖經裡
[00:04:34.000 --> 00:04:36.000]  也有一個老人家
[00:04:36.000 --> 00:04:37.000]  好像他這樣
[00:04:37.000 --> 00:04:39.000]  而且年紀比他更加
[00:04:39.000 --> 00:04:41.000]  年紀沒有一百歲
[00:04:41.000 --> 00:04:43.000]  但是也很有雄心壯志
[00:04:43.000 --> 00:04:46.000]  這個就是剛才我們所讀的
[00:04:46.000 --> 00:04:48.000]  經文的那位加勒
