
[00:00:00.000 --> 00:00:01.480]  今天講呼召
[00:00:01.480 --> 00:00:05.760]  剛剛帶領師哥的姐妹
[00:00:05.760 --> 00:00:10.080]  說一想起呼召就想起passion
[00:00:10.080 --> 00:00:11.120]  我不知道是否
[00:00:11.120 --> 00:00:13.360]  她去了哪裡
[00:00:13.360 --> 00:00:14.320]  她在後面
[00:00:14.320 --> 00:00:18.120]  是否有偷看過我今天的題目
[00:00:18.120 --> 00:00:21.120]  今天跟大家講的就是
[00:00:21.120 --> 00:00:23.400]  出自一個熱誠的呼召
[00:00:23.400 --> 00:00:24.720]  今天講見證
[00:00:24.720 --> 00:00:27.040]  我不是想講我為什麼得救
[00:00:27.040 --> 00:00:29.560]  我不是講什麼得救見證
[00:00:29.560 --> 00:00:31.720]  我亦都不是來分享蒙照見證
[00:00:31.720 --> 00:00:34.040]  就是為什麼要做一個傳道人
[00:00:34.040 --> 00:00:36.080]  我在講福堂是這樣介紹自己的
[00:00:36.080 --> 00:00:37.840]  他說我是Pastor Jason
[00:00:37.840 --> 00:00:39.000]  我是即清區的牧者
[00:00:39.000 --> 00:00:43.520]  我的負擔是教導和講道
[00:00:43.520 --> 00:00:45.160]  今天我要跟大家分享的是
[00:00:45.160 --> 00:00:46.480]  為什麼
[00:00:46.480 --> 00:00:48.280]  不是為什麼
[00:00:48.280 --> 00:00:52.240]  怎樣教導和講道成為了我的呼召
[00:00:52.240 --> 00:00:55.200]  是出於一份我對教導和講道的熱誠
[00:00:55.200 --> 00:00:56.440]  所以今天我會跟大家講一下
[00:00:56.440 --> 00:00:57.840]  這個熱誠是怎樣來的
[00:00:57.840 --> 00:00:59.240]  就是為什麼這個passion
[00:00:59.240 --> 00:01:01.880]  會由我大概從中學開始
[00:01:01.880 --> 00:01:03.840]  一直到今天都不熟悉
[00:01:03.840 --> 00:01:06.080]  所以如果大家稍後聽我講分享的時候
[00:01:06.080 --> 00:01:08.720]  你見到我越講越興奮
[00:01:08.720 --> 00:01:09.880]  甚至講到想罵人
[00:01:09.880 --> 00:01:10.720]  記得stop我
