
[00:00:00.000 --> 00:00:03.000]  第一次和平安 我要和大家討告
[00:00:03.000 --> 00:00:08.000]  天父感謝你 讓我們今天早上能夠一同來到你的面前
[00:00:08.000 --> 00:00:11.000]  讓我們不單止我們的重讚
[00:00:11.000 --> 00:00:13.000]  我們的感恩 蒙你的月立
[00:00:13.000 --> 00:00:16.000]  也求主賜下你的恩言
[00:00:16.000 --> 00:00:18.000]  按照我們眾人的需要
[00:00:18.000 --> 00:00:21.000]  讓我們有腳前的燈 路上的光
[00:00:21.000 --> 00:00:25.000]  更加讓我們能夠更認識真理 走在你的道中
[00:00:25.000 --> 00:00:30.000]  願我們口裡的言語 心裡的意念都能蒙你月立
[00:00:30.000 --> 00:00:35.000]  求你遂聽我們的禱告 奉耶穌名字祈求
[00:00:35.000 --> 00:00:37.000]  今天主日很有趣
[00:00:37.000 --> 00:00:42.000]  在舊新曆過了25天
[00:00:42.000 --> 00:00:47.000]  農曆新年還沒來之前 我們有過這樣的主日
[00:00:47.000 --> 00:00:52.000]  我們到神面前都是一個敬拜 一個讚美 一個感恩
[00:00:52.000 --> 00:00:58.000]  不知道你在今天這個主日裡 你的心情會如何
[00:00:58.000 --> 00:01:04.000]  如果看過去 有些很耀眼的東西給你看到了
[00:01:04.000 --> 00:01:09.000]  25天之前 人們在唱友誼萬歲
[00:01:09.000 --> 00:01:12.000]  開香檳 大家在慶祝
[00:01:12.000 --> 00:01:15.000]  接著說一句話 Happy New Year
[00:01:15.000 --> 00:01:20.000]  5天之後 我想那些舉行派對的地方
[00:01:20.000 --> 00:01:24.000]  有些不幸的火災
[00:01:24.000 --> 00:01:28.000]  那些火災發生的時候
[00:01:28.000 --> 00:01:31.000]  如果以香港目前我們來講 火速而已
[00:01:31.000 --> 00:01:34.000]  看多少級 是不是
[00:01:34.000 --> 00:01:41.000]  就算三級 四級 都是最多幾天 一個星期 是不是
[00:01:41.000 --> 00:01:46.000]  現在過了兩個星期了
[00:01:46.000 --> 00:01:52.000]  還未曾可以停息 如果還在蔓延 都很麻煩
[00:01:52.000 --> 00:01:56.000]  我曾經跟一個朋友聊天 舊同學聊天
[00:01:56.000 --> 00:01:58.000]  我說這場火怎麼辦
[00:01:58.000 --> 00:02:00.000]  他說挺難搞的
[00:02:00.000 --> 00:02:06.000]  科技搞不到的嗎
[00:02:06.000 --> 00:02:10.000]  半年乾旱 東西都乾了
[00:02:10.000 --> 00:02:13.000]  星星之火可以燎原的
[00:02:13.000 --> 00:02:16.000]  現在看回 不是可以燎原整個鎮
[00:02:16.000 --> 00:02:22.000]  燒了屋 不是一間 兩間 不是一百間 一千間 過萬間
[00:02:22.000 --> 00:02:27.000]  那些火來的時候沒有分到貧富 是不是
[00:02:27.000 --> 00:02:29.000]  就這樣沒有了
[00:02:29.000 --> 00:02:33.000]  你說叫我們看到那一幕到今時今日
[00:02:33.000 --> 00:02:36.000]  如果你在那個地方
[00:02:36.000 --> 00:02:40.000]  我又很相信那個區裡面一定有基督徒在那裡
[00:02:40.000 --> 00:02:42.000]  一定有的
[00:02:42.000 --> 00:02:47.000]  或者叫基督徒吧
[00:02:47.000 --> 00:02:51.000]  他們還沒發生這些事情之前 那個除夕
[00:02:51.000 --> 00:02:53.000]  是互相道賀祝賀
[00:02:53.000 --> 00:02:57.000]  今天我們面對的這個農曆新年
[00:02:57.000 --> 00:03:01.000]  你怎麼看
[00:03:01.000 --> 00:03:03.000]  你怎麼看
[00:03:03.000 --> 00:03:05.000]  在這樣的處境裡面 你們敬拜神
[00:03:05.000 --> 00:03:07.000]  有沒有心裡很矛盾
[00:03:07.000 --> 00:03:10.000]  不知道前路要怎麼走
[00:03:10.000 --> 00:03:12.000]  更加不知道
[00:03:12.000 --> 00:03:17.000]  到底上帝給人的是福還是咒助
[00:03:17.000 --> 00:03:19.000]  不要將所有東西都拱咒了
[00:03:19.000 --> 00:03:22.000]  因為今天一會讀的聖經裡面你會發覺
[00:03:22.000 --> 00:03:24.000]  我讀來讀去讀得很不通後路
[00:03:24.000 --> 00:03:26.000]  我真的再看的時候發覺
[00:03:26.000 --> 00:03:28.000]  原來是真的
[00:03:28.000 --> 00:03:31.000]  我早上講完腦之後有個姐妹跟我聊
[00:03:31.000 --> 00:03:33.000]  她在讀神學的
[00:03:33.000 --> 00:03:34.000]  她說 是啊
[00:03:34.000 --> 00:03:37.000]  上帝的應許 上帝的約裡面
[00:03:37.000 --> 00:03:42.000]  一早已經講了 不是只有得福
[00:03:42.000 --> 00:03:45.000]  你遵行是得福
[00:03:45.000 --> 00:03:47.000]  你守約是得福
