
[00:00:00.000 --> 00:00:04.600]  "衆裏尋他千百度"
[00:00:04.600 --> 00:00:06.160]  我們大家都很熟了
[00:00:06.160 --> 00:00:12.960]  "默然回首,那人卻在燈火闌珊處"
[00:00:12.960 --> 00:00:18.360]  戀愛中你會發現 人都是非常熱切的
[00:00:18.360 --> 00:00:22.200]  我記得我那時候 給我太太戀愛的時候
[00:00:22.200 --> 00:00:26.920]  因爲是兩地 她當時在兩個城市
[00:00:26.920 --> 00:00:30.960]  並且我們認識之後呢 不能經常見面
[00:00:30.960 --> 00:00:32.760]  每天就約個時間
[00:00:32.760 --> 00:00:35.560]  那時已經有QQ視頻了
[00:00:35.560 --> 00:00:37.360]  就約個時間
[00:00:37.360 --> 00:00:38.840]  我每次呢
[00:00:38.840 --> 00:00:40.840]  你會發現我每次呢
[00:00:40.840 --> 00:00:43.640]  就盼着那個點兒啊 趕緊到
[00:00:43.640 --> 00:00:46.120]  有時候上課就沒有心思聽講了
[00:00:46.120 --> 00:00:48.840]  我就趕緊 趕緊到那個時間呀
[00:00:48.840 --> 00:00:50.280]  趕緊到那個時間
[00:00:50.280 --> 00:00:52.960]  然後那個只要鈴聲一響
[00:00:52.960 --> 00:00:54.840]  我東西馬上揣了
[00:00:54.840 --> 00:00:57.360]  揣了之後直奔網吧
[00:00:57.360 --> 00:01:00.200]  然後就開始和她去熱聊
[00:01:00.200 --> 00:01:03.200]  你會發現 在愛情當中的時候
[00:01:03.200 --> 00:01:08.600]  愛會給我們一種吹逼
[00:01:08.600 --> 00:01:10.480]  愛的一種吹逼
[00:01:10.480 --> 00:01:14.200]  吹逼着我們急切的去
[00:01:14.200 --> 00:01:20.400]  見到我們心所愛的那位
[00:01:20.400 --> 00:01:23.560]  今天很多很發達了 是不是
[00:01:23.560 --> 00:01:26.920]  你會發現當我們真正處在戀愛的時候
[00:01:26.920 --> 00:01:29.440]  你會發現
[00:01:29.440 --> 00:01:31.080]  我和我太太那時候
[00:01:31.080 --> 00:01:32.960]  已經有QQ視頻了
[00:01:32.960 --> 00:01:36.120]  但是我每次和她視頻的時候
[00:01:36.120 --> 00:01:43.200]  我覺得還是想面對面的見到她會比較好
[00:01:43.200 --> 00:01:44.600]  我總是期待着
[00:01:44.600 --> 00:01:49.320]  雖然每次隔一兩天我們都會在QQ視頻上談話
[00:01:49.320 --> 00:01:54.120]  但是我會總覺得期盼着什麼時候來到呢
[00:01:54.120 --> 00:01:57.080]  假期趕緊來到
[00:01:57.080 --> 00:02:00.240]  假期一來到的話我就有充足的時間
[00:02:00.240 --> 00:02:02.320]  然後幹什麼呀
[00:02:02.320 --> 00:02:03.680]  買上火車票
[00:02:03.680 --> 00:02:06.160]  奔去她的城市去見她了
[00:02:06.160 --> 00:02:08.320]  然後面對面的見她
[00:02:08.320 --> 00:02:12.360]  我真的很渴望假期趕緊來到
[00:02:12.360 --> 00:02:15.240]  或者說我可以湊個時間
[00:02:15.240 --> 00:02:17.840]  小的週末 長遠的週末
[00:02:17.840 --> 00:02:20.520]  我可以坐火車過去 去見她
[00:02:20.520 --> 00:02:23.120]  總之我的心呢 覺得
[00:02:23.120 --> 00:02:26.200]  只有QQ視頻聊天還不夠
[00:02:26.200 --> 00:02:32.520]  我真的很渴望見到她本人
[00:02:32.520 --> 00:02:33.720]  當我見到她的時候
[00:02:33.720 --> 00:02:36.040]  啊 我好高興吶
[00:02:36.040 --> 00:02:37.880]  我真的很開心吶
[00:02:37.880 --> 00:02:39.840]  我所有的表達
[00:02:39.840 --> 00:02:41.880]  因爲那時候年輕
[00:02:41.880 --> 00:02:43.480]  又沒有別人指導
[00:02:43.480 --> 00:02:45.120]  我所有的表達就是
[00:02:45.120 --> 00:02:47.160]  哎 你想喫什麼
[00:02:47.160 --> 00:02:48.440]  哎 我們到哪裏玩
[00:02:48.440 --> 00:02:49.160]  你想幹什麼
[00:02:49.160 --> 00:02:50.320]  所有都圍繞着她
[00:02:50.320 --> 00:02:52.200]  她想怎麼樣 她想怎麼樣
[00:02:52.200 --> 00:02:53.440]  當我見到她的時候
[00:02:53.440 --> 00:02:57.880]  那種喜樂和甘甜從內心散發出來
[00:02:57.880 --> 00:03:02.840]  我願意把她所想要的都儘量滿足她
