
[00:00:00.000 --> 00:00:02.560]  上個星期是父親節
[00:00:02.560 --> 00:00:08.740]  陳長老也提到父親節
[00:00:08.740 --> 00:00:11.020]  在講道當中也提到父親
[00:00:11.020 --> 00:00:12.800]  那我心裡在想
[00:00:12.800 --> 00:00:16.400]  請問一下你當父親的時候
[00:00:16.400 --> 00:00:20.220]  有去修課 或者是拿一個執照
[00:00:20.220 --> 00:00:23.120]  來當父親的舉手一下
[00:00:23.120 --> 00:00:26.360]  有沒有上過一個學期的課
[00:00:26.360 --> 00:00:28.420]  好像都沒有對不對
[00:00:28.680 --> 00:00:30.720]  我記得我在洛杉磯的時候
[00:00:30.720 --> 00:00:33.800]  有一個姪妹
[00:00:33.800 --> 00:00:37.120]  她要學習理頭髮 拿執照
[00:00:37.120 --> 00:00:40.960]  要2000個小時的實習
[00:00:40.960 --> 00:00:44.040]  才能夠去考試
[00:00:44.040 --> 00:00:46.860]  才能夠拿到理頭髮的執照
[00:00:46.860 --> 00:00:49.420]  那我們這些弟兄們
[00:00:49.420 --> 00:00:55.040]  有沒有去上過100個小時的課
[00:00:55.300 --> 00:00:59.900]  然後才拿到父親的執照 都沒有 那就做了父親了
[00:00:59.900 --> 00:01:05.800]  多談幾次做父親的這些聖經的原則
[00:01:05.800 --> 00:01:07.320]  會很有幫助
[00:01:07.320 --> 00:01:11.160]  今天的信息也不只是給父親
[00:01:11.160 --> 00:01:13.480]  相同的做媽媽的
[00:01:13.480 --> 00:01:19.880]  也是一個可以從聖經裡面得到很多的幫助跟教導
[00:01:19.880 --> 00:01:23.200]  我的父親
[00:01:23.200 --> 00:01:25.240]  我對他很有印象
[00:01:25.760 --> 00:01:27.040]  他很喜歡釣魚
[00:01:27.040 --> 00:01:29.360]  常常帶我去釣魚
[00:01:29.360 --> 00:01:31.140]  所以有一次
[00:01:31.140 --> 00:01:35.240]  我是住在發電廠 你知道發電廠需要海水
[00:01:35.240 --> 00:01:41.640]  所以在海水的進水口的地方都很深 大概有樓房的深
[00:01:41.640 --> 00:01:43.680]  我們就在那邊釣魚
[00:01:43.680 --> 00:01:45.740]  那天釣不到什麼魚
[00:01:45.740 --> 00:01:48.300]  所以我就在那邊跑來跑去
[00:01:48.300 --> 00:01:49.580]  我那個時候大概
[00:01:49.580 --> 00:01:52.640]  可能一年級吧 小學一年級就跑來跑去
[00:01:52.640 --> 00:01:54.680]  忽然之間就掉下去了
[00:01:55.460 --> 00:01:58.320]  那你知道那個發電廠那個在抽水嘛 對不對
[00:01:58.320 --> 00:02:01.100]  他抽水要抽進去 而且又很深 我知道
[00:02:01.100 --> 00:02:03.400]  哇 很深 我就趕快
[00:02:03.400 --> 00:02:06.200]  救命啊救命啊救命啊
[00:02:06.200 --> 00:02:07.760]  我心裡在想
