
[00:00:00.000 --> 00:00:01.140]  好,我們開始的時候
[00:00:01.140 --> 00:00:02.260]  我們先低頭禱告
[00:00:02.260 --> 00:00:05.220]  天命請求祢親自用祢的話語
[00:00:05.220 --> 00:00:06.980]  成為我們生命的幫助和激勵
[00:00:06.980 --> 00:00:09.100]  我們真的以史為鑒
[00:00:09.100 --> 00:00:12.300]  讓歷史成為我們一些反省
[00:00:12.300 --> 00:00:14.780]  懇求祢使用下次今天所說的訊息
[00:00:14.780 --> 00:00:16.500]  受眾弟兄姊妹的幫助
[00:00:16.500 --> 00:00:18.240]  祈禱拉奉主德聖的名
[00:00:18.240 --> 00:00:19.040]  阿們
[00:00:19.040 --> 00:00:22.580]  我們一直都在看大衛
[00:00:22.580 --> 00:00:25.720]  但其實應該不會多過三次
[00:00:25.720 --> 00:00:29.440]  我們就會完成整個識讀大衛的系列了
[00:00:30.120 --> 00:00:32.720]  完成之後我會繼續講舊約
[00:00:32.720 --> 00:00:35.340]  我就會講舊約裡面的禱告
[00:00:35.340 --> 00:00:39.760]  我們上次看到阿沙隆背叛自己的父親
[00:00:39.760 --> 00:00:41.840]  他謀朝篡位
[00:00:41.840 --> 00:00:45.900]  大衛知道阿沙隆已經得勢的時候
[00:00:45.900 --> 00:00:47.700]  他落荒而逃
[00:00:47.700 --> 00:00:51.740]  他留下了十個妃嬪看守自己的王宮
[00:00:51.740 --> 00:00:54.780]  然後帶著部屬離開
[00:00:54.780 --> 00:00:57.980]  但是在逃亡的過程當中
[00:00:58.540 --> 00:01:00.140]  他深深經歷了
[00:01:00.140 --> 00:01:02.640]  人情冷暖
[00:01:02.640 --> 00:01:04.080]  勢態炎涼
[00:01:04.080 --> 00:01:06.800]  出乎意料之外
[00:01:06.800 --> 00:01:08.700]  一些外邦人
[00:01:08.700 --> 00:01:10.840]  這些僱傭兵
[00:01:10.840 --> 00:01:14.660]  竟然是忠心耿耿地跟隨他
[00:01:14.660 --> 00:01:16.500]  對他們來說
[00:01:16.500 --> 00:01:18.240]  已經沒有什麼利益
[00:01:18.240 --> 00:01:20.740]  但他們仍然跟隨大衛
[00:01:20.740 --> 00:01:23.700]  但也有人渾水摸魚
[00:01:23.700 --> 00:01:28.300]  在大衛最徬徨的時候欺騙大衛
[00:01:28.780 --> 00:01:30.340]  終於取得了他的利益
[00:01:30.340 --> 00:01:32.660]  大衛深受感動
[00:01:32.660 --> 00:01:34.180]  這是表面的關心
[00:01:34.180 --> 00:01:38.740]  於是大衛就來運用他的權力
[00:01:38.740 --> 00:01:42.700]  把約拿丹兒子的財富
[00:01:42.700 --> 00:01:45.180]  分了給他的僕人
[00:01:45.180 --> 00:01:48.020]  最後我們更加看到
[00:01:48.020 --> 00:01:52.140]  大衛逃亡的時候被一些不喜歡他的人
[00:01:52.140 --> 00:01:54.940]  帶去侮辱他
[00:01:54.940 --> 00:01:56.380]  扔石頭
[00:01:56.380 --> 00:01:57.660]  咒罵他
[00:01:58.660 --> 00:01:59.620]  所以
[00:01:59.620 --> 00:02:02.300]  原來當我們每一個人
[00:02:02.300 --> 00:02:06.100]  面對困難、痛苦或失敗的時候
[00:02:06.100 --> 00:02:08.940]  你會看到哪些是你的真正朋友
[00:02:08.940 --> 00:02:11.340]  哪些原來是你的敵人
[00:02:11.340 --> 00:02:15.780]  大家可以上網聽上次我所說的道
[00:02:15.780 --> 00:02:17.340]  就是「勢態炎涼」
[00:02:17.340 --> 00:02:20.420]  而大衛
[00:02:20.420 --> 00:02:21.740]  雖然有些人跟隨他
[00:02:21.740 --> 00:02:23.420]  但大衛說你不要跟隨我了
[00:02:23.420 --> 00:02:26.740]  你回去跟鴨沙龍
[00:02:26.740 --> 00:02:28.260]  但其實跟我做內應
[00:02:29.140 --> 00:02:31.300]  結果這個策略
[00:02:31.300 --> 00:02:32.540]  是成功的
[00:02:32.540 --> 00:02:36.020]  大衛終於能夠敗部復活
[00:02:36.020 --> 00:02:38.180]  能夠重掌王權
