
[00:00:00.000 --> 00:00:01.880]  今天講到講甚麼呢?
[00:00:01.880 --> 00:00:05.320]  過去四次我講了《以斯帖》
[00:00:05.320 --> 00:00:08.320]  因為《以斯帖》我說是一本很特別的書卷
[00:00:08.320 --> 00:00:10.560]  是沒有出現過一個很重要的字
[00:00:10.560 --> 00:00:12.320]  就是「神」這個字
[00:00:12.320 --> 00:00:13.480]  亦都沒有出現過
[00:00:13.480 --> 00:00:18.040]  很嚴格來說沒有出現過任何宗教行動的一本書
[00:00:18.040 --> 00:00:19.840]  有講禁食
[00:00:19.840 --> 00:00:21.120]  但又沒有講祈禱
[00:00:21.120 --> 00:00:23.280]  都是有一個很大的爭論
[00:00:23.280 --> 00:00:24.640]  但一本這樣的書
[00:00:24.640 --> 00:00:25.840]  我強調就是
[00:00:25.840 --> 00:00:27.840]  其實是有一個無形之手
[00:00:27.840 --> 00:00:29.040]  是一個無形之手
[00:00:29.040 --> 00:00:30.560]  是帶著末底改
[00:00:30.560 --> 00:00:31.840]  帶著《以斯帖》
[00:00:31.840 --> 00:00:33.040]  在適當時間
[00:00:33.040 --> 00:00:34.240]  他講適當的話
[00:00:34.240 --> 00:00:37.520]  是帶來了整個民族的拯救
[00:00:37.520 --> 00:00:39.360]  講完之後我就開始去祈禱
[00:00:39.360 --> 00:00:41.120]  究竟接下來一段日子
[00:00:41.120 --> 00:00:42.320]  我自己會講甚麼
[00:00:42.320 --> 00:00:44.680]  我很想配合其他的童宮
[00:00:44.680 --> 00:00:47.000]  是講教會的一個方向
[00:00:47.000 --> 00:00:49.000]  我們說要看得見的愛
[00:00:49.000 --> 00:00:51.760]  我們很希望我們能夠在服事的裏邊
[00:00:51.760 --> 00:00:53.960]  我們的生命的見證
[00:00:53.960 --> 00:00:55.600]  能夠彼此的相愛
[00:00:55.600 --> 00:00:57.120]  因為這個是耶穌講的
[00:00:57.120 --> 00:00:58.040]  是對的
[00:00:58.040 --> 00:00:59.160]  於是我就開始去想
[00:00:59.160 --> 00:01:00.760]  怎樣可以在配合當中
[00:01:00.760 --> 00:01:01.760]  他們真的很好
[00:01:01.760 --> 00:01:02.960]  就算我不配合
[00:01:02.960 --> 00:01:04.160]  也不是一個很大的問題
[00:01:04.160 --> 00:01:04.880]  不過我就想
[00:01:04.880 --> 00:01:06.480]  如果能夠配合他們
[00:01:06.480 --> 00:01:09.200]  鼓勵到我們一班新的童宮講道的時候
[00:01:09.200 --> 00:01:10.680]  都是一件美的事
[00:01:10.680 --> 00:01:11.720]  於是我就開始去想
