
[00:00:00.000 --> 00:00:03.320]  弟兄姊妹,我們今天一齊來看
[00:00:03.320 --> 00:00:05.360]  《肥利門書》第一章
[00:00:05.360 --> 00:00:08.840]  也只是第一章,一節至二十五節
[00:00:08.840 --> 00:00:12.680]  我們定它的主題是愛心的表現
[00:00:12.680 --> 00:00:17.800]  昨天我剛好參加了一個網上的差遣祈禱會
[00:00:17.800 --> 00:00:21.960]  我認識了一個在緬甸短宣時認識的醫生
[00:00:21.960 --> 00:00:25.800]  他即將在下個月要去南亞一個地方
[00:00:25.800 --> 00:00:31.080]  那個地方他在醫院做醫療宣教
[00:00:31.080 --> 00:00:36.800]  有人問「你這麼弱質纖纖,去到那裡行不行?安不安全?」
[00:00:36.800 --> 00:00:38.800]  其實真的不太安全
[00:00:38.800 --> 00:00:42.320]  他說他曾經去過短宣,在那個地方六個星期
[00:00:42.320 --> 00:00:44.800]  他只是去過街兩三次
[00:00:44.800 --> 00:00:49.800]  而每次一定要有男士同行,他們才可以出去
[00:00:49.800 --> 00:00:55.800]  我們就想到這個姊妹千里迢迢去到這個地方
[00:00:55.800 --> 00:00:58.600]  放下了她本來的工作
[00:00:58.600 --> 00:01:01.080]  在醫院裏面一個醫生的工作
[00:01:01.080 --> 00:01:04.080]  她為了要去服侍當地的居民
[00:01:04.080 --> 00:01:08.080]  這個就是一種愛心的服侍、愛心的表現
[00:01:08.080 --> 00:01:09.800]  為甚麼她會這樣做呢?
[00:01:09.800 --> 00:01:13.280]  就是因為福音改變人生命的力量
[00:01:13.280 --> 00:01:16.280]  來造就了這些愛心的服侍
[00:01:16.280 --> 00:01:19.280]  今天我們看《肥利門書》
[00:01:19.280 --> 00:01:21.280]  裏面有一句經文
[00:01:21.280 --> 00:01:25.280]  希望大家在25節裏面看不完、記不完
[00:01:25.280 --> 00:01:29.280]  這一節經文應該就會成為我們今天很重點的一個內容
[00:01:29.280 --> 00:01:35.280]  「不再是勞僕,而是高過勞僕,是親愛的兄弟」
[00:01:35.280 --> 00:01:39.280]  是說甚麼呢?簡單介紹這本書
[00:01:39.280 --> 00:01:42.280]  《肥利門書》是保羅寫的
[00:01:42.280 --> 00:01:47.280]  這本書裏面主要有三個重要的人物,都是三個男士
[00:01:47.280 --> 00:01:50.280]  第一個是保羅,第二個是肥利門
[00:01:50.280 --> 00:01:56.280]  第三個就是亞利西姆,或者亞利西謀的勞僕
[00:01:56.280 --> 00:02:01.280]  大概這些經文是發生在小亞細亞的地區
[00:02:01.280 --> 00:02:05.280]  肥利門是在哥羅西裏面生活的
[00:02:05.280 --> 00:02:07.280]  他在裏面其中一間教會
[00:02:07.280 --> 00:02:10.280]  他開放他家裏聚集,是教會
[00:02:10.280 --> 00:02:15.280]  當時的保羅是在羅馬坐牢
[00:02:15.280 --> 00:02:17.280]  所以這個距離很遙遠
[00:02:17.280 --> 00:02:20.280]  而這個距離也讓我們知道
[00:02:20.280 --> 00:02:24.280]  我們去猜測這本書的背景是有幫助的
[00:02:24.280 --> 00:02:27.280]  保羅是甚麼身份呢?
[00:02:27.280 --> 00:02:31.280]  大概在公元60至62年他寫這本書的時候
[00:02:31.280 --> 00:02:36.280]  他坐牢,因為他向外幫人傳福音
[00:02:36.280 --> 00:02:38.280]  引起了人的憤怒
[00:02:38.280 --> 00:02:45.280]  拉了他去坐牢,估計他應該是在羅馬坐牢
[00:02:45.280 --> 00:02:48.280]  不過當時他坐牢是比較自由的
[00:02:48.280 --> 00:02:50.280]  好像軟禁在家裏
[00:02:50.280 --> 00:02:53.280]  如果我們看過《肥臘比孫》就知道
[00:02:53.280 --> 00:02:56.280]  他可以接待人,有人來探訪他
[00:02:56.280 --> 00:02:59.280]  甚至可以跟人傳福音
[00:02:59.280 --> 00:03:03.280]  他當時是教會的領袖,是基督教的領袖
[00:03:03.280 --> 00:03:05.280]  也是宣教裏面的領袖
[00:03:05.280 --> 00:03:07.280]  我們認識下第二個人物,肥利門
[00:03:07.280 --> 00:03:09.280]  就是這本書的主人翁
[00:03:09.280 --> 00:03:13.280]  他是這本書主要收信的角色
[00:03:13.280 --> 00:03:15.280]  他是一個應該是有錢人家
[00:03:15.280 --> 00:03:18.280]  因為他有奴隸,他有奴隸
[00:03:18.280 --> 00:03:20.280]  而且甚至可以開放他的房子
[00:03:20.280 --> 00:03:23.280]  來做教會聚集之用
[00:03:23.280 --> 00:03:26.280]  所以有理由相信他應該挺有錢的
[00:03:26.280 --> 00:03:29.280]  他其中的一個奴隸,或者我們叫他奴隸
[00:03:29.280 --> 00:03:31.280]  就是阿利西謀
[00:03:31.280 --> 00:03:34.280]  就是這本書裏面第三個人物
[00:03:34.280 --> 00:03:37.280]  他有什麼特質呢?他是肥利門的一個奴僕
[00:03:37.280 --> 00:03:40.280]  其實說回來他是一個奴隸
[00:03:40.280 --> 00:03:44.280]  當時羅馬帝國裏面是有奴隸制度
[00:03:44.280 --> 00:03:46.280]  他就是這種身份
[00:03:46.280 --> 00:03:49.280]  他曾經在羅馬服侍過保羅
[00:03:49.280 --> 00:03:53.280]  在保羅帶領他,或者保羅的同工
