
[00:00:00.000 --> 00:00:02.640]  講起父親節
[00:00:02.640 --> 00:00:06.720]  開心還是不開心呢?
[00:00:06.720 --> 00:00:13.560]  你猜父親節帶來給普遍香港人的一種感覺是什麼呢?
[00:00:13.560 --> 00:00:17.520]  母親節和父親節都是很特別的日子
[00:00:17.520 --> 00:00:21.120]  譬如學校的老師
[00:00:21.120 --> 00:00:23.080]  我聽聞很多學校
[00:00:23.080 --> 00:00:26.240]  很多同學是單親的
[00:00:26.640 --> 00:00:32.280]  我想問有沒有超過30%是單親的
[00:00:32.280 --> 00:00:36.320]  如果你的老師在座有幾位
[00:00:36.320 --> 00:00:40.040]  超過三成你的同學是單親的
[00:00:40.040 --> 00:00:41.640]  請你拍拍手
[00:00:41.640 --> 00:00:43.000]  有沒有?
[00:00:43.000 --> 00:00:44.920]  低於三成是嗎?
[00:00:44.920 --> 00:00:46.920]  其實不知道是吧?
[00:00:46.920 --> 00:00:49.880]  應該知道的
[00:00:49.880 --> 00:00:52.480]  我曾經去過一些學校
[00:00:52.480 --> 00:00:53.680]  那位老師跟我說
[00:00:53.920 --> 00:00:56.840]  他們有很多同學是單親的
[00:00:56.840 --> 00:00:59.360]  所以到了父親節和母親節
[00:00:59.360 --> 00:01:02.400]  有時候想搞一些節目或表演
[00:01:02.400 --> 00:01:04.080]  突然間
[00:01:04.080 --> 00:01:05.520]  譬如幼稚園也好
[00:01:05.520 --> 00:01:07.240]  小學也好
[00:01:07.240 --> 00:01:11.880]  就說我們今天學一首歌唱給媽媽聽
[00:01:11.880 --> 00:01:14.240]  這首歌叫《世上只有》
[00:01:14.240 --> 00:01:16.160]  聽過《世上只有》了嗎?
[00:01:16.160 --> 00:01:17.960]  是誰唱的?
[00:01:17.960 --> 00:01:22.120]  不是容祖兒嗎?
[00:01:22.480 --> 00:01:24.040]  是蕭芳芳
[00:01:24.040 --> 00:01:27.880]  世上只有媽媽好
[00:01:27.880 --> 00:01:29.880]  那首歌也叫《世上只有》
