
[00:00:00.000 --> 00:00:06.000]  此錄音或錄影的版權 是屬基督教宣導會不割堂所有
[00:00:06.000 --> 00:00:10.000]  我們的屬靈傳統之一 是以真理教導為本
[00:00:10.000 --> 00:00:14.000]  歡迎你將此錄音或錄影的連結傳給親友
[00:00:14.000 --> 00:00:17.000]  懇請注意未經授權 請勿轉錄
[00:00:17.000 --> 00:00:20.000]  或剪輯本錄音或錄影
[00:00:20.000 --> 00:00:24.000]  10月好像《使徒行傳》20章32節中所說
[00:00:24.000 --> 00:00:33.000]  這道能建立你們 叫你們和一切成聖的人同得基業
[00:00:54.000 --> 00:01:00.000]  我們在信仰培育上 繼續努力
[00:01:00.000 --> 00:01:05.000]  我先放一個Power Point
[00:01:05.000 --> 00:01:10.000]  信陪主日 我的理解牽涉兩樣東西
[00:01:10.000 --> 00:01:12.000]  基督徒要信仰培育
[00:01:12.000 --> 00:01:17.000]  更具體一點 每一個信徒都要接受信徒的培訓
[00:01:17.000 --> 00:01:24.000]  這是基本上信了耶穌的人 信了之後
[00:01:24.000 --> 00:01:27.000]  屬靈生命成長必經的過程
[00:01:27.000 --> 00:01:29.000]  在信仰培育的範疇之中
[00:01:29.000 --> 00:01:33.000]  有其他的前輩 其他的主學老師
[00:01:33.000 --> 00:01:36.000]  其他的傳道同綱 或者領袖
[00:01:36.000 --> 00:01:39.000]  在這方面彼此去教導提醒
[00:01:39.000 --> 00:01:40.000]  我想是重要的
[00:01:40.000 --> 00:01:41.000]  今天我們聽了經文
[00:01:41.000 --> 00:01:44.000]  其實摩西和當中有些明智的領袖
[00:01:44.000 --> 00:01:49.000]  一會兒我們會看 都是去幫助以色列民
[00:01:49.000 --> 00:01:52.000]  可以進行和諧的吩咐
[00:01:52.000 --> 00:01:56.000]  等同於剛才斯班領唱那首歌
[00:01:56.000 --> 00:02:01.000]  上主的腳步是幫助我們更明確
[00:02:01.000 --> 00:02:03.000]  去知道我們的步伐
[00:02:03.000 --> 00:02:08.000]  所以提醒我們要在信仰上紮根
[00:02:08.000 --> 00:02:10.000]  我想是非常重要
[00:02:10.000 --> 00:02:12.000]  不單止是建立個人的屬靈生命
[00:02:12.000 --> 00:02:14.000]  也在教會的群體裡
[00:02:14.000 --> 00:02:17.000]  整個上帝的子民群體裡
[00:02:17.000 --> 00:02:20.000]  我們是需要這樣去造就的
[00:02:20.000 --> 00:02:22.000]  《出埃及記》大家不陌生
[00:02:22.000 --> 00:02:26.000]  剛才聽的經文 我想我們不陌生
[00:02:26.000 --> 00:02:28.000]  簡單來說
[00:02:28.000 --> 00:02:31.000]  《出埃及記》是記載著以色列民
[00:02:31.000 --> 00:02:36.000]  得著上帝拯救他們脫離埃及人的合制之後
[00:02:36.000 --> 00:02:40.000]  跟上帝立約和成長的旅程
[00:02:40.000 --> 00:02:41.000]  是一個旅程
[00:02:41.000 --> 00:02:45.000]  所以我們用一季去看一些重點經文
[00:02:45.000 --> 00:02:46.000]  是重要的
[00:02:46.000 --> 00:02:48.000]  當然 聽完之後
[00:02:48.000 --> 00:02:51.000]  我們怎樣可以在生命之中走出來呢
[00:02:51.000 --> 00:02:52.000]  這個就很重要
[00:02:52.000 --> 00:02:55.000]  我們要鼓勵你們
[00:02:55.000 --> 00:02:57.000]  也要你們心悲因感
[00:02:57.000 --> 00:03:01.000]  不單止 特別三月份也有不同的主要學課程
[00:03:01.000 --> 00:03:02.000]  鼓勵大家報讀
[00:03:02.000 --> 00:03:05.000]  坊間還有很多
[00:03:05.000 --> 00:03:08.000]  所以在這個旅程上
[00:03:08.000 --> 00:03:13.000]  可能以色列民的經歷是值得我們去學習的
[00:03:13.000 --> 00:03:15.000]  特別在十九到廿四章
[00:03:15.000 --> 00:03:17.000]  今天我們聽的兩段經文
[00:03:17.000 --> 00:03:20.000]  本身就是首尾呼應
[00:03:20.000 --> 00:03:23.000]  特別當中說到盟約這個字
[00:03:23.000 --> 00:03:24.000]  希伯來文是Bereit
[00:03:24.000 --> 00:03:26.000]  盟約這個字是首尾呼應的
[00:03:26.000 --> 00:03:28.000]  總共出現了三次
[00:03:28.000 --> 00:03:32.000]  也是把這段經文所謂一個很重要的段落
[00:03:32.000 --> 00:03:36.000]  今天是二月初一
[00:03:36.000 --> 00:03:38.000]  雖然過了農曆年
[00:03:38.000 --> 00:03:41.000]  但是上一次我在其他課堂讀的時候
[00:03:41.000 --> 00:03:42.000]  就是新蒸頭
[00:03:42.000 --> 00:03:44.000]  所以我也要和大家拜個年
[00:03:44.000 --> 00:03:46.000]  雖然遲了
[00:03:46.000 --> 00:03:48.000]  但是整開這些對聯
[00:03:48.000 --> 00:03:49.000]  整開有舖癮
[00:03:49.000 --> 00:03:50.000]  所以都覺得不要浪費
[00:03:50.000 --> 00:03:53.000]  特別初一及記十九和廿四章
[00:03:53.000 --> 00:03:56.000]  我正正就是覺得這副對聯是可以送給大家
[00:03:56.000 --> 00:03:58.000]  人神立若於世內
[00:03:58.000 --> 00:04:01.000]  進行奮悔用心在
[00:04:01.000 --> 00:04:04.000]  我們是需要聽了上帝的說話
[00:04:04.000 --> 00:04:06.000]  他的吩咐之後
[00:04:06.000 --> 00:04:09.000]  認識他的腳步怎麼走的時候
[00:04:09.000 --> 00:04:12.000]  是幫我們用心去承載
[00:04:12.000 --> 00:04:16.000]  繼而我們都調教我們的人生步伐
[00:04:16.000 --> 00:04:18.000]  今年是二零二四年
[00:04:18.000 --> 00:04:21.000]  我不知道你們年初的時候有沒有立志呢
[00:04:21.000 --> 00:04:23.000]  有些入頭
[00:04:23.000 --> 00:04:26.000]  有些就不方便搖定合合了
[00:04:26.000 --> 00:04:29.000]  但通常香港人中國人都是這樣的
[00:04:29.000 --> 00:04:30.000]  不是全世界都是這樣的
[00:04:30.000 --> 00:04:35.000]  年初立志沒什麼人檢查
[00:04:35.000 --> 00:04:37.000]  年中都不太記得
[00:04:37.000 --> 00:04:39.000]  去到下半年新一年又來了
[00:04:39.000 --> 00:04:41.000]  到時再算吧
[00:04:41.000 --> 00:04:43.000]  出埃及記剛才說過
[00:04:43.000 --> 00:04:46.000]  是人生旅途上神的指紋
[00:04:46.000 --> 00:04:49.000]  要接受裝備的過程
[00:04:49.000 --> 00:04:51.000]  他們不是沒有難處的
[00:04:51.000 --> 00:04:53.000]  他們有沒有埋怨
[00:04:53.000 --> 00:04:56.000]  你們上次聽第十七章
[00:04:56.000 --> 00:04:59.000]  都已經不同的埋怨出現了
[00:04:59.000 --> 00:05:01.000]  接下來還有沒有
[00:05:01.000 --> 00:05:04.000]  多的事
[00:05:04.000 --> 00:05:08.000]  他們的處境有軟弱有迷惘
[00:05:08.000 --> 00:05:09.000]  環境一點都不容易
[00:05:09.000 --> 00:05:11.000]  特別是在曠野
[00:05:11.000 --> 00:05:13.000]  我們面對的處境難不難
[00:05:13.000 --> 00:05:15.000]  都可能難的
[00:05:15.000 --> 00:05:17.000]  你和我有沒有軟弱
[00:05:17.000 --> 00:05:19.000]  不在話下
[00:05:19.000 --> 00:05:21.000]  但是人怎樣自處
[00:05:21.000 --> 00:05:25.000]  我想我們就可以透過出埃及記的經歷
[00:05:25.000 --> 00:05:26.000]  幫助我們
[00:05:26.000 --> 00:05:27.000]  怎樣在今天
[00:05:27.000 --> 00:05:29.000]  我們依然可以把上帝的說話
[00:05:29.000 --> 00:05:31.000]  調教我們的人生方向
[00:05:31.000 --> 00:05:32.000]  因為這樣
[00:05:32.000 --> 00:05:36.000]  我們更加需要好好接受裝備
[00:05:36.000 --> 00:05:38.000]  以及培育
[00:05:38.000 --> 00:05:41.000]  在說出埃及記進一步之先
[00:05:41.000 --> 00:05:44.000]  今天特別我會說兩點
[00:05:44.000 --> 00:05:48.000]  想給大家看一個圖片
[00:05:48.000 --> 00:05:50.000]  這幾天都洗版了
[00:05:50.000 --> 00:05:52.000]  什麼事呢
[00:05:52.000 --> 00:05:53.000]  廖三明先生
[00:05:53.000 --> 00:05:55.000]  日本一個漫畫家離世
[00:05:55.000 --> 00:05:57.000]  他的作品
[00:05:57.000 --> 00:05:59.000]  起碼陪著我成長
[00:05:59.000 --> 00:06:00.000]  IQ博士
[00:06:00.000 --> 00:06:01.000]  龍珠
[00:06:01.000 --> 00:06:04.000]  你不看你都會聽過你的細蚊仔
[00:06:04.000 --> 00:06:06.000]  你身邊的人可能講過
[00:06:06.000 --> 00:06:08.000]  我不知道有多少人是
[00:06:08.000 --> 00:06:12.000]  看廖三明先生的作品成長的呢
[00:06:12.000 --> 00:06:13.000]  不需要舉手
