
[00:00:00.000 --> 00:00:02.000]  今日分享的題目是
[00:00:02.000 --> 00:00:03.500]  努力進閘門
[00:00:03.500 --> 00:00:06.500]  在神國的擴展中有份
[00:00:06.500 --> 00:00:11.000]  我不知道大家乘搭地鐵的習慣是怎樣
[00:00:11.000 --> 00:00:15.000]  如果你知道那架車快要開了
[00:00:15.000 --> 00:00:19.000]  你是會趕下一班車的人
[00:00:19.000 --> 00:00:22.000]  還是你會慢慢等下一班車的人
[00:00:22.000 --> 00:00:23.500]  不如我們試試做投票
[00:00:23.500 --> 00:00:25.500]  如果你看到那架車快要開了
[00:00:25.500 --> 00:00:28.000]  你會盡量嘗試衝去趕那班車的
[00:00:28.000 --> 00:00:30.000]  你舉手
[00:00:30.000 --> 00:00:33.000]  香港人都是心急的
[00:00:33.000 --> 00:00:35.000]  如果你是那些
[00:00:35.000 --> 00:00:37.000]  我會慢慢等下一班車的人
[00:00:37.000 --> 00:00:39.000]  你舉手
[00:00:39.000 --> 00:00:40.000]  原來我發現
[00:00:40.000 --> 00:00:43.000]  我們以為香港人心急
[00:00:43.000 --> 00:00:45.000]  今堂第三堂
[00:00:45.000 --> 00:00:48.000]  其實我們香港人不是想像中那麼心急
[00:00:48.000 --> 00:00:49.000]  我發現很多人
[00:00:49.000 --> 00:00:51.000]  我會慢慢等下一班車
[00:00:51.000 --> 00:00:53.000]  我是一個心急的人
[00:00:53.000 --> 00:00:55.000]  所以每一次我搭地鐵
[00:00:55.000 --> 00:00:57.000]  我一定會看看時間表
[00:00:57.000 --> 00:00:59.000]  如果時間表說即將開車
[00:00:59.000 --> 00:01:02.000]  我會衝啊
[00:01:02.000 --> 00:01:04.000]  嘗試去趕那班車
[00:01:04.000 --> 00:01:08.000]  除了當我和老婆一起的時候
[00:01:08.000 --> 00:01:09.000]  因為老婆跟我說
[00:01:09.000 --> 00:01:12.000]  我是走不了的
[00:01:12.000 --> 00:01:14.000]  我是一個很不體貼的老公
[00:01:14.000 --> 00:01:16.000]  所以我經常提醒自己
[00:01:16.000 --> 00:01:17.000]  當我和老婆一起的時候
[00:01:17.000 --> 00:01:20.000]  就慢慢等下一班車
[00:01:20.000 --> 00:01:25.000]  我剛才真的以為我們香港人很心急
[00:01:25.000 --> 00:01:27.000]  很想很竭力去趕那班車
[00:01:27.000 --> 00:01:28.000]  但是我發現
