
[00:00:00.000 --> 00:00:01.920]  各位弟兄姐妹,平安!
[00:00:01.920 --> 00:00:06.240]  還有網路上的弟兄姐妹,朋友們很高興再一次能夠進到你的家中,
[00:00:06.240 --> 00:00:11.560]  與你一同敬拜大美魔的主,與你一同來分享神的話語。
[00:00:11.560 --> 00:00:16.840]  上個星期四,9月8號,英國女王伊麗莎白二世過世了。
[00:00:16.840 --> 00:00:25.800]  享年96歲,可以說她在英國王室裏面掌權最久的一個女王,79。
[00:00:25.800 --> 00:00:32.120]  你可以想象,她影響了英國人,還有英國聯邦,還有英國過去自民地的百姓。
[00:00:32.120 --> 00:00:35.040]  的確是影響了許許多多的人。
[00:00:35.040 --> 00:00:38.800]  我想我們的生命,不論是有多長,或有多短,
[00:00:38.800 --> 00:00:45.800]  我們都盼望我們的生命都能夠影響世代,都能夠成爲別人的影響。
[00:00:45.800 --> 00:00:51.440]  可以接受我們的一舉一動,我們其實都在影響我們身邊左右的人。
[00:00:51.440 --> 00:00:59.920]  我們也盼望,特別是我們的家人和我們的孩子,也因爲我們,生命得到改變,生命得到祝福。
[00:00:59.920 --> 00:01:02.720]  所以保羅在《哥羅西書》第三章二十一節告訴我們說:
[00:01:02.720 --> 00:01:13.680]  "你們做父親的,不要惹兒女的氣,恐怕他們嗜了自氣。"
[00:01:13.680 --> 00:01:20.560]  有一天,王太太和老公吵架,氣得她晚上不想煮飯,
[00:01:20.560 --> 00:01:25.520]  就帶她六歲的兒子小明去喫拉麪。
[00:01:25.520 --> 00:01:30.520]  第二天,當她去接她兒子小明的時候,小明眼眶裏面帶着眼淚,
[00:01:30.520 --> 00:01:35.600]  就問媽媽說:"媽咪,你今天還會跟爸爸吵架嗎?"
[00:01:35.600 --> 00:01:39.320]  王太太聽了以後,心中不知道該怎麼回答她,
[00:01:39.320 --> 00:01:44.120]  就對孩子說:"孩子啊,到底怎麼了?"
[00:01:44.120 --> 00:01:52.000]  然後,六歲的小明就流着眼淚對媽媽說:"昨天的面好好喫哦!"
[00:01:52.000 --> 00:01:55.920]  然後說,旁邊的人說:"不要惹兒女的氣!"
[00:01:55.920 --> 00:01:59.800]  請你放心,今天不是跟大家講如何來教養你的孩子,
[00:01:59.800 --> 00:02:03.920]  而是講我們如何能夠讓我們的生命有影響力。
[00:02:03.920 --> 00:02:10.200]  生命要有影響力,我們必須要懂得如何效法那些曾經帶有大有影響力的人,
[00:02:10.200 --> 00:02:14.480]  特別是那些能夠影響世代,至今仍然在影響我們的,
[00:02:14.480 --> 00:02:17.960]  我想莫過於我們的救主耶穌基督。
[00:02:17.960 --> 00:02:22.960]  今天早上我們來思想耶穌基督的生命如何影響世代。
[00:02:22.960 --> 00:02:27.040]  我們先講耶穌基督祂來到世上只有三十三年多的時間,
[00:02:27.040 --> 00:02:31.120]  但是祂不但是影響了當時祂所處的世代,
[00:02:31.120 --> 00:02:36.840]  也透過祂的門徒,透過祂的生命的流露繼續不斷地影響世代,
