
[00:00:00.000 --> 00:00:03.600]  今年二零二五年,整晚來到八月
[00:00:03.600 --> 00:00:06.920]  大家有沒有見過這幅畫,在外面那個橫額
[00:00:06.920 --> 00:00:14.760]  走了七個月,好像都沒有見到一樣
[00:00:14.760 --> 00:00:18.440]  你知不知道今年我們教會的主題是什麼?
[00:00:18.440 --> 00:00:21.560]  教聖離鄉
[00:00:21.560 --> 00:00:25.720]  我們因為在去年到上半年,一直都是
[00:00:25.720 --> 00:00:29.720]  講師行轉,所以我沒有特別
[00:00:29.720 --> 00:00:34.160]  黃師母有提過幾篇道有聖靈
[00:00:34.160 --> 00:00:37.320]  現在我回到加拉太書
[00:00:37.320 --> 00:00:40.720]  因為這是我們的主題經文
[00:00:40.720 --> 00:00:42.720]  我們應該來看看
[00:00:42.720 --> 00:00:46.320]  今天我要跟大家在加拉太書
[00:00:46.320 --> 00:00:51.600]  看看聖靈的工作,以及我們如何靠聖靈而行
[00:00:51.600 --> 00:00:55.840]  這是加拉太書的第幾章?
[00:00:55.840 --> 00:00:58.320]  五章十六節
[00:00:58.320 --> 00:01:00.880]  我們一起讀一讀這節經文,請讀
[00:01:00.880 --> 00:01:05.000]  「我說,你們當順著聖靈而行
[00:01:05.000 --> 00:01:09.840]  就不放縱肉體的情慾了」
[00:01:09.840 --> 00:01:12.000]  所以這個最重要的焦點
[00:01:12.000 --> 00:01:15.920]  就是說我們當順著聖靈而行
[00:01:15.920 --> 00:01:19.720]  或者靠聖靈而行,都是這個意思
[00:01:19.720 --> 00:01:23.600]  鼓勵我們在我們的生活
[00:01:23.600 --> 00:01:24.960]  我們的侍奉當中
[00:01:24.960 --> 00:01:30.560]  靠聖靈來行走我們人生
[00:01:30.560 --> 00:01:32.880]  我們侍奉的道路
[00:01:32.880 --> 00:01:35.720]  你說,我們有聖父有聖子
[00:01:35.720 --> 00:01:37.320]  很多時候我們都提到
[00:01:37.320 --> 00:01:39.360]  在天父的愛當中,在祂的隱秘當中
[00:01:39.360 --> 00:01:41.880]  在主耶穌基督的救恩當中
[00:01:41.880 --> 00:01:44.160]  耶穌住在我們內心裡
[00:01:44.160 --> 00:01:48.840]  但是我們信這位神是三一的真神
[00:01:48.840 --> 00:01:51.760]  祂是一獨一的真神,但有三個衛格
[00:01:51.760 --> 00:01:55.560]  我們很多時候,聖靈是隱藏的
[00:01:55.560 --> 00:01:58.720]  今年我們特別去提的是
[00:01:58.720 --> 00:02:00.680]  我們要留意多一點
[00:02:00.680 --> 00:02:02.800]  不是祂沒有了
[00:02:02.800 --> 00:02:06.400]  不是我們要接受聖靈
[00:02:06.400 --> 00:02:07.400]  祂才在我們當中
[00:02:07.400 --> 00:02:09.720]  而是祂不斷地在信徒當中
[00:02:09.720 --> 00:02:12.800]  在教會當中在運行著
[00:02:12.800 --> 00:02:15.560]  就好像今天我們…
[00:02:15.560 --> 00:02:19.840]  現在你能不能吸到氧氣?
[00:02:19.840 --> 00:02:22.960]  你有沒有留意原來有氧氣的?
[00:02:22.960 --> 00:02:24.880]  我們平時不會留意的
[00:02:24.880 --> 00:02:27.320]  我們呼吸平時的生活
[00:02:27.320 --> 00:02:29.240]  我們不會留意到我們有氧氣的
[00:02:29.240 --> 00:02:31.960]  但是你沒有了氧氣會怎樣?
[00:02:31.960 --> 00:02:35.720]  很快腦缺氧就死了
[00:02:35.720 --> 00:02:38.480]  所以其實當我們信了主
[00:02:38.480 --> 00:02:40.960]  特別在教會成立的時候
[00:02:40.960 --> 00:02:42.040]  聖靈降臨了
[00:02:42.040 --> 00:02:43.760]  在教會,在信徒
[00:02:43.760 --> 00:02:47.200]  每一個重生得救的信徒的心裡
[00:02:47.200 --> 00:02:49.360]  就好像我們接受了
[00:02:49.360 --> 00:02:51.800]  就好像在聖靈裡面
[00:02:51.800 --> 00:02:53.760]  給我們的養分一樣
[00:02:53.760 --> 00:02:56.120]  但是我們很多時候是不經意的
[00:02:56.120 --> 00:02:58.400]  因為我們沒有去留意祂
[00:02:58.400 --> 00:03:00.360]  正如我們已經慣常了
[00:03:00.360 --> 00:03:03.200]  我們的生活裡面沒有留意氧氣一樣
[00:03:03.200 --> 00:03:05.320]  我們就重新回去看看
[00:03:05.320 --> 00:03:06.800]  原來其實聖經裡面
[00:03:06.800 --> 00:03:10.040]  說了很多關乎聖靈的真理
[00:03:10.040 --> 00:03:14.440]  以及聖靈跟我們的生活侍奉的關係
[00:03:14.440 --> 00:03:15.840]  如果沒有了祂是不行的
[00:03:15.840 --> 00:03:17.960]  不過我們沒有留意祂
[00:03:17.960 --> 00:03:19.400]  如果我們留意祂
[00:03:19.400 --> 00:03:21.680]  我們就能夠明白多一點
[00:03:21.680 --> 00:03:23.600]  原來聖靈是這樣工作的
[00:03:23.600 --> 00:03:25.440]  我們怎樣去配合祂
[00:03:25.440 --> 00:03:27.240]  不是叫我們不斷要
[00:03:27.240 --> 00:03:29.640]  好像很多極端靈印派那些追求聖靈
[00:03:29.640 --> 00:03:31.680]  他們忘記了最重要的
[00:03:31.680 --> 00:03:33.120]  就是敬拜聖父
[00:03:33.120 --> 00:03:35.880]  以及被殺的羔羊聖子
[00:03:35.880 --> 00:03:37.400]  聖靈幫助我們
[00:03:37.400 --> 00:03:41.480]  將焦點放在天父和耶穌基督身上
[00:03:41.480 --> 00:03:45.880]  但是聖靈卻是配合整個三一神的工作
[00:03:45.880 --> 00:03:50.280]  讓我們能夠藏在這位上帝的裡面
[00:03:50.280 --> 00:03:52.560]  領受祂的恩典
[00:03:52.560 --> 00:03:54.920]  所以當我們明白聖靈的工作的時候
[00:03:54.920 --> 00:03:56.600]  我們就能夠更加了解
[00:03:56.600 --> 00:03:57.440]  更加配合
[00:03:57.440 --> 00:03:59.040]  更加明白祂和天父
[00:03:59.040 --> 00:04:01.080]  和耶穌基督之間的關係
[00:04:01.080 --> 00:04:02.160]  所以接下來這幾個月
[00:04:02.160 --> 00:04:04.680]  我和大家就著今年我們的主題
[00:04:04.680 --> 00:04:07.160]  重新思想一下關乎聖靈的神學
[00:04:07.160 --> 00:04:08.800]  以及在不同的經文裡面
[00:04:08.800 --> 00:04:13.480]  我們去體會到聖靈的工作的重要性
[00:04:13.480 --> 00:04:16.120]  所以除了聖靈
[00:04:16.120 --> 00:04:17.920]  不單止用聖靈這個詞
[00:04:17.920 --> 00:04:19.360]  不要說舊約
[00:04:19.360 --> 00:04:22.000]  舊約也有提到聖靈的工作
[00:04:22.000 --> 00:04:24.480]  不過最主要的就是
[00:04:24.480 --> 00:04:26.120]  到了新約的時候
[00:04:26.120 --> 00:04:29.160]  我們在上一次一個系列
[00:04:29.160 --> 00:04:31.160]  說了十七個月關乎聖靈
[00:04:31.160 --> 00:04:33.400]  就是聖靈在司堂轉開始
[00:04:33.400 --> 00:04:35.080]  在新約開始的時候
[00:04:35.080 --> 00:04:39.200]  祂普遍降臨在聖徒和教會
[00:04:39.200 --> 00:04:39.960]  教會開始
