
[00:00:00.000 --> 00:00:02.000]  各位地主們早安
[00:00:02.000 --> 00:00:05.000]  請大家再次低頭祈禱
[00:00:05.000 --> 00:00:08.000]  親主多謝你
[00:00:08.000 --> 00:00:11.000]  多謝你時刻與我們同在
[00:00:11.000 --> 00:00:15.000]  懇求你幫助我們常在安靜的裡面
[00:00:15.000 --> 00:00:17.000]  去意識你就在我們周圍
[00:00:17.000 --> 00:00:20.000]  意識你時刻來看顧我們
[00:00:20.000 --> 00:00:23.000]  更懇求上主賜給我們悟性
[00:00:23.000 --> 00:00:26.000]  以致我們能夠明白你懷疑中的奧秘
[00:00:26.000 --> 00:00:29.000]  成為我們生命的力量、方向和主人
[00:00:29.000 --> 00:00:32.000]  更願意講解與聽解都同往你的月亮
[00:00:32.000 --> 00:00:34.000]  祈禱奉主耶穌基督的名求
[00:00:34.000 --> 00:00:36.000]  阿們
[00:00:36.000 --> 00:00:39.000]  各位領主不知道你覺不覺得
[00:00:39.000 --> 00:00:43.000]  等候對於你來說是一件很艱難的事
[00:00:43.000 --> 00:00:47.000]  我想對現代人來說其實真的很難
[00:00:47.000 --> 00:00:50.000]  你也覺得是一件很遺和的事
[00:00:50.000 --> 00:00:52.000]  我們總是匆匆忙忙
[00:00:52.000 --> 00:00:53.000]  不單是我們
[00:00:53.000 --> 00:00:55.000]  我們看到周圍的人都匆匆忙忙
[00:00:55.000 --> 00:00:58.000]  因為真的有很多事我們要去完成
[00:00:58.000 --> 00:01:02.000]  亦有很多事等著我們去處理
[00:01:02.000 --> 00:01:05.000]  而時間總是不夠用
[00:01:05.000 --> 00:01:08.000]  我們不是說完成一個任務
[00:01:08.000 --> 00:01:10.000]  再去完成第二個任務
[00:01:10.000 --> 00:01:12.000]  而是很多時我們都是同時間
[00:01:12.000 --> 00:01:15.000]  在處理不同的任務
[00:01:15.000 --> 00:01:19.000]  並且要趕在死線之前去達標
[00:01:19.000 --> 00:01:23.000]  還哪有時間去等呢?
[00:01:23.000 --> 00:01:27.000]  所以當我們手頭做著一件事的時候
[00:01:27.000 --> 00:01:29.000]  我們的心我們的腦
[00:01:29.000 --> 00:01:31.000]  已經在想下一步要怎麼做
[00:01:31.000 --> 00:01:34.000]  否則的話我們根本處理不了
[00:01:34.000 --> 00:01:36.000]  我們手頭上要處理的事
[00:01:36.000 --> 00:01:39.000]  有些人更加要一心一意
[00:01:39.000 --> 00:01:43.000]  同時間去處理幾件事
[00:01:43.000 --> 00:01:46.000]  最近有機會和頂尖分享的時候
[00:01:46.000 --> 00:01:48.000]  Zoom非常之好
[00:01:48.000 --> 00:01:51.000]  電腦的應用程式
[00:01:51.000 --> 00:01:54.000]  可以讓在疫情底下
[00:01:54.000 --> 00:01:57.000]  我們開會都可以用不同的方式
[00:01:57.000 --> 00:01:59.000]  大家在電腦面前已經可以開會
[00:01:59.000 --> 00:02:01.000]  可以上課
[00:02:01.000 --> 00:02:03.000]  那位朋友告訴我們
[00:02:03.000 --> 00:02:04.000]  因為Zoom的方便
[00:02:04.000 --> 00:02:07.000]  所以現在可以同時間開幾個會
[00:02:07.000 --> 00:02:10.000]  全開在這裏然後再開幾個會
[00:02:10.000 --> 00:02:12.000]  我在那裏問
[00:02:12.000 --> 00:02:14.000]  現在是4G的年代
[00:02:14.000 --> 00:02:16.000]  如果是5G的時候
[00:02:16.000 --> 00:02:21.000]  不知道我們是否應該要再急忙和快一點
[00:02:21.000 --> 00:02:23.000]  就算我們不去催促自己
[00:02:23.000 --> 00:02:25.000]  不知道大家會不會留意
[00:02:25.000 --> 00:02:28.000]  可能我們心裏經常說一句話
[00:02:28.000 --> 00:02:30.000]  快點快點快點
[00:02:30.000 --> 00:02:32.000]  就算你不去催促自己
[00:02:32.000 --> 00:02:34.000]  當你慢一點的時候
[00:02:34.000 --> 00:02:36.000]  周邊的人都會說
[00:02:36.000 --> 00:02:38.000]  你妨礙地球轉
[00:02:38.000 --> 00:02:40.000]  甚至可能認為
[00:02:40.000 --> 00:02:42.000]  你現在有偷懶的嫌疑
[00:02:42.000 --> 00:02:46.000]  你等著被這個社會淘汰
[00:02:46.000 --> 00:02:47.000]  要等
[00:02:47.000 --> 00:02:50.000]  可能我心裏都會衝出一句
[00:02:50.000 --> 00:02:53.000]  嘩!真是浪費時間
[00:02:53.000 --> 00:02:55.000]  前兩星期我和大家分享
[00:02:55.000 --> 00:02:58.000]  哈佛曲書的第一章照第二章的一節
[00:02:58.000 --> 00:03:01.000]  講述先知很焦急地去詢問神
[00:03:01.000 --> 00:03:04.000]  其實是可以用質詢
[00:03:04.000 --> 00:03:07.000]  來形容先知對上帝的態度
[00:03:07.000 --> 00:03:12.000]  為什麼上帝要派一個不認識祂
[00:03:12.000 --> 00:03:14.000]  強暴和兇殘的民族
[00:03:14.000 --> 00:03:18.000]  去做懲罰惡人的任務呢?
[00:03:18.000 --> 00:03:22.000]  最令人不明白和不服氣的地方就是
[00:03:22.000 --> 00:03:25.000]  受懲罰的人竟然比
[00:03:25.000 --> 00:03:28.000]  執行懲罰的人更加公義
[00:03:28.000 --> 00:03:33.000]  這不單止和哈佛曲先知所認識的上帝
[00:03:33.000 --> 00:03:38.000]  上帝的性結、恨惡邪惡的本性很不相符
[00:03:38.000 --> 00:03:41.000]  更加和上帝要求選民要遠離邪惡
[00:03:41.000 --> 00:03:44.000]  這些期望很不一致
[00:03:44.000 --> 00:03:47.000]  哈佛曲先知去質詢上帝之後
[00:03:47.000 --> 00:03:51.000]  他坐在他的瞭望台上
[00:03:51.000 --> 00:03:53.000]  去等候上帝的回覆
[00:03:53.000 --> 00:03:58.000]  這個動作不單止是讓自己警覺上帝回應的意思
[00:03:58.000 --> 00:04:01.000]  更加是我等不到上帝的回應
[00:04:01.000 --> 00:04:03.000]  我不罷休的態度
[00:04:03.000 --> 00:04:07.000]  其實這個也應該是我們學習警醒等候的
[00:04:07.000 --> 00:04:09.000]  一個禱告的態度
[00:04:09.000 --> 00:04:12.000]  今天讓我和大家看看
[00:04:12.000 --> 00:04:16.000]  上帝如何去回應哈佛曲先知
[00:04:16.000 --> 00:04:18.000]  經文記載在2章2節至20節
[00:04:18.000 --> 00:04:22.000]  剛才雙麗嘉玲姐妹都為我們讀出了
[00:04:22.000 --> 00:04:26.000]  上帝先請哈佛曲將他所見到的異象
[00:04:26.000 --> 00:04:28.000]  寫在一塊很大的板上
[00:04:28.000 --> 00:04:30.000]  還要大大一隻字
[00:04:30.000 --> 00:04:32.000]  讓其他人都看到
[00:04:32.000 --> 00:04:35.000]  都知道上帝的心意
[00:04:35.000 --> 00:04:38.000]  和外人的宗局會是怎樣
[00:04:38.000 --> 00:04:40.000]  不過上帝首先要表明
[00:04:40.000 --> 00:04:44.000]  哈佛曲所見到的異象是不會即時出現的
[00:04:44.000 --> 00:04:46.000]  需要一點時間
[00:04:46.000 --> 00:04:49.000]  嘩 又要等
[00:04:49.000 --> 00:04:52.000]  不是吧 我已經等了很久了
[00:04:52.000 --> 00:04:55.000]  上帝說看似單言
[00:04:55.000 --> 00:04:59.000]  不過他所說的話是一定會實現
[00:04:59.000 --> 00:05:04.000]  上帝強調先知需要去耐心等候
[00:05:04.000 --> 00:05:06.000]  大家都要耐心等候
[00:05:06.000 --> 00:05:10.000]  這個如言異象所說的每一句話都必然要實現
[00:05:10.000 --> 00:05:14.000]  惡人的宗局一定會來到
[00:05:14.000 --> 00:05:17.000]  就好像傳道書第三章所說
[00:05:17.000 --> 00:05:20.000]  天下萬物都有定期
[00:05:20.000 --> 00:05:22.000]  他們都有各自的時間表
[00:05:22.000 --> 00:05:26.000]  上帝讓萬事萬物各安其事成為美好
[00:05:26.000 --> 00:05:30.000]  我們需要等候上帝所定的時機成熟
[00:05:30.000 --> 00:05:33.000]  迦勒底人的結局終必會降臨
[00:05:33.000 --> 00:05:36.000]  上帝所啟示的信息是這樣說
