
[00:00:00.000 --> 00:00:02.000]  今日係母親節
[00:00:02.000 --> 00:00:05.500]  特別選咗一段同母親有關係嘅經文
[00:00:05.500 --> 00:00:09.500]  同大家分享同埋思想
[00:00:09.500 --> 00:00:15.300]  經文係選至二賽亞書四十九章十四至十八節
[00:00:15.300 --> 00:00:17.500]  聖經咁講
[00:00:17.500 --> 00:00:23.500]  石安說 耶和華離棄了我 主忘記了我
[00:00:23.500 --> 00:00:27.700]  婦人焉能忘記她吃奶的嬰孩
[00:00:27.700 --> 00:00:30.900]  不憐恤她所生的兒子
[00:00:30.900 --> 00:00:35.500]  即或有忘記的 我卻不忘記你
[00:00:35.500 --> 00:00:39.500]  看呀 我將你銘刻在我掌上
[00:00:39.500 --> 00:00:44.600]  你的長緩尚在我眼前
[00:00:44.600 --> 00:00:47.800]  你的兒女必急速歸回
[00:00:47.800 --> 00:00:51.100]  毀壞你的使你荒廢的
[00:00:51.100 --> 00:00:53.500]  必都離你出去
[00:00:53.500 --> 00:00:56.400]  你舉目向四方觀看
[00:00:56.400 --> 00:00:59.400]  他們都聚集來到你這裡
[00:00:59.400 --> 00:01:03.400]  耶和華說 我指著我的永生起誓
[00:01:03.400 --> 00:01:07.200]  你必要以他們為裝飾佩戴
[00:01:07.200 --> 00:01:09.900]  以他們為華戴束腰
[00:01:09.900 --> 00:01:14.300]  像新婦一樣
[00:01:14.300 --> 00:01:15.800]  聖經中其實
[00:01:15.800 --> 00:01:20.200]  神好少用母親的向度去表達自己
[00:01:20.200 --> 00:01:23.700]  多數用父親的向度
[00:01:23.700 --> 00:01:27.800]  所以在聖經中比較少這個記載
[00:01:27.800 --> 00:01:32.400]  今天看的這段經文是其中一段
[00:01:32.400 --> 00:01:34.700]  為什麼在這個地方
[00:01:34.700 --> 00:01:37.200]  在《以賽雅書》49章
[00:01:37.200 --> 00:01:42.400]  神要用一個母親的向度來表達自己呢?
[00:01:42.400 --> 00:01:46.400]  原來由《以賽雅書》的40章到55章
[00:01:46.400 --> 00:01:49.300]  一個這麼大的篇幅中
[00:01:49.300 --> 00:01:53.900]  神其實是透過先知和他的百姓石安
[00:01:53.900 --> 00:01:56.700]  石安不單只是一個地方名
[00:01:56.700 --> 00:02:01.400]  石安更加是名字和身份
[00:02:01.400 --> 00:02:05.400]  神要透過先知以賽雅和石安說
[00:02:05.400 --> 00:02:08.800]  你們被擄的子民
[00:02:08.800 --> 00:02:14.000]  我將來要給你一個新的一天
[00:02:14.000 --> 00:02:17.200]  新的局面
[00:02:17.200 --> 00:02:21.300]  耶路撒冷可以重被建造
[00:02:21.300 --> 00:02:29.100]  你們要回歸在神的荒土地圖裏面
[00:02:29.100 --> 00:02:32.100]  當神這樣去表達自己的時候
[00:02:32.100 --> 00:02:35.700]  去表出祂的應許的時候
[00:02:35.700 --> 00:02:39.800]  為什麼去到第49章
[00:02:39.800 --> 00:02:45.300]  神的百姓石安會發出一個這樣的呼喊
[00:02:45.300 --> 00:02:49.100]  耶和華利希了我 主忘記了我
[00:02:49.100 --> 00:02:52.600]  明明前面神很斬釘截鐵地
[00:02:52.600 --> 00:02:55.400]  將祂的應許說了出來
[00:02:55.400 --> 00:02:59.500]  為何他們會出現一個這樣的呼喊
[00:02:59.500 --> 00:03:01.700]  就因著他們的呼喊
[00:03:01.700 --> 00:03:06.500]  神就以一個母親的向度去表達
[00:03:06.500 --> 00:03:09.700]  去回應他們的呼喊
[00:03:09.700 --> 00:03:16.500]  神要告訴他們 我沒有忘記你
[00:03:16.500 --> 00:03:20.100]  今天神都透過這番說話
[00:03:20.100 --> 00:03:24.500]  跟我們說 神沒有忘記我們
[00:03:24.500 --> 00:03:27.100]  究竟當時
[00:03:27.100 --> 00:03:31.900]  石安 神的百姓面對著什麼樣的情況
[00:03:31.900 --> 00:03:36.800]  何時沒有忘記我們呢
