
[00:00:00.000 --> 00:00:03.600]  好,讓我們低頭禱告
[00:00:03.600 --> 00:00:07.500]  親愛的聖靈,我們恭候禰的降臨
[00:00:07.500 --> 00:00:10.300]  降臨在我們當中帶領着我們
[00:00:10.300 --> 00:00:14.100]  祝我們巴不得能夠在禰的話語上
[00:00:14.100 --> 00:00:15.800]  我們能夠被建立
[00:00:15.800 --> 00:00:19.800]  能夠知道怎樣行出合乎禰心意的事來
[00:00:19.800 --> 00:00:21.900]  祝我們求禰幫助帶領
[00:00:21.900 --> 00:00:24.800]  禰讓禰的僕人所傳講的信息
[00:00:24.800 --> 00:00:26.700]  由禰那裏而來
[00:00:26.700 --> 00:00:28.300]  無加無減
[00:00:28.300 --> 00:00:31.000]  好教我們從禰的話語當中
[00:00:31.000 --> 00:00:35.600]  得到真正的幫助和栽培
[00:00:35.600 --> 00:00:36.600]  祝謝謝禰
[00:00:36.600 --> 00:00:38.800]  我們將以下時間完全交託
[00:00:38.800 --> 00:00:41.500]  願禰安靜我們的心
[00:00:41.500 --> 00:00:42.800]  準備我們的心
[00:00:42.800 --> 00:00:45.300]  讓我們能夠謙卑在禰面前
[00:00:45.300 --> 00:00:47.100]  領受禰這些話語
[00:00:47.100 --> 00:00:48.800]  感謝禰聽我們的禱告
[00:00:48.800 --> 00:00:50.600]  奉取耶穌基督的神明
[00:00:50.600 --> 00:00:53.500]  阿彌陀佛
[00:00:53.500 --> 00:00:56.000]  好,有一個漁人故事
[00:00:56.000 --> 00:00:58.300]  是講到有一隻狗
[00:00:58.300 --> 00:01:00.500]  他就很喜歡
[00:01:00.500 --> 00:01:02.100]  別的動物他都誇口
[00:01:02.100 --> 00:01:04.100]  他說我呢
[00:01:04.100 --> 00:01:07.300]  通常漁人故事裏面都是
[00:01:07.300 --> 00:01:09.800]  那些動物都會說話的
[00:01:09.800 --> 00:01:13.900]  所以這個狗他也會說話
[00:01:13.900 --> 00:01:16.900]  所以他常常對別的動物他都誇口
[00:01:16.900 --> 00:01:18.500]  他說我呢
[00:01:18.500 --> 00:01:20.400]  就是天下第一
[00:01:20.400 --> 00:01:23.100]  沒有人能夠跑得過我的
[00:01:23.100 --> 00:01:27.300]  所以他就很以自己能夠跑得快爲驕傲
[00:01:27.300 --> 00:01:31.400]  有一天他追逐一隻兔子的時候
[00:01:31.400 --> 00:01:34.200]  才發現原來不是這麼一回事
[00:01:34.200 --> 00:01:37.300]  那兔子跑得非常的快
[00:01:37.300 --> 00:01:38.600]  他追逐不到
[00:01:38.600 --> 00:01:42.300]  然後那兔子遠遠地把他拋離在後面
[00:01:42.300 --> 00:01:45.200]  這狗就感到非常的難爲情
[00:01:45.200 --> 00:01:49.400]  特別是以前聽過他誇口的那些動物
[00:01:49.400 --> 00:01:51.900]  就暗暗地在偷笑了
[00:01:51.900 --> 00:01:55.100]  所以這隻狗他就讓自己下臺
[00:01:55.100 --> 00:01:56.900]  他說你們笑什麼
[00:01:56.900 --> 00:01:58.500]  他說你不知道嗎
[00:01:58.500 --> 00:02:02.100]  我追這隻兔子是爲了娛樂
[00:02:02.100 --> 00:02:04.700]  是爲了玩而已
[00:02:04.700 --> 00:02:08.600]  但是這隻兔子跑是因爲要逃命
[00:02:08.600 --> 00:02:11.400]  他是要保住自己的性命所以才跑的
[00:02:11.400 --> 00:02:12.500]  想想看
[00:02:12.500 --> 00:02:14.200]  我是爲了娛樂
[00:02:14.200 --> 00:02:15.600]  我不用這麼賣力
[00:02:15.600 --> 00:02:17.600]  但是他跑是爲了保命
[00:02:17.600 --> 00:02:18.900]  他又要非常的賣力
[00:02:18.900 --> 00:02:22.600]  所以他遠遠地把我拋離在後面有什麼奇怪呢
[00:02:22.600 --> 00:02:27.200]  這隻狗他在爲自己的失敗找藉口
[00:02:27.200 --> 00:02:30.900]  但是我們想想這隻狗所說的話
[00:02:30.900 --> 00:02:33.600]  也難免有一些道理
[00:02:33.600 --> 00:02:36.400]  我就說我們才能做一件事情
[00:02:36.400 --> 00:02:41.800]  很多時候我們必須背後有一些的推動力
[00:02:41.800 --> 00:02:44.800]  叫我們能夠做出的事情
[00:02:44.800 --> 00:02:47.600]  能夠有一些果效來
