
[00:00:00.000 --> 00:00:03.000]  隨著新年又是一個新的開始
[00:00:03.000 --> 00:00:05.000]  今日我們都想講一個題目
[00:00:05.000 --> 00:00:07.000]  就是如何在這個因典裏面
[00:00:07.000 --> 00:00:09.000]  去面對一個新的開始
[00:00:09.000 --> 00:00:11.000]  和一個新的挑戰
[00:00:11.000 --> 00:00:14.000]  我想從一節的經文開始
[00:00:14.000 --> 00:00:18.000]  面對新的挑戰
[00:00:18.000 --> 00:00:21.000]  希望我們可以從耶穌基督的因典裏開始
[00:00:21.000 --> 00:00:23.000]  在約翰福音是這樣說
[00:00:23.000 --> 00:00:25.000]  從他的風承裏
[00:00:25.000 --> 00:00:27.000]  我們都領受了因典
[00:00:27.000 --> 00:00:29.000]  而且欣賞佳人
[00:00:29.000 --> 00:00:31.000]  很喜歡風承這個詞
[00:00:31.000 --> 00:00:33.000]  Planaroma
[00:00:33.000 --> 00:00:36.000]  這個詞的原文是指Complete
[00:00:36.000 --> 00:00:38.000]  即是它是完整的
[00:00:38.000 --> 00:00:40.000]  是完美的
[00:00:40.000 --> 00:00:43.000]  我們因為從出生到現在
[00:00:43.000 --> 00:00:46.000]  我們未經歷過什麼叫做Complete
[00:00:46.000 --> 00:00:48.000]  未經歷過什麼叫做
[00:00:48.000 --> 00:00:51.000]  我是足夠,我是不缺乏的
[00:00:51.000 --> 00:00:53.000]  是完美的
[00:00:53.000 --> 00:00:55.000]  所以我們就不太明白什麼叫做風承
[00:00:55.000 --> 00:00:57.000]  因為我們很少人是風承的
[00:00:57.000 --> 00:01:02.000]  我們從小到大都有各種不同的貧窮
[00:01:02.000 --> 00:01:05.000]  這些貧窮會讓我們覺得缺乏
[00:01:05.000 --> 00:01:07.000]  我們缺乏很多的東西
[00:01:07.000 --> 00:01:09.000]  可能從小到大
[00:01:09.000 --> 00:01:11.000]  缺乏父母的認同
[00:01:11.000 --> 00:01:13.000]  缺乏一些人對我們的認同
[00:01:13.000 --> 00:01:15.000]  尊重、讚美
[00:01:15.000 --> 00:01:17.000]  各樣各樣的東西
[00:01:17.000 --> 00:01:19.000]  甚至長大後會發覺
[00:01:19.000 --> 00:01:21.000]  某個階段會缺乏錢
[00:01:21.000 --> 00:01:23.000]  我們會缺乏很多的東西
[00:01:23.000 --> 00:01:25.000]  所以我們不知道什麼叫做風承
[00:01:25.000 --> 00:01:27.000]  但在經文裡面
[00:01:27.000 --> 00:01:29.000]  它唯一一個是風承
[00:01:29.000 --> 00:01:31.000]  就是從它的風承裡面
[00:01:31.000 --> 00:01:35.000]  去嘗試去領受這些恩典
[00:01:35.000 --> 00:01:37.000]  所以希望在新的開始
[00:01:37.000 --> 00:01:39.000]  新的挑戰的時候
[00:01:39.000 --> 00:01:41.000]  我們回到主耶穌的風承裡面
[00:01:41.000 --> 00:01:43.000]  去領受一下
[00:01:43.000 --> 00:01:45.000]  其實祂是風承的
[00:01:45.000 --> 00:01:47.000]  祂是什麼都不缺乏
[00:01:47.000 --> 00:01:49.000]  是我們自己覺得缺乏
[00:01:49.000 --> 00:01:51.000]  所以我們就投射了一個貧窮缺乏的
[00:01:51.000 --> 00:01:53.000]  一個影像在我們身邊的環境
[00:01:53.000 --> 00:01:55.000]  但如果我們從它的風承裡面
[00:01:55.000 --> 00:01:57.000]  去領受
[00:01:57.000 --> 00:01:59.000]  就是一幅不同的影像
[00:01:59.000 --> 00:02:01.000]  所以這個風承是非常重要
[00:02:01.000 --> 00:02:03.000]  我很喜歡在寫約翰福音的時候
[00:02:03.000 --> 00:02:07.000]  其中有一個寫commentary的神學家
[00:02:07.000 --> 00:02:09.000]  是這樣形容約翰福音
[00:02:09.000 --> 00:02:11.000]  他說約翰福音
[00:02:11.000 --> 00:02:13.000]  他給它起了另一個名字
[00:02:13.000 --> 00:02:15.000]  叫做風承福音
[00:02:15.000 --> 00:02:17.000]  The Gospel of Abundance
[00:02:17.000 --> 00:02:19.000]  他是這樣解讀約翰福音
[00:02:19.000 --> 00:02:21.000]  他說約翰福音的典題
[00:02:21.000 --> 00:02:23.000]  其實他覺得是這一節的經文
[00:02:23.000 --> 00:02:25.000]  他覺得接下來
[00:02:25.000 --> 00:02:27.000]  整本約翰福音耶穌的每一個事件
[00:02:27.000 --> 00:02:29.000]  其實都是在
[00:02:29.000 --> 00:02:31.000]  具體彰顯
[00:02:31.000 --> 00:02:33.000]  它的風承
[00:02:33.000 --> 00:02:35.000]  在什麼層面流露出來
[00:02:35.000 --> 00:02:37.000]  所以這個風承
[00:02:37.000 --> 00:02:39.000]  不是一個很抽象的
[00:02:39.000 --> 00:02:41.000]  它是一個很具體化的
[00:02:41.000 --> 00:02:43.000]  我們可以生活中
[00:02:43.000 --> 00:02:45.000]  經歷的東西
[00:02:45.000 --> 00:02:47.000]  oh sorry
[00:02:47.000 --> 00:02:49.000]  就好像這節經文所說
[00:02:49.000 --> 00:02:51.000]  哥羅西書二章九節
[00:02:51.000 --> 00:02:53.000]  因為神本性一切的風承
[00:02:53.000 --> 00:02:55.000]  祂所有最好的東西
[00:02:55.000 --> 00:02:57.000]  都是有形有體
[00:02:57.000 --> 00:02:59.000]  所以這份風承
[00:02:59.000 --> 00:03:01.000]  不是抽象你觸摸不到
[00:03:01.000 --> 00:03:03.000]  祂是很有形有體的
[00:03:03.000 --> 00:03:05.000]  居住在基督裏面
[00:03:05.000 --> 00:03:07.000]  我們在祂裏面
[00:03:07.000 --> 00:03:09.000]  可以得著這種風承
[00:03:09.000 --> 00:03:11.000]  所以這種風承
[00:03:11.000 --> 00:03:13.000]  是神不單止給了基督
[00:03:13.000 --> 00:03:15.000]  由基督可以
[00:03:15.000 --> 00:03:17.000]  分享給我們
[00:03:17.000 --> 00:03:19.000]  你要在祂裏面
[00:03:19.000 --> 00:03:21.000]  不是在祂外面
[00:03:21.000 --> 00:03:23.000]  我們經常在基督以外
[00:03:23.000 --> 00:03:25.000]  想尋求這種風承
[00:03:25.000 --> 00:03:27.000]  但是你花了一生人的時間
[00:03:27.000 --> 00:03:29.000]  只要在基督外
[00:03:29.000 --> 00:03:31.000]  你得到的最後都是缺乏
[00:03:31.000 --> 00:03:33.000]  都是貧窮
[00:03:33.000 --> 00:03:35.000]  一點風承的感覺都沒有
[00:03:35.000 --> 00:03:37.000]  因為我們一開始追求風承的方式
[00:03:37.000 --> 00:03:39.000]  根本就是錯的
[00:03:39.000 --> 00:03:41.000]  這種風承是神在基督裏面
[00:03:41.000 --> 00:03:43.000]  留給我們
[00:03:43.000 --> 00:03:45.000]  一切的風承有形有體
[00:03:45.000 --> 00:03:47.000]  神在基督裏面解釋
[00:03:47.000 --> 00:03:49.000]  這種風承是怎樣流露出來
