
[00:00:00.000 --> 00:00:03.220]  我相信令我們教會應該開心快樂的就是
[00:00:03.220 --> 00:00:05.240]  在9日之前
[00:00:05.240 --> 00:00:06.640]  就是1月2日
[00:00:06.640 --> 00:00:09.040]  2015年1月2日
[00:00:09.040 --> 00:00:12.800]  下午2點半鐘
[00:00:12.800 --> 00:00:17.100]  我們就已經拿到在Presington 5627
[00:00:17.100 --> 00:00:19.100]  住Broadhurst Drive
[00:00:19.100 --> 00:00:22.220]  那個建築物的鎖匙
[00:00:22.220 --> 00:00:24.340]  看一張照片好嗎
[00:00:24.340 --> 00:00:26.860]  大家去不了 我都去不了
[00:00:26.860 --> 00:00:28.320]  誒 誰看不到啊
[00:00:28.320 --> 00:00:31.040]  OK 這個Florence姐妹
[00:00:31.040 --> 00:00:32.880]  這個是以前的Owner的Manager
[00:00:32.880 --> 00:00:34.840]  將那套鎖匙交給我們
[00:00:34.840 --> 00:00:36.520]  那就感謝主啦
[00:00:36.520 --> 00:00:39.560]  我們是1月2日下午2點半鐘
[00:00:39.560 --> 00:00:41.280]  就拿到這套鎖匙
[00:00:41.280 --> 00:00:44.000]  這個提醒我們一方面要感恩
[00:00:44.000 --> 00:00:45.320]  另一方面來說
[00:00:45.320 --> 00:00:48.040]  我們對在Presington這個地方
[00:00:48.040 --> 00:00:51.120]  建立我們教會第二個的呼應基地
[00:00:51.120 --> 00:00:55.040]  又走近了一大步
[00:00:55.040 --> 00:00:57.080]  上個星期和三哥的弟弟姐妹分享
[00:00:57.080 --> 00:00:59.600]  其實大家開心快樂是應該的
[00:00:59.600 --> 00:01:00.760]  爲什麼呢
[00:01:00.760 --> 00:01:02.920]  因爲在這個過程裏面
[00:01:02.920 --> 00:01:05.000]  我們親眼見證到
[00:01:05.000 --> 00:01:08.760]  神在我們當中的一個偉大的作爲
[00:01:08.760 --> 00:01:11.440]  在兩個月的時間裏面
[00:01:11.440 --> 00:01:13.320]  我們籌到一百萬
[00:01:13.320 --> 00:01:14.840]  其實不止
[00:01:14.840 --> 00:01:17.800]  但這一百萬足以讓我們能夠和其他
[00:01:17.800 --> 00:01:20.040]  一些外住的弟兄姐妹
[00:01:20.040 --> 00:01:21.400]  就集資
[00:01:21.400 --> 00:01:25.360]  購買了這個五百五十萬的建築物
[00:01:25.360 --> 00:01:27.040]  這個建築物
[00:01:27.040 --> 00:01:29.200]  不僅僅是一個教會那麼簡單
[00:01:29.200 --> 00:01:35.360]  是一個未來我們在那裏推廣福音的一個地方
[00:01:35.360 --> 00:01:39.960]  如果大家有看上個星期的《世語超言》的時候
[00:01:39.960 --> 00:01:41.560]  在裏面我和大家分享
