
[00:00:00.000 --> 00:00:03.800]  我想請大家看幾張圖片
[00:00:03.800 --> 00:00:06.080]  我想問大家的問題是
[00:00:06.080 --> 00:00:08.320]  你見到甚麼先呢?
[00:00:08.320 --> 00:00:10.000]  第一張圖片
[00:00:10.000 --> 00:00:11.400]  你見到鱷魚先
[00:00:11.400 --> 00:00:16.000]  還是見到一隻小艇有人坐在那裡呢?
[00:00:16.000 --> 00:00:18.480]  有些人說小艇 有些人說鱷魚
[00:00:18.480 --> 00:00:20.400]  好 下一張
[00:00:20.400 --> 00:00:25.400]  你見到花瓶先 花樽先 還是女人先呢?
[00:00:25.400 --> 00:00:26.400]  還是女人先
[00:00:26.400 --> 00:00:29.800]  通常男生都會先看女人
[00:00:29.800 --> 00:00:32.800]  第三張
[00:00:32.800 --> 00:00:37.800]  你見到老人家先 還是美女先呢?
[00:00:37.800 --> 00:00:39.800]  有些姊妹都見到美女先
[00:00:39.800 --> 00:00:43.200]  因為她像你
[00:00:43.200 --> 00:00:44.800]  好 還是有人不同
[00:00:44.800 --> 00:00:47.400]  有些人見到老人家先 有些人見到美女先
[00:00:47.400 --> 00:00:49.400]  下一張
[00:00:49.400 --> 00:00:51.000]  你見到車先
[00:00:51.000 --> 00:00:55.000]  還是男人拿著望遠鏡先呢?
[00:00:55.000 --> 00:00:56.600]  是啦
[00:00:56.600 --> 00:00:59.000]  所以大家看的東西都不同
[00:00:59.000 --> 00:01:02.200]  有些人看到一些 有些人看到另外一些
[00:01:02.200 --> 00:01:04.600]  但是為甚麼有些人先看到一些
[00:01:04.600 --> 00:01:08.600]  而另外一些人先看到另外一些呢?
[00:01:08.600 --> 00:01:12.000]  原來人的視野是有限制的
[00:01:12.000 --> 00:01:16.400]  換句話說 我們看東西未必是看到事情的全部
[00:01:16.400 --> 00:01:19.400]  有些時間我們要從一個角度去看這件事
[00:01:19.400 --> 00:01:24.200]  又或者我們只是看事情的某一部份而已
[00:01:24.200 --> 00:01:25.600]  我舉個例子
[00:01:25.600 --> 00:01:32.200]  如果老婆懷疑老公有第三者或者不忠
[00:01:32.200 --> 00:01:33.400]  那會怎樣呢?
[00:01:33.400 --> 00:01:35.600]  老公無論要做些甚麼
[00:01:35.600 --> 00:01:39.800]  老婆都會覺得很可疑
[00:01:39.800 --> 00:01:42.600]  譬如
[00:01:42.600 --> 00:01:44.400]  連續一個星期
[00:01:44.400 --> 00:01:47.200]  晚晚都不回家吃飯
[00:01:47.200 --> 00:01:51.200]  永遠放工都要遲到回家
[00:01:51.200 --> 00:01:52.600]  有古怪
[00:01:52.600 --> 00:01:55.800]  還要經常都講電話 神神秘秘
[00:01:55.800 --> 00:01:57.400]  不知道跟誰講電話
[00:01:57.400 --> 00:01:59.000]  又經常看著手機
[00:01:59.000 --> 00:02:01.600]  然後又不知道回什麼WhatsApp
[00:02:01.600 --> 00:02:03.400]  認真可疑
[00:02:03.400 --> 00:02:05.400]  哦
[00:02:05.400 --> 00:02:08.600]  衣服還黏著一條長頭髮
[00:02:08.600 --> 00:02:12.000]  這個壞蛋肯定有狀況了
[00:02:12.000 --> 00:02:13.000]  但是呢
[00:02:13.000 --> 00:02:14.400]  當他這樣想的時候
[00:02:14.400 --> 00:02:19.400]  他就看不到 原來老公在結婚週年的時候
[00:02:19.400 --> 00:02:21.400]  訂了一間很好的餐廳
[00:02:21.400 --> 00:02:24.200]  特地跟他吃燭光晚餐
[00:02:24.200 --> 00:02:25.400]  又或者老婆生日
[00:02:25.400 --> 00:02:27.200]  他又記得特地送花給她
[00:02:27.200 --> 00:02:28.200]  這些都看不到
[00:02:28.200 --> 00:02:30.200]  他會想什麼呢?
[00:02:30.200 --> 00:02:32.200]  作賊滲去
[00:02:32.200 --> 00:02:35.000]  一定是做回事來補數
[00:02:35.000 --> 00:02:38.400]  等於我們的視野往往都是有些局限
[00:02:38.400 --> 00:02:40.600]  有時很多偏差的
[00:02:40.600 --> 00:02:42.200]  所以
[00:02:42.200 --> 00:02:46.600]  視野對於我們人生是非常重要的
[00:02:46.600 --> 00:02:49.400]  因為視野的長短是在決定
[00:02:49.400 --> 00:02:53.200]  我們是否看得闊 看得深 看得遠
[00:02:53.200 --> 00:02:55.600]  所以擴闊我們的視野
[00:02:55.600 --> 00:02:57.000]  就非常重要了
[00:02:57.000 --> 00:02:59.400]  讓我們看得見更加多
[00:02:59.400 --> 00:03:02.400]  但是誰可以幫助我們呢?
[00:03:02.400 --> 00:03:05.000]  在約翰福音第二十章裡面
[00:03:05.000 --> 00:03:06.800]  描述的一個清晨
[00:03:06.800 --> 00:03:08.400]  一個朝頭祖
[00:03:08.400 --> 00:03:10.400]  在這個朝頭祖裡面
[00:03:10.400 --> 00:03:14.800]  仍然空氣裡面彌漫一片愁雲慘霧
[00:03:14.800 --> 00:03:16.400]  耶穌跟他的一班門徒
[00:03:16.400 --> 00:03:18.400]  跟一班跟隨他的婦女
[00:03:18.400 --> 00:03:20.400]  同行了三年
[00:03:20.400 --> 00:03:22.000]  日對夜對
[00:03:22.000 --> 00:03:25.800]  這班人都深深被耶穌的生命所吸引
[00:03:25.800 --> 00:03:30.000]  但是當時的猶太權貴卻是容納不了耶穌
[00:03:30.000 --> 00:03:32.400]  將祂釘在十字架上面
[00:03:32.400 --> 00:03:34.600]  所以這一刻這班人
[00:03:34.600 --> 00:03:38.000]  在他心裡面究竟見到些什麼呢?
[00:03:38.000 --> 00:03:39.800]  Game over
[00:03:39.800 --> 00:03:41.400]  玩完了
[00:03:41.400 --> 00:03:42.800]  一切的希望
[00:03:42.800 --> 00:03:45.000]  一切以前的盼望、計劃
[00:03:45.000 --> 00:03:47.400]  完全落空了
[00:03:47.400 --> 00:03:48.600]  在這班人裡面
[00:03:48.600 --> 00:03:49.800]  有其中一個人
[00:03:49.800 --> 00:03:53.200]  叫做摩達拉·瑪利亞
[00:03:53.200 --> 00:03:55.400]  在《路加福音》記載
[00:03:55.400 --> 00:03:58.000]  耶穌曾經在瑪利亞身上
[00:03:58.000 --> 00:04:00.000]  趕出七隻鬼
[00:04:00.000 --> 00:04:02.200]  在早期教會裡面的傳說
[00:04:02.200 --> 00:04:03.800]  也一直相信
[00:04:03.800 --> 00:04:05.400]  摩達拉·瑪利亞
[00:04:05.400 --> 00:04:08.600]  很可能是耶穌之前見到
[00:04:08.600 --> 00:04:10.000]  遇到的那個妓女
[00:04:10.000 --> 00:04:10.800]  如果大家記得
[00:04:10.800 --> 00:04:13.000]  那些人想用石頭扔死祂
[00:04:13.000 --> 00:04:16.600]  耶穌拼命在地上寫字的那個妓女
[00:04:16.600 --> 00:04:20.000]  而也有很多人相信
[00:04:20.000 --> 00:04:24.400]  瑪利亞在五巡節聖靈降臨的時候
[00:04:24.400 --> 00:04:27.000]  祂是被聖靈充滿其中一個
[00:04:27.000 --> 00:04:29.200]  接著在那個社會裡面
[00:04:29.200 --> 00:04:32.000]  有很多基督徒受到迫害
[00:04:32.000 --> 00:04:34.600]  但是瑪利亞仍然很有力地
[00:04:34.600 --> 00:04:37.200]  為耶穌基督做見證
[00:04:37.200 --> 00:04:38.600]  為主發光
[00:04:38.600 --> 00:04:41.600]  並且影響祂身邊很多很多的人
[00:04:41.600 --> 00:04:42.600]  信耶穌
[00:04:42.600 --> 00:04:47.000]  究竟瑪利亞的生命的主烈點在哪裡呢?
[00:04:47.000 --> 00:04:50.400]  我很相信就是約翰福音的二十章十八節
[00:04:50.400 --> 00:04:53.800]  瑪利亞和所有的身邊的人宣告
[00:04:53.800 --> 00:04:57.000]  「我已經看見了主」
