
[00:00:00.000 --> 00:00:02.000]  我們一齊禱告
[00:00:02.000 --> 00:00:07.500]  耶穌基督,我們再一次來到您面前向您禱告
[00:00:07.500 --> 00:00:13.000]  因為您當日攀佈天國的八福之後
[00:00:13.000 --> 00:00:16.000]  您說出我們是世上的炎
[00:00:16.000 --> 00:00:18.000]  我們是世上的光
[00:00:18.000 --> 00:00:25.000]  我們的生命有祂存在的積分和影響力
[00:00:25.000 --> 00:00:27.000]  主求您指教我們
[00:00:27.000 --> 00:00:30.000]  我們在世上看到自己很渺小
[00:00:30.000 --> 00:00:33.000]  看到自己很有限
[00:00:33.000 --> 00:00:36.000]  但原來神祢給我們一個尊貴的身份
[00:00:36.000 --> 00:00:40.000]  可以去成為您的器皿
[00:00:40.000 --> 00:00:42.000]  去將祝福帶給人
[00:00:42.000 --> 00:00:44.000]  求主祢幫我們
[00:00:44.000 --> 00:00:47.000]  好像聖經這裡說我們是世上的光
[00:00:47.000 --> 00:00:49.000]  我們是世上的炎
[00:00:49.000 --> 00:00:52.000]  求祢給我們不要忘記
[00:00:52.000 --> 00:00:56.000]  不要輕忽去失落了我們自己的身份
[00:00:56.000 --> 00:00:57.000]  好像聖經裡說
[00:00:57.000 --> 00:00:59.000]  炎如果失了味
[00:00:59.000 --> 00:01:02.000]  怎樣可以叫它再咸呢?
[00:01:02.000 --> 00:01:05.000]  求祢的話語打進我們心裡
[00:01:05.000 --> 00:01:10.000]  求祢幫我們領受祢給我們生命的意義
[00:01:10.000 --> 00:01:11.000]  聽我們同心祈禱
[00:01:11.000 --> 00:01:14.000]  奉耶穌基督的聖名
[00:01:14.000 --> 00:01:19.000]  今天的講題是基督徒的影響力
[00:01:19.000 --> 00:01:26.000]  我不知道您有沒有想過影響力可以怎樣發揮呢?
[00:01:26.000 --> 00:01:28.000]  根據白道所說
[00:01:28.000 --> 00:01:31.000]  影響力是一個一般的定義
[00:01:31.000 --> 00:01:33.000]  就是在無意之間
[00:01:33.000 --> 00:01:37.000]  在一個不為人所意識的情況下
[00:01:37.000 --> 00:01:42.000]  你發揮了一些正面的
[00:01:42.000 --> 00:01:48.000]  對別人的思想和行為的推動
[00:01:48.000 --> 00:01:51.000]  這是一般的說法
[00:01:51.000 --> 00:01:55.000]  但是影響力也有好和壞的
[00:01:55.000 --> 00:01:57.000]  我們聽過近朱者赤
[00:01:57.000 --> 00:02:00.000]  近墨者黑
[00:02:00.000 --> 00:02:02.000]  有聽過嗎?
[00:02:02.000 --> 00:02:07.000]  很久沒有聽人說過這兩句話了
[00:02:07.000 --> 00:02:10.000]  但是你生命的影響力
[00:02:10.000 --> 00:02:15.000]  有時候第一件事我會想到的就是
[00:02:15.000 --> 00:02:18.000]  我在現在這樣的世代
[00:02:18.000 --> 00:02:20.000]  我還可以影響到些什麼呢?
[00:02:20.000 --> 00:02:23.000]  有誰很有把握
[00:02:23.000 --> 00:02:25.000]  能夠幫助更多人
[00:02:25.000 --> 00:02:28.000]  在公共交通工具上
[00:02:28.000 --> 00:02:30.000]  讓座給有需要的人
[00:02:30.000 --> 00:02:32.000]  你覺得你可以影響到的?
[00:02:32.000 --> 00:02:33.000]  如果有的
[00:02:33.000 --> 00:02:35.000]  你覺得你都可以發揮一些影響力的
[00:02:35.000 --> 00:02:37.000]  你拍拍手吧
[00:02:37.000 --> 00:02:38.000]  1,2,3
[00:02:38.000 --> 00:02:42.000]  話說有一班小學生去課堂
[00:02:42.000 --> 00:02:43.000]  老師就說
